,,,Almeria,Barcelona,Bilbao,Caceres,Cadiz,Cartagena,Lugo,Madrid,Sevilla,Valencia,Valladolid
2030,sc2015,01-01 00:00:00+01:00,77.88688125,623.09505,467.3212875,155.7737625,311.547525,311.547525,77.88688125,623.09505,545.2081688,389.4344063,233.6606438
2030,sc2015,01-01 01:00:00+01:00,74.9889625,599.9117,449.933775,149.977925,299.95585,299.95585,74.9889625,599.9117,524.9227375,374.9448125,224.9668875
2030,sc2015,01-01 02:00:00+01:00,69.85678025,558.8542418,419.1406814,139.7135605,279.4271209,279.4271209,69.85678025,558.8542418,488.9974616,349.2839011,209.5703407
2030,sc2015,01-01 03:00:00+01:00,65.279376,522.2350083,391.6762563,130.5587521,261.1175041,261.1175041,65.279376,522.2350083,456.9556323,326.3968801,195.8381281
2030,sc2015,01-01 04:00:00+01:00,61.95333959,495.6267168,371.7200376,123.9066792,247.8133584,247.8133584,61.95333959,495.6267168,433.6733771,309.766698,185.8600188
2030,sc2015,01-01 05:00:00+01:00,60.75134063,486.010725,364.5080438,121.5026813,243.0053625,243.0053625,60.75134063,486.010725,425.2593844,303.7567031,182.2540219
2030,sc2015,01-01 06:00:00+01:00,61.00182397,488.0145918,366.0109439,122.0036479,244.0072959,244.0072959,61.00182397,488.0145918,427.0127678,305.0091199,183.0054719
2030,sc2015,01-01 07:00:00+01:00,62.0827021,496.6616168,372.4962126,124.1654043,248.3308084,248.3308084,62.0827021,496.6616168,434.5789147,310.4135104,186.2481063
2030,sc2015,01-01 08:00:00+01:00,61.41765522,491.3412418,368.5059314,122.8353104,245.6706209,245.6706209,61.41765522,491.3412418,429.9235865,307.0882761,184.2529657
2030,sc2015,01-01 09:00:00+01:00,62.55534481,500.4427583,375.3320688,125.1106896,250.2213791,250.2213791,62.55534481,500.4427583,437.8874134,312.7767239,187.6660343
2030,sc2015,01-01 10:00:00+01:00,67.19280106,537.5424083,403.1568063,134.3856021,268.7712041,268.7712041,67.19280106,537.5424083,470.3496072,335.9640052,201.5784031
2030,sc2015,01-01 11:00:00+01:00,69.85535625,558.84285,419.1321375,139.7107125,279.421425,279.421425,69.85535625,558.84285,488.9874938,349.2767813,209.5660688
2030,sc2015,01-01 12:00:00+01:00,70.6205115,564.9640918,423.7230689,141.2410229,282.4820459,282.4820459,70.6205115,564.9640918,494.3435803,353.1025574,211.8615344
2030,sc2015,01-01 13:00:00+01:00,72.26659588,578.1327668,433.5995751,144.5331918,289.0663834,289.0663834,72.26659588,578.1327668,505.8661709,361.3329792,216.7997876
2030,sc2015,01-01 14:00:00+01:00,72.15479063,577.238325,432.9287438,144.3095813,288.6191625,288.6191625,72.15479063,577.238325,505.0835344,360.7739531,216.4643719
2030,sc2015,01-01 15:00:00+01:00,67.8923,543.1384,407.3538,135.7846,271.5692,271.5692,67.8923,543.1384,475.2461,339.4615,203.6769
2030,sc2015,01-01 16:00:00+01:00,65.97244063,527.779525,395.8346438,131.9448813,263.8897625,263.8897625,65.97244063,527.779525,461.8070844,329.8622031,197.9173219
2030,sc2015,01-01 17:00:00+01:00,68.35248956,546.8199168,410.1149376,136.7049792,273.4099584,273.4099584,68.35248956,546.8199168,478.4674271,341.762448,205.0574688
2030,sc2015,01-01 18:00:00+01:00,79.19902606,633.5922081,475.1941563,158.3980521,316.7961041,316.7961041,79.19902606,633.5922081,554.3931822,395.9951302,237.5970781
2030,sc2015,01-01 19:00:00+01:00,85.50385419,684.0308331,513.023125,171.0077084,342.0154166,342.0154166,85.50385419,684.0308331,598.5269791,427.5192708,256.5115624
2030,sc2015,01-01 20:00:00+01:00,88.59832713,708.7866169,531.5899626,177.1966542,354.3933084,354.3933084,88.59832713,708.7866169,620.1882896,442.9916355,265.7949813
2030,sc2015,01-01 21:00:00+01:00,90.72314375,725.78515,544.3388625,181.4462875,362.892575,362.892575,90.72314375,725.78515,635.0620063,453.6157188,272.1694313
2030,sc2015,01-01 22:00:00+01:00,89.44245413,715.5396331,536.654725,178.8849083,357.7698166,357.7698166,89.44245413,715.5396331,626.0971794,447.2122708,268.3273624
2030,sc2015,01-01 23:00:00+01:00,82.70369475,661.6295581,496.2221688,165.4073896,330.8147791,330.8147791,82.70369475,661.6295581,578.9258635,413.5184739,248.1110843
2030,sc2015,01-02 00:00:00+01:00,74.99295838,599.9436668,449.9577501,149.9859168,299.9718334,299.9718334,74.99295838,599.9436668,524.9507084,374.9647917,224.9788751
2030,sc2015,01-02 01:00:00+01:00,67.20657294,537.6525833,403.2394375,134.4131459,268.8262916,268.8262916,67.20657294,537.6525833,470.4460103,336.0328646,201.6197187
2030,sc2015,01-02 02:00:00+01:00,62.72599794,501.8079833,376.3559875,125.4519959,250.9039916,250.9039916,62.72599794,501.8079833,439.0819853,313.6299896,188.1779937
