Scenario,Period,LoadLevel,BrownLignite,CCGT_1,CCGT_2,CCGT_3,CCGT_4,DomesticCoal_Anthracite,FuelOilGas,ImportedCoal_Bituminous,ImportedCoal_SubBituminous,Nuclear,OCGT_1,OCGT_2,OCGT_3
sc01,y2030,2030-01-06T03:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03077846558937502,0.0
sc01,y2030,2030-01-06T07:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03130546435156253,0.0
sc01,y2030,2030-01-06T11:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04412164649375003,0.0
sc01,y2030,2030-01-06T15:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04421120512343752,0.0
sc01,y2030,2030-01-06T19:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05086398626562501,0.0
sc01,y2030,2030-01-06T23:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.039210546955625,0.0
sc01,y2030,2030-01-07T03:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02597432237468749,0.0
sc01,y2030,2030-01-07T07:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.025076835722187486,0.0
sc01,y2030,2030-01-07T11:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03746410862937502,0.0
sc01,y2030,2030-01-07T15:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03967278542375005,0.0
