Scenario,Period,LoadLevel,SolarPV_1,WindFarm_1
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,2.7755575615628914e-14
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,2.7755575615628914e-14
sc01,y2030,2030-01-01T11:00:00+01:00,6.938893903907228e-15,1.3877787807814457e-14
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,1.3877787807814457e-14
sc01,y2030,2030-01-01T19:00:00+01:00,1.214306433183765e-14,0.0
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-02T11:00:00+01:00,1.3877787807814457e-14,6.938893903907228e-15
sc01,y2030,2030-01-02T15:00:00+01:00,1.3877787807814457e-14,0.0
sc01,y2030,2030-01-02T19:00:00+01:00,1.734723475976807e-15,0.0
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,1.3877787807814457e-14
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,6.938893903907228e-15
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,-1.3877787807814457e-14
sc01,y2030,2030-01-03T11:00:00+01:00,6.938893903907228e-15,-1.3877787807814457e-14
sc01,y2030,2030-01-03T15:00:00+01:00,2.7755575615628914e-14,1.3877787807814457e-14
sc01,y2030,2030-01-03T19:00:00+01:00,1.734723475976807e-14,1.3877787807814457e-14
sc01,y2030,2030-01-03T23:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-04T03:00:00+01:00,0.0,-5.551115123125783e-14
sc01,y2030,2030-01-04T07:00:00+01:00,0.0,-5.551115123125783e-14
sc01,y2030,2030-01-04T11:00:00+01:00,2.0816681711721685e-14,-5.551115123125783e-14
sc01,y2030,2030-01-04T15:00:00+01:00,4.163336342344337e-14,4.163336342344337e-14
sc01,y2030,2030-01-04T19:00:00+01:00,4.683753385137379e-14,2.7755575615628914e-14
sc01,y2030,2030-01-04T23:00:00+01:00,0.0,4.163336342344337e-14
sc01,y2030,2030-01-05T03:00:00+01:00,0.0,4.163336342344337e-14
sc01,y2030,2030-01-05T07:00:00+01:00,0.0,4.85722573273506e-14
sc01,y2030,2030-01-05T11:00:00+01:00,4.5102810375396984e-14,-3.469446951953614e-14
sc01,y2030,2030-01-05T15:00:00+01:00,4.163336342344337e-14,-4.163336342344337e-14
sc01,y2030,2030-01-05T19:00:00+01:00,2.42861286636753e-14,-4.163336342344337e-14
sc01,y2030,2030-01-05T23:00:00+01:00,0.0,-4.85722573273506e-14
sc01,y2030,2030-01-06T03:00:00+01:00,0.0,-4.163336342344337e-14
sc01,y2030,2030-01-06T07:00:00+01:00,0.0,-4.163336342344337e-14
sc01,y2030,2030-01-06T11:00:00+01:00,2.42861286636753e-14,4.163336342344337e-14
sc01,y2030,2030-01-06T15:00:00+01:00,3.469446951953614e-14,4.163336342344337e-14
sc01,y2030,2030-01-06T19:00:00+01:00,-3.469446951953614e-15,4.163336342344337e-14
sc01,y2030,2030-01-06T23:00:00+01:00,0.0,2.7755575615628914e-14
sc01,y2030,2030-01-07T03:00:00+01:00,0.0,3.469446951953614e-14
sc01,y2030,2030-01-07T07:00:00+01:00,0.0,4.163336342344337e-14
sc01,y2030,2030-01-07T11:00:00+01:00,3.469446951953614e-14,3.469446951953614e-14
sc01,y2030,2030-01-07T15:00:00+01:00,2.0816681711721685e-14,-8.673617379884035e-16
sc01,y2030,2030-01-07T19:00:00+01:00,-3.469446951953614e-15,3.642919299551295e-14
sc01,y2030,2030-01-07T23:00:00+01:00,0.0,3.469446951953614e-14
sc01,y2030,2030-01-08T03:00:00+01:00,0.0,2.7755575615628914e-14
sc01,y2030,2030-01-08T07:00:00+01:00,0.0,4.163336342344337e-14
sc01,y2030,2030-01-08T11:00:00+01:00,2.42861286636753e-14,4.85722573273506e-14
sc01,y2030,2030-01-08T15:00:00+01:00,2.0816681711721685e-14,4.85722573273506e-14
sc01,y2030,2030-01-08T19:00:00+01:00,1.3877787807814457e-14,3.469446951953614e-14
sc01,y2030,2030-01-08T23:00:00+01:00,0.0,-4.163336342344337e-14
sc01,y2030,2030-01-09T03:00:00+01:00,0.0,-4.163336342344337e-14
sc01,y2030,2030-01-09T07:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-09T11:00:00+01:00,1.3877787807814457e-14,4.163336342344337e-14
sc01,y2030,2030-01-09T15:00:00+01:00,0.0,4.163336342344337e-14
sc01,y2030,2030-01-09T19:00:00+01:00,0.0,4.163336342344337e-14
sc01,y2030,2030-01-09T23:00:00+01:00,0.0,4.163336342344337e-14
sc01,y2030,2030-01-10T03:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-10T07:00:00+01:00,0.0,-4.163336342344337e-14
sc01,y2030,2030-01-10T11:00:00+01:00,0.0,-5.551115123125783e-14
sc01,y2030,2030-01-10T15:00:00+01:00,1.3877787807814457e-14,-4.85722573273506e-14
sc01,y2030,2030-01-10T19:00:00+01:00,8.673617379884035e-15,-4.163336342344337e-14
sc01,y2030,2030-01-10T23:00:00+01:00,0.0,-2.7755575615628914e-14
