Scenario,Period,LoadLevel,SolarPV_1,WindFarm_1
sc01,y2030,2030-01-11T03:00:00+01:00,0.0,-5.551115123125783e-14
sc01,y2030,2030-01-11T07:00:00+01:00,0.0,-2.7755575615628914e-14
sc01,y2030,2030-01-11T11:00:00+01:00,6.938893903907228e-15,2.7755575615628914e-14
sc01,y2030,2030-01-11T15:00:00+01:00,1.3877787807814457e-14,2.7755575615628914e-14
sc01,y2030,2030-01-11T19:00:00+01:00,1.734723475976807e-14,2.7755575615628914e-14
sc01,y2030,2030-01-11T23:00:00+01:00,0.0,4.163336342344337e-14
sc01,y2030,2030-01-12T03:00:00+01:00,0.0,2.7755575615628914e-14
sc01,y2030,2030-01-12T07:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-12T11:00:00+01:00,2.0816681711721685e-14,-5.551115123125783e-14
sc01,y2030,2030-01-12T15:00:00+01:00,2.0816681711721685e-14,0.0
sc01,y2030,2030-01-12T19:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-12T23:00:00+01:00,0.0,8.326672684688674e-14
sc01,y2030,2030-01-13T03:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-13T07:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-13T11:00:00+01:00,1.0408340855860843e-14,5.551115123125783e-14
sc01,y2030,2030-01-13T15:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-13T19:00:00+01:00,6.938893903907228e-15,-5.551115123125783e-14
sc01,y2030,2030-01-13T23:00:00+01:00,0.0,-2.7755575615628914e-14
sc01,y2030,2030-01-14T03:00:00+01:00,0.0,-2.7755575615628914e-14
sc01,y2030,2030-01-14T07:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-14T11:00:00+01:00,1.0408340855860843e-14,1.3877787807814457e-14
sc01,y2030,2030-01-14T15:00:00+01:00,-6.938893903907228e-15,0.0
sc01,y2030,2030-01-14T19:00:00+01:00,-1.9081958235744878e-14,0.0
sc01,y2030,2030-01-14T23:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-15T03:00:00+01:00,17.6324400292492,2.7755575615628914e-14
sc01,y2030,2030-01-15T07:00:00+01:00,0.0,8.326672684688674e-14
sc01,y2030,2030-01-15T11:00:00+01:00,-2.0816681711721685e-14,1.3877787807814457e-13
sc01,y2030,2030-01-15T15:00:00+01:00,-1.3877787807814457e-14,1.3877787807814457e-13
sc01,y2030,2030-01-15T19:00:00+01:00,-8.673617379884035e-16,5.551115123125783e-14
sc01,y2030,2030-01-15T23:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-16T03:00:00+01:00,0.0,1.6653345369377348e-13
sc01,y2030,2030-01-16T07:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-16T11:00:00+01:00,-1.0408340855860843e-14,1.1102230246251565e-13
sc01,y2030,2030-01-16T15:00:00+01:00,-2.0816681711721685e-14,1.1102230246251565e-13
sc01,y2030,2030-01-16T19:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-16T23:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-17T03:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-17T07:00:00+01:00,0.0,8.326672684688674e-14
sc01,y2030,2030-01-17T11:00:00+01:00,-2.0816681711721685e-14,1.3877787807814457e-13
sc01,y2030,2030-01-17T15:00:00+01:00,-1.3877787807814457e-14,1.3877787807814457e-13
sc01,y2030,2030-01-17T19:00:00+01:00,-2.42861286636753e-14,1.1102230246251565e-13
sc01,y2030,2030-01-17T23:00:00+01:00,0.0,8.326672684688674e-14
sc01,y2030,2030-01-18T03:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-18T07:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-18T11:00:00+01:00,-2.7755575615628914e-14,1.3877787807814457e-13
sc01,y2030,2030-01-18T15:00:00+01:00,-3.469446951953614e-14,1.249000902703301e-13
sc01,y2030,2030-01-18T19:00:00+01:00,-1.734723475976807e-15,1.1102230246251565e-13
sc01,y2030,2030-01-18T23:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-19T03:00:00+01:00,0.0,9.71445146547012e-14
sc01,y2030,2030-01-19T07:00:00+01:00,0.0,8.326672684688674e-14
sc01,y2030,2030-01-19T11:00:00+01:00,-3.122502256758253e-14,5.551115123125783e-14
sc01,y2030,2030-01-19T15:00:00+01:00,-3.469446951953614e-14,5.551115123125783e-14
sc01,y2030,2030-01-19T19:00:00+01:00,-2.949029909160572e-14,5.551115123125783e-14
sc01,y2030,2030-01-19T23:00:00+01:00,0.0,2.7755575615628914e-14
sc01,y2030,2030-01-20T03:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-20T07:00:00+01:00,0.0,6.938893903907228e-14
sc01,y2030,2030-01-20T11:00:00+01:00,-2.7755575615628914e-14,-1.3877787807814457e-14
sc01,y2030,2030-01-20T15:00:00+01:00,-2.7755575615628914e-14,5.551115123125783e-14
sc01,y2030,2030-01-20T19:00:00+01:00,-3.469446951953614e-15,-1.3877787807814457e-14
sc01,y2030,2030-01-20T23:00:00+01:00,0.0,-4.163336342344337e-14
sc01,y2030,2030-01-21T03:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-21T07:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-21T11:00:00+01:00,-2.42861286636753e-14,5.551115123125783e-14
sc01,y2030,2030-01-21T15:00:00+01:00,-2.0816681711721685e-14,8.326672684688674e-14
sc01,y2030,2030-01-21T19:00:00+01:00,4.336808689942018e-15,8.326672684688674e-14
sc01,y2030,2030-01-21T23:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-22T03:00:00+01:00,0.0,42.00015714324909
sc01,y2030,2030-01-22T07:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-22T11:00:00+01:00,-1.734723475976807e-14,8.326672684688674e-14
sc01,y2030,2030-01-22T15:00:00+01:00,-1.3877787807814457e-14,5.551115123125783e-14
sc01,y2030,2030-01-22T19:00:00+01:00,-1.3877787807814457e-14,2.7755575615628914e-14
sc01,y2030,2030-01-22T23:00:00+01:00,0.0,-2.7755575615628914e-14
sc01,y2030,2030-01-23T03:00:00+01:00,0.0,-2.7755575615628914e-14
sc01,y2030,2030-01-23T07:00:00+01:00,0.0,2.7755575615628914e-14
sc01,y2030,2030-01-23T11:00:00+01:00,-6.938893903907228e-15,5.551115123125783e-14
sc01,y2030,2030-01-23T15:00:00+01:00,-1.3877787807814457e-14,0.0
sc01,y2030,2030-01-23T19:00:00+01:00,-1.0408340855860843e-14,-2.7755575615628914e-14
sc01,y2030,2030-01-23T23:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-24T03:00:00+01:00,0.0,8.326672684688674e-14
sc01,y2030,2030-01-24T07:00:00+01:00,0.0,8.326672684688674e-14
sc01,y2030,2030-01-24T11:00:00+01:00,-6.938893903907228e-15,1.3877787807814457e-13
sc01,y2030,2030-01-24T15:00:00+01:00,0.0,1.3877787807814457e-13
sc01,y2030,2030-01-24T19:00:00+01:00,-1.0408340855860843e-14,1.3877787807814457e-13
sc01,y2030,2030-01-24T23:00:00+01:00,0.0,1.6653345369377348e-13
sc01,y2030,2030-01-25T03:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-25T07:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-25T11:00:00+01:00,-1.3877787807814457e-14,1.6653345369377348e-13
sc01,y2030,2030-01-25T15:00:00+01:00,-1.3877787807814457e-14,1.3877787807814457e-13
sc01,y2030,2030-01-25T19:00:00+01:00,-1.0408340855860843e-14,5.551115123125783e-14
sc01,y2030,2030-01-25T23:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-26T03:00:00+01:00,0.0,1.6653345369377348e-13
sc01,y2030,2030-01-26T07:00:00+01:00,0.0,1.942890293094024e-13
sc01,y2030,2030-01-26T11:00:00+01:00,-1.3877787807814457e-14,1.6653345369377348e-13
sc01,y2030,2030-01-26T15:00:00+01:00,1.3877787807814457e-14,1.942890293094024e-13
sc01,y2030,2030-01-26T19:00:00+01:00,3.469446951953614e-15,1.6653345369377348e-13
sc01,y2030,2030-01-26T23:00:00+01:00,0.0,1.942890293094024e-13
sc01,y2030,2030-01-27T03:00:00+01:00,0.0,2.498001805406602e-13
sc01,y2030,2030-01-27T07:00:00+01:00,0.0,2.498001805406602e-13
sc01,y2030,2030-01-27T11:00:00+01:00,6.938893903907228e-15,1.942890293094024e-13
sc01,y2030,2030-01-27T15:00:00+01:00,1.3877787807814457e-14,2.220446049250313e-13
sc01,y2030,2030-01-27T19:00:00+01:00,1.3877787807814457e-14,2.498001805406602e-13
sc01,y2030,2030-01-27T23:00:00+01:00,0.0,2.220446049250313e-13
sc01,y2030,2030-01-28T03:00:00+01:00,0.0,2.220446049250313e-13
sc01,y2030,2030-01-28T07:00:00+01:00,0.0,2.7755575615628914e-13
sc01,y2030,2030-01-28T11:00:00+01:00,6.938893903907228e-15,2.7755575615628914e-13
sc01,y2030,2030-01-28T15:00:00+01:00,-1.3877787807814457e-14,2.7755575615628914e-13
sc01,y2030,2030-01-28T19:00:00+01:00,-6.938893903907228e-15,2.7755575615628914e-13
sc01,y2030,2030-01-28T23:00:00+01:00,0.0,3.0531133177191805e-13
sc01,y2030,2030-01-29T03:00:00+01:00,0.0,3.0531133177191805e-13
sc01,y2030,2030-01-29T07:00:00+01:00,0.0,3.3306690738754696e-13
sc01,y2030,2030-01-29T11:00:00+01:00,-6.938893903907228e-15,3.3306690738754696e-13
sc01,y2030,2030-01-29T15:00:00+01:00,-2.7755575615628914e-14,3.3306690738754696e-13
sc01,y2030,2030-01-29T19:00:00+01:00,0.0,3.3306690738754696e-13
sc01,y2030,2030-01-29T23:00:00+01:00,0.0,3.885780586188048e-13
sc01,y2030,2030-01-30T03:00:00+01:00,77.67559988437169,2.7755575615628914e-13
sc01,y2030,2030-01-30T07:00:00+01:00,0.0,3.3306690738754696e-13
sc01,y2030,2030-01-30T11:00:00+01:00,-2.949029909160572e-14,2.220446049250313e-13
sc01,y2030,2030-01-30T15:00:00+01:00,-3.469446951953614e-14,1.1102230246251565e-13
sc01,y2030,2030-01-30T19:00:00+01:00,-3.469446951953614e-15,5.551115123125783e-14
sc01,y2030,2030-01-30T23:00:00+01:00,0.0,5.551115123125783e-14
sc01,y2030,2030-01-31T03:00:00+01:00,0.0,1.1102230246251565e-13
sc01,y2030,2030-01-31T07:00:00+01:00,0.0,0.0
sc01,y2030,2030-01-31T11:00:00+01:00,-3.8163916471489756e-14,0.0
sc01,y2030,2030-01-31T15:00:00+01:00,-3.469446951953614e-14,5.551115123125783e-14
sc01,y2030,2030-01-31T19:00:00+01:00,-3.9898639947466563e-14,0.0
sc01,y2030,2030-01-31T23:00:00+01:00,0.0,0.0
