Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-01-14T23:00:00+01:00,56.10177682562448
sc01,y2030,2030-01-15T03:00:00+01:00,-63.49182575837551
sc01,y2030,2030-01-15T07:00:00+01:00,179.69187194662481
sc01,y2030,2030-01-15T11:00:00+01:00,347.53352209262425
sc01,y2030,2030-01-15T15:00:00+01:00,324.5744752341245
sc01,y2030,2030-01-15T19:00:00+01:00,374.5920803403744
sc01,y2030,2030-01-15T23:00:00+01:00,151.00326561262432
sc01,y2030,2030-01-16T03:00:00+01:00,-4.5121828913759146
sc01,y2030,2030-01-16T07:00:00+01:00,201.6780250901245
sc01,y2030,2030-01-16T11:00:00+01:00,355.02174343812453
sc01,y2030,2030-01-16T15:00:00+01:00,335.3314794123744
sc01,y2030,2030-01-16T19:00:00+01:00,375.3017275078746
sc01,y2030,2030-01-16T23:00:00+01:00,152.27315402537488
sc01,y2030,2030-01-17T03:00:00+01:00,-9.817691370625425
sc01,y2030,2030-01-17T07:00:00+01:00,197.77118018287433
sc01,y2030,2030-01-17T11:00:00+01:00,355.28482853512446
sc01,y2030,2030-01-17T15:00:00+01:00,338.47846145937456
sc01,y2030,2030-01-17T19:00:00+01:00,382.2264379581245
sc01,y2030,2030-01-17T23:00:00+01:00,155.959342497875
sc01,y2030,2030-01-18T03:00:00+01:00,-6.396753451125505
sc01,y2030,2030-01-18T07:00:00+01:00,195.31722280712484
sc01,y2030,2030-01-18T11:00:00+01:00,361.07842182362515
sc01,y2030,2030-01-18T15:00:00+01:00,340.66017543462476
sc01,y2030,2030-01-18T19:00:00+01:00,353.67990391762487
sc01,y2030,2030-01-18T23:00:00+01:00,123.83486953887473
sc01,y2030,2030-01-19T03:00:00+01:00,-30.97456790562535
sc01,y2030,2030-01-19T07:00:00+01:00,170.3959643158746
sc01,y2030,2030-01-19T11:00:00+01:00,320.8958441173743
sc01,y2030,2030-01-19T15:00:00+01:00,284.68197368687447
sc01,y2030,2030-01-19T19:00:00+01:00,321.9455848338746
sc01,y2030,2030-01-19T23:00:00+01:00,112.97598182912475
sc01,y2030,2030-01-20T03:00:00+01:00,-55.87150967737546
sc01,y2030,2030-01-20T07:00:00+01:00,3.196911941374765
sc01,y2030,2030-01-20T11:00:00+01:00,158.53399022637495
sc01,y2030,2030-01-20T15:00:00+01:00,122.61378229987486
sc01,y2030,2030-01-20T19:00:00+01:00,193.6491948748744
sc01,y2030,2030-01-20T23:00:00+01:00,50.26680346437479
sc01,y2030,2030-01-21T03:00:00+01:00,-91.95317368287522
sc01,y2030,2030-01-21T07:00:00+01:00,-94.79552291862524
