InitialNode,,,Node_1,Node_1,Node_2,Node_2,Node_3,Node_3,Node_4,Node_4,Node_4,Node_6,Node_6,Node_7,Node_8
FinalNode,,,Node_4,Node_6,Node_3,Node_6,Node_4,Node_6,Node_5,Node_6,Node_9,Node_7,Node_8,Node_8,Node_9
Circuit,,,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1
sc01,y2030,2030-01-01T03:00:00+01:00,495.870378523759,165.661708012494,-117.233322579888,-93.4293398263618,-151.22692700142602,-3.66956526096229,225.979018075,91.7646554301691,117.438418042163,53.4424861182782,31.558632874556203,-40.715438084221994,-23.280493839663002
sc01,y2030,2030-01-01T07:00:00+01:00,495.870378523759,226.34491499749302,-95.0186353604695,-98.8261157357807,-111.343362886019,-18.3747594769508,208.196922,55.8085321960479,90.9561446666918,54.984190660603,40.5694073152063,-31.764526846897,-4.20742715919165
sc01,y2030,2030-01-01T11:00:00+01:00,495.870378523759,315.355595664993,-93.802388419278,-120.721637199472,-98.5760118351031,-33.5798972566755,230.121124025,36.4250844544328,85.3780692842226,65.8263818884263,54.9457224348531,-30.057419789073702,10.5057323932773
sc01,y2030,2030-01-01T15:00:00+01:00,304.502289271874,536.0,-65.64715149462249,-163.767864552253,-30.3079463562638,-76.35500062085849,246.09477287500002,-38.323783992977795,44.9381408835877,85.8511169504709,89.6706429209415,-16.6883717745292,57.601347841412405
sc01,y2030,2030-01-01T19:00:00+01:00,495.870378523759,519.314445042493,-86.6415299626387,-168.90675825111202,-62.99302062321931,-69.28374051942079,273.81138705,-12.5921675000535,68.0280511255925,89.5105929181353,87.75072349627119,-24.5774850068647,46.0600267994076
sc01,y2030,2030-01-01T23:00:00+01:00,387.84516301375,536.0,-69.4865711913517,-165.46347885239902,-35.9262433604285,-75.56570030592239,252.03223484999998,-34.2203731291741,49.039174282495196,86.9168159043349,89.8228868606701,-18.0966152806653,55.9742569025048
sc01,y2030,2030-01-02T03:00:00+01:00,273.891652893749,536.0,-49.63604466516,-156.60955879609,-6.99471756451298,-79.58835019814569,221.6821386,-55.3195641707893,28.0017685000254,81.49417561065809,89.0943050293164,-10.873382129342101,64.36578923997439
sc01,y2030,2030-01-02T07:00:00+01:00,495.870378523759,478.53578658811904,-86.6499047021088,-158.59413355726602,-68.0912102941527,-62.4044700204555,263.074653675,-4.24634608149632,70.071758211102,84.4302789797997,81.16900673159951,-25.1841600552004,39.542680823897896
sc01,y2030,2030-01-02T11:00:00+01:00,495.870378523759,536.0,-39.4673661623164,-124.842134368925,-28.4112390791915,-63.4944064981249,314.629676475,-29.863780449098503,68.9326320186654,105.933226232945,106.98989362588999,-25.1624723170553,62.1630665313346
sc01,y2030,2030-01-02T15:00:00+01:00,495.870378523759,536.0,-36.5489954479041,-121.326414005835,-27.1039940554667,-62.609778279937494,318.98866132499995,-30.0173374252861,70.043759268578,107.348823431307,108.36809308261499,-25.5631187936928,62.868182956422004
