Scenario,Period,LoadLevel,CH_8_de_Agosto,CH_Alli,CH_Amazonas,CH_Angel_I,CH_Angel_II,CH_Angel_III,CH_Aricota_I,CH_Aricota_II,CH_Aricota_III,CH_Ayanunga,CH_Belo_Horizonte,CH_Cahua,CH_Callahuanca,CH_Callahuanca-G4,CH_Campanayocc,CH_Canchayllo,CH_Canha_Brava,CH_Canhon_Del_Pato,CH_Carhuac,CH_Carpapata,CH_Carpapata_III,CH_Cativen_1,CH_Cativen_2,CH_Centauro_I,CH_Centauro_II,CH_Cerro_del_Aguila,CH_Chaglla,CH_Chancay,CH_Charcani_I,CH_Charcani_II,CH_Charcani_III,CH_Charcani_IV,CH_Charcani_V,CH_Charcani_VI,CH_Cheves_I,CH_Chilcay,CH_Chilia,CH_Chimay,CH_Churo,CH_Cola_1,CH_Colca,CH_Curibamba,CH_Curumuy,CH_El_Carmen,CH_Gallito_Ciego,CH_Her_1,CH_Huampani,CH_Huanchor,CH_Huanza,CH_Huasahuasi_I,CH_Huasahuasi_II,CH_Huasicancha,CH_Huatziroki_I,CH_Huayllacho,CH_Huinco,CH_Hydrika_1,CH_Hydrika_2,CH_Hydrika_3,CH_Hydrika_4,CH_Hydrika_5,CH_Hydrika_6,CH_Karpa,CH_Kusa,CH_La_Joya,CH_La_Virgen,CH_Laguna_Azul,CH_Langui_II,CH_Las_Cruces,CH_Las_Orquideas,CH_Las_Pizarras,CH_Lluclla,CH_Lluta1,CH_Lluta2,CH_Machupicchu,CH_Machupicchu_II,CH_Macon,CH_Malpaso,CH_Manta,CH_Mantaro,CH_Maranhon,CH_Matucana,CH_Milloc,CH_Misapuquio,CH_Molloco-Llatica,CH_Molloco-Soro,CH_Moyopampa,CH_Muchcapata,CH_Nueva_Esperanza,CH_Nueva_Imperial,CH_Oco2010,CH_Olmos_1,CH_Oroya,CH_Pachachaca,CH_Pallca,CH_Pariac,CH_Pelagatos,CH_Pias_I,CH_Platanal,CH_Poechos_I,CH_Poechos_II,CH_Potrero,CH_Purmacana,CH_Quitaracsa,CH_RenovAndes_H1,CH_Restitucion,CH_Roca_Grande,CH_Roncador,CH_Rucuy,CH_Runatullu_II,CH_Runatullu_III,CH_San_Antonio,CH_San_Gaban_II,CH_San_Ignacio,CH_San_Marcos,CH_Santa_Cruz_I,CH_Santa_Cruz_II,CH_Santa_Lorenza_I,CH_Santa_Teresa,CH_Santa_Teresa_2,CH_Santa_Teresa_Amp,CH_Shima,CH_Tambo1,CH_Tarucani,CH_Tingo,CH_Tulumayo_IV,CH_Tulumayo_V,CH_Utcubamba,CH_Vilcanota_2,CH_Viroc,CH_Yanango,CH_Yanapampa,CH_Yarucaya,CH_Yaupi,CH_Yuncan,CH_Zanha_1,CT_Tarapoto,RER-Ica,RER-La_Libertad,RER-Lambayeque,RER-Moquegua
sc01,y2030,2030-01-04T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-04T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-04T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-04T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-05T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-05T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-05T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-05T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-05T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-05T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-06T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-06T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-06T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-06T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-06T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-06T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-07T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-07T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-07T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-07T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-07T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-07T23:00:00+01:00,49997.315068493095,4998.6705753424885,4995.617434907377,4998.737304186832,4998.737304186832,4998.737304186832,4997.060000001678,4998.236000001693,4997.771394929833,4997.475205479906,4991.887616005053,4992.829692548015,4995.350288588476,4997.581418733917,4999.456687999997,224999.12824800008,4999.655987692602,4986.875822670818,49998.139726027504,74998.16459999974,249997.84959999993,4997.511920001692,4997.611040001686,599998.0049999979,4998.005000000001,4954.3423945184095,4943.504882384007,4996.640000001694,4999.718635280184,4999.902559999995,4999.244000000491,4999.503065550804,4977.404672016817,4998.499615231386,4982.0063388824,4998.587624000012,4986.337750441288,4996.521934732384,4998.365104640998,4998.776960000009,4998.653698630157,4988.053292701022,4997.900000001683,49999.1369863014,4995.222805763358,114499.91063013724,4995.307289603373,4996.960995609202,4984.880000010085,4998.398153601009,4998.337657473025,4999.26499999999,4998.613999999993,4999.968751999989,4968.840200016807,4999.314132159766,4999.58432252104,4998.9608063028045,4999.168645042266,4998.9608063028045,4998.849315068575,449997.79452054884,4998.609013698664,4998.698840000858,4995.975304643361,4997.506849314787,4999.658959999983,4998.283039999989,4998.094880000014,4998.281818183033,4960.234400033595,4963.980800016795,4989.810800006715,4993.530855306574,4983.677434443917,4998.823999999985,4992.145664005029,149997.55479452095,4896.694299555183,4997.266137915206,4980.339632016811,4997.718559999988,4999.361600000336,4980.6329600167965,4972.327040016804,4989.475299240555,4999.047440000008,4998.901615999991,4999.395200000318,4990.212936096316,4991.600000005055,4998.607700000852,4998.893645977679,4998.812239999982,4999.260800000501,4997.648000000007,4997.985176001681,4993.298506537288,4997.379200001678,4998.431169719025,199997.43384673458,224999.69928000018,4993.682993341523,149997.1232876715,4966.323685395192,4997.648000000007,4999.415360000345,4996.640000001694,224996.645544,224996.64571199942,4999.920890410934,4981.715628003201,4999.946239999991,4998.60056,4999.42759258432,4999.402785200349,4997.315068493132,4990.9432208050275,4981.086129567199,4995.927680003375,4998.8635808000145,4993.061600000015,4994.296400000008,4998.965119999985,4995.296000000014,4992.356000000013,4977.117659926398,4997.6715200000135,4998.471200000003,4996.9383567456925,4999.4437431803435,149997.79452054764,4984.571854410067,4985.016655149673,2400998.4477260206,225000.0,4994.960000000005,4997.479999999983,4995.967999999996,4998.488000000012
sc01,y2030,2030-01-08T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-08T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-08T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-08T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-08T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,2030-01-08T23:00:00+01:00,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,225000.0,5000.0,5000.0,50000.0,75000.0,250000.0,5000.0,5000.0,600000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,50000.0,5000.0,114500.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,450000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,150000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,200000.0,225000.0,5000.0,150000.0,5000.0,5000.0,5000.0,5000.0,225000.0,225000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,150000.0,5000.0,5000.0,2401000.0,225000.0,5000.0,5000.0,5000.0,5000.0
