Scenario,Period,LoadLevel,Anthracit,CCGT,Cogeneration,Hydro_UGH,Onshore_wind,Solar_PV,Sub_bitumous
sc01,y2030,2030-01-01T03:00:00+01:00,-2.5259982994257655,-836.6086734964306,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,-4.832487418833352,-2.565071842948697
sc01,y2030,2030-01-01T07:00:00+01:00,-2.5259982994257655,-1333.5641848928963,1.4210854715202004e-14,0.4245473320297606,0.0,-4.27248741883335,-2.565071842948697
sc01,y2030,2030-01-01T11:00:00+01:00,-2.5259982994257655,-672.7708929096857,1.4210854715202004e-14,0.4245473320297606,0.0,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-01T15:00:00+01:00,-2.5259982994257655,-349.2535951159275,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-01T19:00:00+01:00,-2.5259982994257655,-350.39705157843036,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-01T23:00:00+01:00,-2.5259982994257655,87.23610714836332,1.4210854715202004e-14,0.4245473320297606,0.0,-4.832487418833352,-2.565071842948697
sc01,y2030,2030-01-02T03:00:00+01:00,-2.5259982994257655,-662.1364172819276,1.4210854715202004e-14,0.4245473320297606,0.0,-4.832487418833352,-2.565071842948697
sc01,y2030,2030-01-02T07:00:00+01:00,-2.5259982994257655,-915.4319725021805,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,-4.253987418833674,-2.565071842948697
sc01,y2030,2030-01-02T11:00:00+01:00,-2.5259982994257655,348.9409936558236,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-02T15:00:00+01:00,-2.5259982994257655,554.4719295693271,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-02T19:00:00+01:00,-2.5259982994257655,283.3167698338316,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-02T23:00:00+01:00,-2.5259982994257655,532.0232515328285,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,-4.832487418833352,-2.565071842948697
sc01,y2030,2030-01-03T03:00:00+01:00,-2.5259982994257655,-722.3561862779197,1.4210854715202004e-14,0.4245473320297606,0.0,-4.832487418833352,-2.565071842948697
sc01,y2030,2030-01-03T07:00:00+01:00,-2.5259982994257655,-786.8548612001778,1.4210854715202004e-14,0.4245473320297606,0.0,-4.2514874188346425,-2.565071842948697
sc01,y2030,2030-01-03T11:00:00+01:00,-2.5259982994257655,733.9282824540801,1.4210854715202004e-14,0.4245473320297606,0.0,4.6461020021666855,-0.05628684294869757
sc01,y2030,2030-01-03T15:00:00+01:00,31.018748865351604,1012.7341413263007,1.4210854715202004e-14,0.4245473320297606,0.0,4.6461020021666855,9.9788531570513
sc01,y2030,2030-01-03T19:00:00+01:00,1.1704475293294454,900.1385919407899,1.4210854715202004e-14,-5.240355219594676,0.0,4.6461020021666855,7.084101233974376
sc01,y2030,2030-01-03T23:00:00+01:00,-2.5259982994257655,782.3953054156495,1.4210854715202004e-14,0.4245473320297606,0.0,-4.832487418833352,7.084101233974376
sc01,y2030,2030-01-04T03:00:00+01:00,-2.5259982994257655,-903.7608422851758,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,-4.832487418833352,-2.565071842948697
sc01,y2030,2030-01-04T07:00:00+01:00,-2.5259982994257655,-932.490198599673,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,-4.261737418834798,-2.565071842948697
sc01,y2030,2030-01-04T11:00:00+01:00,-2.5259982994257655,649.0033319080653,1.4210854715202004e-14,0.4245473320297606,0.0,4.6461020021666855,-0.05628684294869757
sc01,y2030,2030-01-04T15:00:00+01:00,20.85676789327337,970.3242189218695,1.4210854715202004e-14,0.4245473320297606,0.0,4.6461020021666855,9.9788531570513
sc01,y2030,2030-01-04T19:00:00+01:00,-2.5259982994257655,853.7383599574437,1.4210854715202004e-14,-4.099686085013673,0.0,4.6461020021666855,7.084101233974376
sc01,y2030,2030-01-04T23:00:00+01:00,-2.5259982994257655,757.0961110185867,1.4210854715202004e-14,0.4245473320297606,0.0,-4.832487418833352,-0.05628684294869757
sc01,y2030,2030-01-05T03:00:00+01:00,-2.5259982994257655,-662.1364172819435,1.4210854715202004e-14,0.4245473320297606,0.0,-4.832487418833352,-2.565071842948697
sc01,y2030,2030-01-05T07:00:00+01:00,-2.5259982994257655,-915.4212225021738,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,-4.264737418835182,-2.565071842948697
sc01,y2030,2030-01-05T11:00:00+01:00,-2.5259982994257655,348.94099365582724,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-05T15:00:00+01:00,-2.5259982994257655,554.471929569319,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-05T19:00:00+01:00,-2.5259982994257655,283.3167698338252,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,4.6461020021666855,-2.565071842948697
sc01,y2030,2030-01-05T23:00:00+01:00,-2.5259982994257655,532.0232515328221,1.4210854715202004e-14,0.4245473320297606,5.684341886080802e-14,-4.832487418833352,-2.565071842948697
