Scenario,Period,LoadLevel,Anthracit,CCGT,Cogeneration,Hydro_UGH,Oil,Onshore_wind,Solar_PV,Sub_bitumous
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,2217.2510242746866,66.13097849700002,5442.837450839,0.0,458.947553774,474.78737229,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,136.65743179202317,2416.095573177607,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-02T23:00:00+01:00,501.8,2945.4182443816344,66.13097849700002,5442.837450839,0.0,458.947553774,474.78737229,0.0
sc01,y2030,2030-01-03T15:00:00+01:00,491.3679559088888,2595.4498633362964,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-04T07:00:00+01:00,466.44921012126434,2512.387377377548,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-04T23:00:00+01:00,501.8,3334.7878138983306,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-05T15:00:00+01:00,389.7742204789507,2456.991898759738,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-06T07:00:00+01:00,240.36108885625737,2433.97334364,66.13097849700002,5442.837450839,0.0,458.947553774,474.78737229,0.0
sc01,y2030,2030-01-06T23:00:00+01:00,262.2603064797518,2433.97334364,66.13097849700002,5442.837450839,0.0,458.947553774,474.78737229,0.0
sc01,y2030,2030-01-07T15:00:00+01:00,464.5671618322026,2506.113883080676,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-08T07:00:00+01:00,480.6215939052181,2559.6286566573935,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-08T23:00:00+01:00,501.8,3389.5109251671843,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-09T15:00:00+01:00,491.3679559088849,2595.449863336283,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-10T07:00:00+01:00,485.31749339473475,2575.281654955783,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-10T23:00:00+01:00,501.8,3389.510925166831,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-11T15:00:00+01:00,464.5671618322001,2506.1138830806667,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-12T07:00:00+01:00,476.6777568491066,2546.482533137022,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-12T23:00:00+01:00,501.8,2945.418244381617,66.13097849700002,5442.837450839,0.0,458.947553774,474.78737229,0.0
sc01,y2030,2030-01-13T15:00:00+01:00,0.0,2217.3629525034494,66.13097849700002,5442.837450839,0.0,458.947553774,474.78737229,0.0
sc01,y2030,2030-01-14T07:00:00+01:00,86.9092777341848,2401.1711269602556,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-14T23:00:00+01:00,501.8,3334.787813898326,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-15T15:00:00+01:00,491.36795590889176,2595.449863336306,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-16T07:00:00+01:00,485.3174933947329,2575.2816549557765,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-16T23:00:00+01:00,501.8,3389.510925166772,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-17T15:00:00+01:00,491.36795590889074,2595.4498633363023,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-18T07:00:00+01:00,466.44921012126275,2512.3873773775426,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-18T23:00:00+01:00,501.8,3334.787813898328,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-19T15:00:00+01:00,389.77422047896715,2456.991898759742,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-20T07:00:00+01:00,240.3610888562498,2433.97334364,66.13097849700002,5442.837450839,0.0,458.947553774,474.78737229,0.0
sc01,y2030,2030-01-20T23:00:00+01:00,262.2603064797478,2433.97334364,66.13097849700002,5442.837450839,0.0,458.947553774,474.78737229,0.0
sc01,y2030,2030-01-21T15:00:00+01:00,464.5671618321992,2506.113883080664,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-22T07:00:00+01:00,480.6215939052183,2559.6286566573945,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-22T23:00:00+01:00,501.8,3389.510925166819,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-23T15:00:00+01:00,491.367955908892,2595.4498633363064,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
sc01,y2030,2030-01-24T07:00:00+01:00,485.3174933947292,2575.281654955764,66.13097849700002,5442.837450839,0.0,458.94755377399997,474.78737229,0.0
