,Latitude,Longitude
ES11,43.05,-8.133333333
ES12,43.33333333,-6
ES13,43.33333333,-4
ES21,42.983333,-2.616667
ES22,42.816667,-1.65
ES23,42.25,-2.5
ES24,41,-1
ES30,40.42526,-3.69063
ES41,41.651981,-4.728561
ES42,39.866667,-4.033333
ES43,39.2,-6.15
ES51,41.3825,2.176944
ES52,39.5,-0.75
ES61,37.383333,-5.983333
ES62,38,-1.833333
ES00,40.418889,-3.691944
