,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,BinaryInvestment,MaximumReactivePower,MinimumReactivePower
CT_Santa_Rosa-UTI5-D,SantaRosa_220_kV,Oil,,,45.52734027,0,,,,,,,,,,,1,180.4906951,,,,,,,,,,
CT_Santa_Rosa-UTI6-D,SantaRosa_220_kV,Oil,,,47.54833464,0,,,,,,,,,,,1,181.3978821,,,,,,,,,,
CT_Santa_Rosa-TG7,SantaRosa_220_kV,CCGT,,,119.8512946,0,,,,,,,,,,,1,28.58917968,,,,,,,,,,
CT_Santa_Rosa-TG8,SantaRosa_220_kV,CCGT,,,186.3089123,0,,,,,,,,,,,1,27.1390024,,,,,,,,,,
CT_Malacas-TG4,Talara_220_kV,CCGT,,,86.30162375,0,,,,,,,,,,,1,7.762596624,,,,,,,,,,
CT_Malacas-TG4H2O,Talara_220_kV,CCGT,,,18.80565503,0,,,,,,,,,,,1,8.440136318,,,,,,,,,,
CT_Aguaytia-TG1,Aguaytia_220_kV,CCGT,,,89.96211874,0,,,,,,,,,,,1,31.28777141,,,,,,,,,,
CT_Aguaytia-TG2,Aguaytia_220_kV,CCGT,,,85.98873326,0,,,,,,,,,,,1,31.25177322,,,,,,,,,,
CT_Ilo_2-TV21,Ilo2_220_kV,CCGT,,,139.5980152,0,,,,,,,,,,,1,37.5869768,,,,,,,,,,
CT_Ventanilla-CC,Ventanilla_220_kV,CCGT,,,474.513846,0,,,,,,,,,,,1,19.67562327,,,,,,,,,,
CB_Oquendo-TG1,Oquendo_60_kV,Cogeneration,,,27.56753713,0,,,,,,,,,,,1,3.9039,,,,,,,,,,
CB_Paramonga,SEPAEX_138_kV,Cogeneration,,,12.56380048,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Las_Flores,ChilcaCTM_220_kV,CCGT,,,193.218239,0,,,,,,,,,,,1,27.10568721,,,,,,,,,,
CT_Pisco,Independencia_60_kV,CCGT,,,69.92000246,0,,,,,,,,,,,1,30.62916907,,,,,,,,,,
CT_Independencia,Independencia_60_kV,CCGT,,,22.86552808,0,,,,,,,,,,,1,22.40079664,,,,,,,,,,
CH_Carpapata,Condorcocha_138_kV,Hydro_UGH,Weekly,,10.925,0,,75000,150000,,,,,,,,1,0.00001,,,,,,,,,,
CT_Tarapoto,Tarapoto_138_kV,Oil,,,9.215,0,,,,,,,,,,,1,143.4859088,,,,,,,,,,
CT_Bellavista,Bellavista_138_kV,Oil,,,3.3345,0,,,,,,,,,,,1,143.4859088,,,,,,,,,,
CT_Moyobamba,Moyobamba_138_kV,Oil,,,1.9,0,,,,,,,,,,,1,143.4859088,,,,,,,,,,
CH_Purmacana,Paramonga_220_kV,Hydro_UGH,Weekly,,1.79,0,,225000,450000,,,,,,,,1,0.00001,,,,,,,,,,
CB_Huaycoloro_I,Huachipa_60_kV,Cogeneration,,,4.227246805,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Kallpa-CC,ChilcaREP_220_kV,CCGT,,,857.706975,0,,,,,,,,,,,1,20.91058128,,,,,,,,,,
CB_Maple,PiuraOeste_220_kV,Cogeneration,,,14.89392398,0,,,,,,,,,,,1,0,,,,,,,,,,
CT_Tablazo,PiuraOeste_220_kV,CCGT,,,25.10755,0,,,,,,,,,,,1,2.69,,,,,,,,,,
CS_Majes,Reparticion_138_kV,Solar_PV,,,9.478589421,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CS_Reparticion,Reparticion_138_kV,Solar_PV,,,9.430730479,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CS_Tacna,Tacna_66_kV,Solar_PV,,,11.88816121,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Chilca_1-CC,ChilcaCTM_220_kV,CCGT,,,807.536877,0,,,,,,,,,,,1,19.89060008,,,,,,,,,,
CS_Panamericana,Ilo3_138_kV,Solar_PV,,,12.76473552,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Planta_Ilo-DD,Ilo2_220_kV,Oil,,,495.5431473,0,,,,,,,,,,,1,172.8512908,,,,,,,,,,
CT_Malacas-TG5,Talara_220_kV,Oil,,,178.089052,0,,,,,,,,,,,1,155.9655109,,,,,,,,,,
CT_Olleros-TG1,Chilca_500_kV,CCGT,,,199.745431,0,,,,,,,,,,,1,26.81759971,,,,,,,,,,
CE_Marcona,Marcona_220_kV,Onshore_wind,,,16.93812785,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CE_Talara,Parinhas_220_kV,Onshore_wind,,,13.66130137,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CE_Cupisnique_I,Guadalupe_220_kV,Onshore_wind,,,34.58356164,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CH_Runatullu_III,Orcotuna_60_kV,Hydro_UGH,Weekly,,19.966,0,,225000,450000,,,,,,,,1,0.00001,,,,,,,,,,
CT_Fenix-CC,Chilca_500_kV,CCGT,,,558.3844396,0,,,,,,,,,,,1,20.0749581,,,,,,,,,,
CH_Runatullu_II,Orcotuna_60_kV,Hydro_UGH,Weekly,,19.967,0,,225000,450000,,,,,,,,1,0.00001,,,,,,,,,,
CS_Moquegua_FV,Ilo3_138_kV,Solar_PV,,,10.83123426,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CH_Canchayllo,Oroya_50_kV,Hydro_UGH,Weekly,,5.189,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Puerto_Maldonado-Emerg,PuertoMaldonado_138_kV,Ilo,,,6.745,0,,,,,,,,,,,1,277.1138893,,,,,,,,,,
CT_Eten,Reque_220_kV,Ilo,,,216.736667,0,,,,,,,,,,,1,164.9123527,,,,,,,,,,
CB_La_Gringa_V,Huachipa_60_kV,Cogeneration,,,2.905867362,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Recka,Reque_220_kV,CCGT,,,176.2777621,0,,,,,,,,,,,1,165.6561741,,,,,,,,,,
CE_Tres_Hermanas,Marcona_220_kV,Onshore_wind,,,47.46118721,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Chilca_2-TG41,ChilcaCTM_220_kV,CCGT,,,74.42650793,0,,,,,,,,,,,1,34.96627609,,,,,,,,,,
CT_Puerto_Bravo-DD,SanJose_500_kV,Ilo,,,694.6553385,0,,,,,,,,,,,1,171.0944775,,,,,,,,,,
CT_Puerto_Maldonado,PuertoMaldonado_138_kV,Ilo,,,17.489956,0,,,,,,,,,,,1,274.6648096,,,,,,,,,,
CT_Pucallpa,Pucallpa_60_kV,Ilo,,,38.57361,0,,,,,,,,,,,1,195.2423749,,,,,,,,,,
CH_Carpapata_III,Condorcocha_138_kV,Hydro_UGH,Weekly,,12.8,0,,250000,500000,,,,,,,,1,0.00001,,,,,,,,,,
CT_Ilo_4-DD,Montalvo_500_kV,Ilo,,,600.2720912,0,,,,,,,,,,,1,165.6945047,,,,,,,,,,
CT_Chilca_2-CC,ChilcaCTM_220_kV,CCGT,,,108.9547029,0,,,,,,,,,,,1,22.52075383,,,,,,,,,,
CT_Malacas-TG6,Talara_220_kV,CCGT,,,49.26984456,0,,,,,,,,,,,1,17.68724995,,,,,,,,,,
CH_Potrero,Cajamarca_220_kV,Hydro_UGH,Weekly,,15.27472182,0,,200000,400000,,,,,,,,1,0.00001,,,,,,,,,,
CH_Yarucaya,Huacho_220_kV,Hydro_UGH,Weekly,,13.12785388,0,,150000,300000,,,,,,,,1,0.00001,,,,,,,,,,
CS_Rubi,Montalvo_220_kV,Solar_PV,,,104.534005,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CH_RenovAndes_H1,Caripa_138_kV,Hydro_UGH,Weekly,,17.12328767,0,,150000,300000,,,,,,,,1,0.00001,,,,,,,,,,
CS_Intipampa,Moquegua_138_kV,Solar_PV,,,27.30579345,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Olleros-CC,Chilca_500_kV,CCGT,,,292.7011077,0,,,,,,,,,,,1,19.9848692,,,,,,,,,,
CE_Parque_Nazca,Poroma_220_kV,Onshore_wind,,,65.4109589,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CH_Her_1,Huampani_60_kV,Hydro_UGH,Weekly,,0.53196347,0,,114500,229000,,0.7,,,,,,1,0.00001,,,,,,,,,,
CB_Huaycoloro_II,Huachipa_60_kV,Cogeneration,,,1.98630137,0,,,,,0.7,,,,,,1,0.00001,,,,,,,,,,
CH_Carhuac,Callahuanca_60_kV,Hydro_UGH,Weekly,,11.07305936,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CB_Callao,Chillon_60_kV,Cogeneration,,,1.98630137,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CH_Centauro_I,KimanAyllu_138_kV,Hydro_UGH,Weekly,,11.875,0,,600000,1200000,,0.7,,,,,,1,0.00001,,,,,,,,,,
CH_Karpa,Vizcarra_220_kV,Hydro_UGH,Weekly,,13.12785388,0,,450000,900000,,0.7,,,,,,1,0.00001,,,,,,,,,,
CH_Manta,Huallanca_138_kV,Hydro_UGH,Weekly,,14.55479452,0,,150000,300000,,0.7,,,,,,1,0.00001,,,,,,,,,,
CH_Zanha_1,Chiclayo_220_kV,Hydro_UGH,Weekly,,9.239726027,0,,2401000,4802000,,0.7,,,,,,1,0.00001,,,,,,,,,,
CH_8_de_Agosto,TingoMaria_138_kV,Hydro_UGH,Weekly,,15.98173516,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CH_El_Carmen,TingoMaria_138_kV,Hydro_UGH,Weekly,,5.136986301,0,,50000,100000,,0.7,,,,,,1,0.00001,,,,,,,,,,
CE_Huambos,Cutervo_138_kV,Onshore_wind,,,9.872146119,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CE_Duna,Cutervo_138_kV,Onshore_wind,,,9.452054795,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CH_Santa_Lorenza_I,SantaLorenza_138_kV,Hydro_UGH,Weekly,,15.98173516,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Laguna_Azul,Callalli_138_kV,Hydro_UGH,Weekly,,14.84018265,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Hydrika_6,Trujillo_220_kV,Hydro_UGH,Weekly,,6.849315068,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Ayanunga,TingoMaria_138_kV,Hydro_UGH,Weekly,,15.02853881,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CT_Refineria_Talara,Parinhas_220_kV,CCGT,,,85,0,,,,,,,,,,,1,0,,,,,,,,,,
CH_Shima,Bellavista_138_kV,Hydro_UGH,Weekly,,6.7644,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Centauro_II,KimanAyllu_138_kV,Hydro_UGH,Weekly,,11.875,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Colca,Huayucachi_60_kV,Hydro_UGH,Weekly,,8.01369863,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Kusa,Nazca_60_kV,Hydro_UGH,Weekly,,8.279680365,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Alli,Nazca_60_kV,Hydro_UGH,Weekly,,7.913242009,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Hydrika_2,Trujillo_220_kV,Hydro_UGH,Weekly,,2.474270708,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Hydrika_4,Trujillo_220_kV,Hydro_UGH,Weekly,,4.948541415,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Hydrika_1,Trujillo_220_kV,Hydro_UGH,Weekly,,4.082546668,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Huatziroki_I,Yanango_220_kV,Hydro_UGH,Weekly,,8.25,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Hydrika_5,Trujillo_220_kV,Hydro_UGH,Weekly,,6.185676769,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Hydrika_3,Trujillo_220_kV,Hydro_UGH,Weekly,,6.185676769,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CT_Iquitos,Iquitos_220_kV,CCGT,,,77.6825,0,,,,,,,,,,,1,144.3147668,,,,,,,,,,
CT_Quillabamba,Suriray_220_kV,CCGT,,,193,0,,,,,,,,,,,1,33.52902331,,,,,,,,,,
CT_Planta_Ilo-CS,Ilo2_220_kV,CCGT,,,511.45,0,,,,,,,,,,,1,34.68375651,,,,,,,,,,
CT_Ilo_4-CS,Montalvo_500_kV,CCGT,,,685.15,0,,,,,,,,,,,1,32.60991097,,,,,,,,,,
CT_Puerto_Bravo-CS,SanJose_500_kV,CCGT,,,694.8,0,,,,,,,,,,,1,32.1884289,,,,,,,,,,
CT_Puerto_Bravo-CC,SanJose_500_kV,CCGT,,,984.3,0,,,,,,,,,,,1,23.23524341,,,,,,,,,,
CT_Ilo_4-CC,Montalvo_500_kV,CCGT,,,974.65,0,,,,,,,,,,,1,23.23524341,,,,,,,,,,
CT_Santa_Rosa-CC8,SantaRosa_220_kV,CCGT,,,307.3124911,0,,,,,,,,,,,1,21.14540946,,,,,,,,,,
CT_El_Faro-TG,Marcona_60_kV,CCGT,,,163.085,0,,,,,,,,,,,1,32.0595298,,,,,,,,,,
CT_El_Faro-CC,Marcona_60_kV,CCGT,,,254.374,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CT_Nueva_Esperanza,Zorritos_220_kV,CCGT,,,130.275,0,,,,,,,,,,,1,32.4659197,,,,,,,,,,
CT_Sur_-2TG+TV1,SanJose_500_kV,CCGT,,,501.8,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CT_Sur_-2TG+TV2,Montalvo_500_kV,CCGT,,,501.8,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CT_Sur_-2TG+TV3,Montalvo_500_kV,CCGT,,,501.8,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CT_Marco_-2TG+TV,Marcona_60_kV,CCGT,,,501.8,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CT_Norte-2TG+TV1,Chimbote_500_kV,CCGT,,,723.75,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CT_Norte-2TG+TV2,Chimbote_500_kV,CCGT,,,501.8,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CT_Norte-2TG+TV3,Chimbote_500_kV,CCGT,,,501.8,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CH_Tarucani,Socabaya_220_kV,Hydro_UGH,Weekly,,33.95,0,,5000,10000,,0.9,,,,,,1,0,,,,,,,,,,
CH_Pelagatos,Huallanca_138_kV,Hydro_UGH,Weekly,,14,0,,5000,10000,,0.9,,,,,,1,0,,,,,,,,,,
CH_Tambo1,Botiflaca_138_kV,Hydro_UGH,Weekly,,41.3,0,,5000,10000,,0.9,,,,,,1,0,,,,,,,,,,
RER-Ica,Marcona_220_kV,Hydro_UGH,Weekly,,30,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
RER-La_Libertad,Trujillo_220_kV,Hydro_UGH,Weekly,,15,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
RER-Moquegua,Moquegua_220_kV,Hydro_UGH,Weekly,,9,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
RER-Lambayeque,LaNinha_220_kV,Hydro_UGH,Weekly,,24,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Tingo,Excelsior_50_kV,Hydro_UGH,Weekly,,6.16,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_San_Marcos,Huallanca_138_kV,Hydro_UGH,Weekly,,8.33,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Muchcapata,TingoMaria_138_kV,Hydro_UGH,Weekly,,5.67,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Vilcanota_2,Suriray_220_kV,Hydro_UGH,Weekly,,13.86,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Cola_1,Trujillo_220_kV,Hydro_UGH,Weekly,,7.28,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Tulumayo_IV,Huayucachi_220_kV,Hydro_UGH,Weekly,,28,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Tulumayo_V,Huayucachi_220_kV,Hydro_UGH,Weekly,,45.5,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Macon,Huayucachi_220_kV,Hydro_UGH,Weekly,,7,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Nueva_Esperanza,TingoMaria_138_kV,Hydro_UGH,Weekly,,6.538,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Las_Cruces,Moquegua_138_kV,Hydro_UGH,Weekly,,10.22,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CT_Norte-TG1,Trujillo_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,152.6265055,,,,,,,,,,
CT_Norte-TG2,Chimbote_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,152.6265055,,,,,,,,,,
CT_Norte-TG3,Trujillo_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,152.6265055,,,,,,,,,,
CT_Centro-TG1,Carabayllo_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,160.5844599,,,,,,,,,,
CT_Centro-TG2,Carabayllo_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,160.5844599,,,,,,,,,,
CT_Centro-TG3,Carabayllo_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,160.5844599,,,,,,,,,,
CT_Centro-TG4,Carabayllo_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,160.5844599,,,,,,,,,,
CT_Sur_Mollendo-TG1,SanJose_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,141.1403311,,,,,,,,,,
CT_Sur_Mollendo-TG2,SanJose_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,141.1403311,,,,,,,,,,
CT_Sur_Ilo-TG3,Montalvo_500_kV,Sub_bitumous,,,193,0,,,,,,,,,,,1,141.1403311,,,,,,,,,,
CH_Viroc,Paragsha_138_kV,Hydro_UGH,Weekly,,9.1,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Milloc,Callahuanca_60_kV,Hydro_UGH,Weekly,,13.58,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Huasicancha,Huayucachi_220_kV,Hydro_UGH,Weekly,,4.375,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Chilcay,Huayucachi_220_kV,Hydro_UGH,Weekly,,8.407,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Las_Orquideas,Moyobamba_138_kV,Hydro_UGH,Weekly,,11.34,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Pallca,Callahuanca_60_kV,Hydro_UGH,Weekly,,7.07,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CT_Piura-CC,Piura_500_kV,Anthracit,,,501.8,0,,,,,,,,,,,1,20.55057079,,,,,,,,,,
CT_Libertadores-CC,Independencia_500_kV,Anthracit,,,532.68,0,,,,,,,,,,,1,22.895026,,,,,,,,,,
CT_Sulpay-TG,Independencia_220_kV,Anthracit,,,334.1795,0,,,,,,,,,,,1,32.0595298,,,,,,,,,,
CS_Santa_Bertha,Bellavista_138_kV,Solar_PV,,,27.78530735,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CS_Fotovoltaica_La_Joya,Mollendo_138_kV,Solar_PV,,,10.10374813,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CS_Pampa_de_Siguas,Reparticion_138_kV,Solar_PV,,,10.66506747,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CE_Parque_Malabrigo,Guadalupe_220_kV,Onshore_wind,,,24.2489955,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CE_Parque_Pampa_Salinas,Huacho_220_kV,Onshore_wind,,,20.20749625,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CE_Yacila,PiuraOeste_220_kV,Onshore_wind,,,27.11172414,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CH_Langui_II,Combapata_138_kV,Hydro_UGH,Weekly,,2.03,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Campanayocc,Mantaro_220_kV,Hydro_UGH,Weekly,,3.234,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CH_Roca_Grande,Cajamarca_220_kV,Hydro_UGH,Weekly,,14,0,,5000,10000,,0.9,,,,,,1,0.00001,,,,,,,,,,
CT_La_Pamplilla,Ventanilla_220_kV,Sub_bitumous,,,8.685,0,,,,,,,,,,,1,94.32250349,,,,,,,,,,
