,,,LineType,LossesCoeff,X,TTC,FixedCost,FxChargeRate
Moquegua_220_kV,Montalvo_220_kV,cc1,AC,0,0.00402062,686,0,0
Moquegua_220_kV,Ilo2_220_kV,cc1,AC,0,0.058308778,392,0,0
Ilo3_220_kV,Ilo2_220_kV,cc1,AC,0,0.022132386,392,0.896806829,0.075
Moquegua_220_kV,Ilo3_220_kV,cc1,AC,0,0.036176392,392,1.363639733,0.075
Moquegua_220_kV,TiaMaria_220_kV,cc1,AC,0,0.101974388,294,0,0
Ilo3_220_kV,TiaMaria_220_kV,cc1,AC,0,0.119208645,294,0,0
Moquegua_220_kV,LosHeroes_220_kV,cc1,AC,0,0.131407049,147,0,0
Montalvo_220_kV,LosHeroes_220_kV,cc1,AC,0,0.136131488,245,0,0
Puno_220_kV,Moquegua_220_kV,cc1,AC,0,0.201874041,147,0,0
Juliaca_220_kV,Puno_220_kV,cc1,AC,0,0.02931195,441,0,0
Azangaro_220_kV,Juliaca_220_kV,cc1,AC,0,0.06179276,441,0,0
Tintaya_220_kV,Azangaro_220_kV,cc1,AC,0,0.129163636,441,0,0
Tintaya_220_kV,Socabaya_220_kV,cc1,AC,0,0.210476912,196,0,0
Tintaya_220_kV,Constancia_220_kV,cc1,AC,0,0.072622492,147,0,0
Cotaruse_220_kV,LasBambas_220_kV,cc1,AC,0,0.133295207,147,0,0
Onocora_220_kV,Tintaya_220_kV,cc1,AC,0,0.050868057,294,0,0
Kayra_220_kV,Onocora_220_kV,cc1,AC,0,0.086451198,294,0,0
Suriray_220_kV,Kayra_220_kV,cc1,AC,0,0.112115446,294,0,0
Suriray_220_kV,Abancay_220_kV,cc1,AC,0,0.061168376,245,0,0
Abancay_220_kV,Cotaruse_220_kV,cc1,AC,0,0.136865558,245,0,0
Suriray_220_kV,Cotaruse_220_kV,cc1,AC,0,0.198349778,245,0,0
Carhuaquero_220_kV,Carhuaquero_138_kV,cc1,AC,0,0.342857143,9999,0,0
Guadalupe_220_kV,Guadalupe_60_kV,cc1,AC,0,0.082903161,9999,0,0
Chimbote_220_kV,Chimbote_138_kV,cc1,AC,0,0.044868229,235.2,0,0
KimanAyllu_220_kV,KimanAyllu_138_kV,cc1,AC,0,0.12533,98,0,0
Paramonga_220_kV,SEPANU_138_kV,cc1,AC,0,0.179846154,9999,0,0
Lomera_220_kV,Lomera_60_kV,cc1,AC,0,0.104,9999,0,0
Zapallal_220_kV,Huarangal_60_kV,cc1,AC,0,0.069555556,9999,0,0
Chillon_220_kV,Chillon_60_kV,cc1,AC,0,0.029555556,9999,0,0
Chavarria_220_kV,Chavarria_60_kV,cc1,AC,0,0.021904939,9999,0,0
Barsi_220_kV,Barsi_60_kV,cc1,AC,0,0.023704828,9999,0,0
Mirador_220_kV,Mirador_60_kV,cc1,AC,0,0.096666667,9999,0,0
Malvinas_220_kV,Mirones_60_kV,cc1,AC,0,0.063055556,9999,0,0
Aeropuerto_220_kV,Aeropuerto_60_kV,cc1,AC,0,0.058,9999,0,0
SantaRosa_220_kV,SantaRosaLDS_60_kV,cc1,AC,0,0.020688047,9999,0,0
SantaRosa_220_kV,SantaRosaEDN_60_kV,cc1,AC,0,0.020688047,9999,0,0
Balnearios_220_kV,Balnearios_60_kV,cc1,AC,0,0.019048923,9999,0,0
SanJuan_220_kV,SanJuan_60_kV,cc1,AC,0,0.032347476,9999,0,0
Pachacutec_220_kV,Pachacutec_60_kV,cc1,AC,0,0.047833333,9999,0,0
Industriales_220_kV,Puente_60_kV,cc1,AC,0,0.052551042,9999,0,0
Manchay_220_kV,Manchay_60_kV,cc1,AC,0,0.09175,9999,0,0
SanMiguel_220_kV,SanMiguel_60_kV,cc1,AC,0,0.042965626,9999,0,0
ChilcaREP_220_kV,Chilca_60_kV,cc1,AC,0,0.095,9999,0,0
AltoPraderas_220_kV,Praderas_60_kV,cc1,AC,0,0.052375,9999,0,0
Asia_220_kV,Bujama_60_kV,cc1,AC,0,0.139294118,9999,0,0
Independencia_220_kV,Independencia_60_kV,cc1,AC,0,0.093994787,9999,0,0
Chincha_220_kV,PuebloNuevo_60_kV,cc1,AC,0,0.196,9999,0,0
Marcona_220_kV,Marcona_60_kV,cc1,AC,0,0.096955655,9999,0,0
Nazca_220_kV,Nazca_60_kV,cc1,AC,0,0.191866667,9999,0,0
Callahuanca_220_kV,Callahuanca_60_kV,cc1,AC,0,0.138235294,9999,0,0
Mantaro_220_kV,Cobriza_69_kV,cc1,AC,0,0.2484,9999,0,0
Mollepata_220_kV,Mollepata_69_kV,cc1,AC,0,0.2196,9999,0,0
Huayucachi_220_kV,Huayucachi_60_kV,cc1,AC,0,0.201439206,9999,0,0
Orcotuna_220_kV,Orcotuna_60_kV,cc1,AC,0,0.22,9999,0,0
Oroya_220_kV,Oroya_50_kV,cc1,AC,0,0.1245,98,0,0
Carhuamayo_220_kV,Carhuamayo_138_kV,cc1,AC,0,0.120666667,147,0,0
Yuncan_220_kV,Yuncan_138_kV,cc1,AC,0,0.092833333,117.6,0,0
Paragsha_220_kV,Paragsha_138_kV,cc1,AC,0,0.07667,117.6,0,0
Huanuco_220_kV,HuanucoNueva_138_kV,cc1,AC,0,0.14,98,0,0
TingoMaria_220_kV,TingoMaria_138_kV,cc1,AC,0,0.141861219,98,0,0
Aguaytia_220_kV,Aguaytia(neutro)_138_kV,cc1,AC,0,0.09375,117.6,0,0
Aguaytia_138_kV,Aguaytia(neutro)_138_kV,cc1,AC,0,0.0645,117.6,0,0
Aguaytia_22.9_kV,Aguaytia(neutro)_138_kV,cc1,AC,0,0.098083333,39.2,0,0
Moyobamba_220_kV,Moyobamba_138_kV,cc1,AC,0,0.07,98,0,0
Socabaya_220_kV,Socabaya_138_kV,cc1,AC,0,0.031433333,294,0,0
Moquegua_220_kV,Moquegua_138_kV,cc1,AC,0,0.0226,588,0,0
LosHeroes_220_kV,Tacna_66_kV,cc1,AC,0,0.256,49,0,0
Ilo3_220_kV,Ilo3_138_kV,cc1,AC,0,0.025037494,392,0,0
Puno_220_kV,Puno_138_kV,cc1,AC,0,0.1015,117.6,0,0
Juliaca_220_kV,Juliaca_138_kV,cc1,AC,0,0.1015,98,0,0
Azangaro_220_kV,Azangaro_138_kV,cc1,AC,0,0.1015,98,0,0
Tintaya_220_kV,Tintaya_138_kV,cc1,AC,0,0.07296,122.5,0,0
