,Latitude,Longitude
Parinhas_500_kV,-4.557451,-81.191408
Piura_500_kV,-5.171653,-80.524071
LaNinha_500_kV,-5.926986,-80.530912
Veracruz_500_kV,-5.872733,-78.691055
Trujillo_500_kV,-8.045077,-79.053462
Celendin_500_kV,-6.865527,-78.145209
Jaen_500_kV,-5.709466,-78.798495
Chimbote_500_kV,-9.00908,-78.559015
Paramonga_500_kV,-10.679669,-77.741797
Carabayllo_500_kV,-11.792742,-76.949526
Carapongo_500_kV,-11.974486,-76.861434
Planicie_500_kV,-12.088819,-76.843218
Chilca_500_kV,-12.497573,-76.725004
Independencia_500_kV,-13.71686,-75.968599
Poroma_500_kV,-15.046655,-75.053327
Oconha_500_kV,-16.442143,-73.034946
SanJose_500_kV,-16.676239,-71.808126
Montalvo_500_kV,-17.190601,-70.999942
Yarabamba_500_kV,-16.504567,-71.519531
Colcabamba_500_kV,-12.383379,-74.648241
Yanango_500_kV,-11.185683,-75.465561
Yuncan_500_kV,-10.722021,-75.644152
Yungas_500_kV,-9.645281,-76.901443
Huanuco_500_kV,-9.911803,-76.253033
Tocache_500_kV,-8.184446,-76.509706
Mara_I_500_kV,-7.292301,-77.840337
Mara_II_500_kV,-7.292301,-77.840337
Cotaruse_500_kV,-14.532926,-73.301385
Abancay_500_kV,-13.544403,-72.837223
Onocora_500_kV,-14.190231,-71.330412
Machala_220_kV,-3.269973,-79.932826
Zorritos_220_kV,-3.64581,-80.603743
Tumbes_220_kV,-3.57552,-80.44734
Talara_220_kV,-4.556555,-81.181879
Parinhas_220_kV,-4.557451,-81.191408
PiuraOeste_220_kV,-5.168493,-80.699186
PiuraEste_220_kV,-5.171653,-80.524071
Chira_220_kV,-4.861984,-80.790896
LaNinha_220_kV,-5.927237,-80.531086
Felam_220_kV,-6.313972,-80.240869
Chiclayo_220_kV,-6.780877,-79.869011
Olmos_220_kV,-6.106861,-80.141279
Reque_220_kV,-6.86302,-79.793064
Guadalupe_220_kV,-7.305715,-79.458288
Carhuaquero_220_kV,-6.606662,-79.246283
Trujillo_220_kV,-8.045077,-79.053462
TrujilloNueva_220_kV,-8.044912,-79.007984
Viru_220_kV,-8.42278,-78.777599
Cajamarca_220_kV,-7.057641,-78.603117
Celendin_220_kV,-6.876941,-78.152897
Caclic_220_kV,-6.241619,-77.854794
Moyobamba_220_kV,-6.058583,-76.988875
Iquitos_220_kV,-3.743157,-73.243843
CerroCorona_220_kV,-6.769923,-78.629901
LaRamada_220_kV,-7.912741,-78.153742
KimanAyllu_220_kV,-8.775438,-77.872542
Chimbote_220_kV,-9.01101,-78.556773
Huarmey_220_kV,-10.067428,-78.158227
Paramonga_220_kV,-10.679731,-77.742203
MedioMundo_220_kV,-10.89501,-77.63259
Huacho_220_kV,-11.114114,-77.516295
Lomera_220_kV,-11.433067,-77.274869
Zapallal_220_kV,-11.83687,-77.111142
Carabayllo_220_kV,-11.792742,-76.949526
Mirador_220_kV,-11.905441,-76.985749
Malvinas_220_kV,-12.037879,-77.051373
Ventanilla_220_kV,-11.937099,-77.118364
Chillon_220_kV,-11.931223,-77.116908
Chavarria_220_kV,-11.997987,-77.06611
Aeropuerto_220_kV,-12.02419,-77.111662
Barsi_220_kV,-12.04824,-77.104471
Huinco_220_kV,-11.759558,-76.614477
SantaRosa_220_kV,-12.038922,-77.011439
Industriales_220_kV,-12.055844,-76.968277
SanLuis_220_kV,-12.064001,-76.999172
LosSauces_220_kV,-12.06636,-76.978991
SanJuan_220_kV,-12.177139,-76.973867
Pachacutec_220_kV,-12.207702,-76.9312
Balnearios_220_kV,-12.112094,-76.995072
AltoPraderas_220_kV,-12.787913,-76.56559
ChilcaREP_220_kV,-12.497573,-76.725004
