Period,Scenario,LoadLevel,Ant_C3,Ant_C4,Ant_C7,Ant_C8,Gas_C1,Gas_C2,Gas_C21,Gas_C22,Gas_C31,Gas_C32,Gas_C33,Gas_C5,Gas_C6,Hyd_H25,Hyd_H26,Hyd_H27,Nuc_N23,Nuc_N24,Pum_H28,Pum_H29,Pum_H30,Sub_C10,Sub_C11,Sub_C12,Sub_C13,Sub_C14,Sub_C16,Sub_C17,Sub_C18,Sub_C19,Sub_C20,Sub_C9
2030,sc01,12-22 15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.17213000000000017,0.0,0.0,0.0,0.3864000000000001,0.0,0.0,0.0,0.0,0.099,0.7040000000000001,0.7040000000000001,0.099,0.0,0.099,0.14400000000000002,0.14400000000000002,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-22 17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2976,0.0,0.14859499999999895,0.0,0.3864000000000001,0.0,0.0,0.099,0.099,0.099,0.7040000000000001,0.7040000000000001,0.0,0.0,0.099,0.14400000000000002,0.14400000000000002,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-22 19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2976,0.0,0.02541999968000333,0.19334399999999996,0.3864000000000001,0.0,0.0,0.099,0.0,0.03955600031999898,0.7040000000000001,0.7040000000000001,0.099,0.099,0.099,0.14400000000000002,0.14400000000000002,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-22 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2976,0.0,0.0,0.0,0.3864000000000001,0.0,0.0,0.099,0.038869999999998864,0.099,0.7040000000000001,0.7040000000000001,0.099,0.0,0.099,0.14400000000000002,0.14400000000000002,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-22 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.1394600000000002,0.0,0.0,0.0,0.3864000000000001,0.0,0.0,0.0,0.0,0.099,0.7040000000000001,0.7040000000000001,0.0,0.0,0.099,0.14400000000000002,0.14400000000000002,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-23 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.104256,0.0,0.0,0.0,0.13909399999999875,0.0,0.0,0.0,0.0,0.0,0.7040000000000001,0.7040000000000001,0.0,0.0,0.0,0.14400000000000002,0.14400000000000002,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-23 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.104256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7040000000000001,0.7040000000000001,0.0,0.0,0.0,0.0,0.08509399999999992,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-23 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.104256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7040000000000001,0.7040000000000001,0.0,0.0,0.0,0.0,0.0,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.12221899999999948
2030,sc01,12-23 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.104256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7040000000000001,0.7040000000000001,0.0,0.0,0.0,0.12784400000000018,0.0,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-23 09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.104256,0.0,0.0,0.005955999679999824,0.3864000000000001,0.0,0.0,0.0,0.099,0.0,0.7040000000000001,0.7040000000000001,0.0,0.0,0.032488000319999016,0.14400000000000002,0.14400000000000002,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
2030,sc01,12-23 11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.104256,0.0,0.11831899999999931,0.0,0.3864000000000001,0.0,0.0,0.099,0.0,0.099,0.7040000000000001,0.7040000000000001,0.099,0.0,0.0,0.14400000000000002,0.14400000000000002,0.3743,0.3743,0.3743,0.0,0.0,0.0,0.0,0.0,0.14400000000000002
