Period,Scenario,LoadLevel,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124
2030,sc01,01-01 01:00:00+01:00,66.28922739290493,66.28922739290492,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290492,66.28922739290492,66.28922739290488,66.28922739290499,66.28922739290496,66.28922739290499,66.28922739290498,66.28922739290498,66.28922739290499,66.28922739290499,66.28922739290498,66.28922739290498,66.28922739290493,66.28922739290496
2030,sc01,01-01 03:00:00+01:00,66.38937978093327,66.38937978093327,66.3893797809333,66.38937978093333,66.38937978093331,66.38937978093331,66.38937978093331,66.38937978093331,66.38937978093333,66.38937978093331,66.38937978093334,66.38937978093335,66.3893797809334,66.38937978093328,66.38937978093328,66.38937978093328,66.3893797809333,66.3893797809333,66.38937978093335,66.38937978093335,66.3893797809333,66.3893797809333,66.38937978093335,66.38937978093328
2030,sc01,01-01 05:00:00+01:00,66.38937978093324,66.38937978093324,66.38937978093327,66.38937978093331,66.38937978093331,66.38937978093331,66.38937978093331,66.38937978093331,66.38937978093331,66.38937978093331,66.38937978093334,66.38937978093335,66.3893797809334,66.38937978093328,66.38937978093328,66.38937978093328,66.3893797809333,66.3893797809333,66.38937978093335,66.38937978093335,66.3893797809333,66.3893797809333,66.38937978093335,66.38937978093328
2030,sc01,01-01 07:00:00+01:00,66.38937978093358,66.38937978093357,66.38937978093342,66.38937978093342,66.38937978093344,66.38937978093344,66.38937978093344,66.38937978093344,66.38937978093342,66.38937978093344,66.3893797809334,66.38937978093338,66.38937978093334,66.38937978093337,66.38937978093338,66.38937978093337,66.38937978093338,66.38937978093338,66.38937978093335,66.38937978093335,66.38937978093338,66.38937978093338,66.38937978093335,66.38937978093338
2030,sc01,01-01 09:00:00+01:00,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021219,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021219,67.66298713021217,67.66298713021217,67.6629871302122,67.66298713021224,67.66298713021213,67.66298713021213,67.66298713021213,67.66298713021214,67.66298713021214,67.66298713021219,67.66298713021219,67.66298713021214,67.66298713021214,67.66298713021219,67.66298713021213
2030,sc01,01-01 11:00:00+01:00,67.66298713021207,67.66298713021207,67.66298713021212,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021217,67.6629871302122,67.66298713021224,67.66298713021213,67.66298713021213,67.66298713021213,67.66298713021214,67.66298713021214,67.66298713021219,67.66298713021219,67.66298713021214,67.66298713021214,67.66298713021219,67.66298713021213
2030,sc01,01-01 13:00:00+01:00,67.66298713021227,67.66298713021227,67.66298713021222,67.66298713021223,67.66298713021223,67.66298713021223,67.66298713021223,67.66298713021223,67.66298713021223,67.66298713021223,67.66298713021222,67.66298713021222,67.66298713021222,67.6629871302122,67.66298713021222,67.6629871302122,67.66298713021222,67.66298713021222,67.66298713021219,67.66298713021219,67.66298713021222,67.66298713021222,67.66298713021219,67.66298713021222
2030,sc01,01-01 15:00:00+01:00,67.66298713021207,67.66298713021207,67.66298713021212,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021217,67.6629871302122,67.66298713021224,67.66298713021213,67.66298713021213,67.66298713021213,67.66298713021214,67.66298713021214,67.66298713021219,67.66298713021219,67.66298713021214,67.66298713021214,67.66298713021219,67.66298713021213
2030,sc01,01-01 17:00:00+01:00,67.66298713021216,67.66298713021216,67.66298713021219,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021216,67.66298713021217,67.66298713021216,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219
2030,sc01,01-01 19:00:00+01:00,67.6629871302124,67.6629871302124,67.66298713021226,67.66298713021222,67.66298713021223,67.66298713021223,67.66298713021223,67.66298713021223,67.66298713021222,67.66298713021223,67.66298713021214,67.66298713021216,67.66298713021203,67.66298713021217,67.66298713021219,67.66298713021217,67.66298713021219,67.66298713021219,67.66298713021217,67.66298713021217,67.66298713021219,67.66298713021219,67.66298713021213,67.66298713021219
2030,sc01,01-01 21:00:00+01:00,67.66298713021207,67.66298713021207,67.66298713021214,67.66298713021217,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021216,67.66298713021217,67.66298713021216,67.66298713021216,67.6629871302122,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219
2030,sc01,01-01 23:00:00+01:00,66.28922739290493,66.28922739290492,66.28922739290493,66.28922739290495,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290495,66.28922739290493,66.28922739290492,66.28922739290496,66.28922739290502,66.28922739290476,66.28922739290473,66.28922739290476,66.28922739290475,66.28922739290475,66.28922739290476,66.28922739290476,66.28922739290475,66.28922739290475,66.28922739290486,66.28922739290473
2030,sc01,01-02 01:00:00+01:00,66.28922739290493,66.28922739290492,66.28922739290493,66.28922739290495,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290495,66.28922739290493,66.28922739290492,66.28922739290496,66.28922739290502,66.28922739290476,66.28922739290473,66.28922739290476,66.28922739290475,66.28922739290475,66.28922739290476,66.28922739290476,66.28922739290475,66.28922739290475,66.28922739290486,66.28922739290473
2030,sc01,01-02 03:00:00+01:00,66.28922739290493,66.28922739290492,66.28922739290493,66.28922739290495,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290495,66.28922739290493,66.28922739290492,66.28922739290496,66.28922739290502,66.28922739290476,66.28922739290473,66.28922739290476,66.28922739290475,66.28922739290475,66.28922739290476,66.28922739290476,66.28922739290475,66.28922739290475,66.28922739290486,66.28922739290473
2030,sc01,01-02 05:00:00+01:00,66.28922739290495,66.28922739290493,66.28922739290499,66.28922739290495,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290493,66.28922739290495,66.28922739290493,66.28922739290492,66.28922739290492,66.28922739290488,66.28922739290499,66.28922739290496,66.28922739290499,66.28922739290498,66.28922739290498,66.28922739290499,66.28922739290499,66.28922739290498,66.28922739290498,66.28922739290493,66.28922739290496
2030,sc01,01-02 07:00:00+01:00,67.66298713021229,67.66298713021227,67.6629871302122,67.66298713021222,67.66298713021222,67.66298713021222,67.66298713021222,67.66298713021222,67.66298713021222,67.66298713021222,67.66298713021219,67.6629871302122,67.66298713021224,67.66298713021214,67.66298713021216,67.66298713021214,67.66298713021216,67.66298713021216,67.66298713021219,67.66298713021219,67.66298713021216,67.66298713021216,67.66298713021219,67.66298713021216
2030,sc01,01-02 09:00:00+01:00,67.66298713021216,67.66298713021216,67.66298713021219,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021216,67.66298713021217,67.66298713021216,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219
2030,sc01,01-02 11:00:00+01:00,67.66298713021216,67.66298713021216,67.66298713021219,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021216,67.66298713021217,67.66298713021216,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219
2030,sc01,01-02 13:00:00+01:00,67.66298713021216,67.66298713021216,67.66298713021219,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021217,67.66298713021216,67.66298713021217,67.66298713021216,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219,67.66298713021219
