Period,Scenario,LoadLevel,Area1
2020,sc01,01-04 08:00:00+01:00,17.9390931
2020,sc01,01-04 09:00:00+01:00,18.24389722
2020,sc01,01-04 10:00:00+01:00,18.27480625
2020,sc01,01-04 11:00:00+01:00,18.09485405
2020,sc01,01-04 12:00:00+01:00,17.97474163
2020,sc01,01-04 13:00:00+01:00,17.8573739
2020,sc01,01-04 14:00:00+01:00,17.97204526
2020,sc01,01-04 15:00:00+01:00,18.38450513
2020,sc01,01-04 16:00:00+01:00,18.92539985
2020,sc01,01-04 17:00:00+01:00,19.08076766
2020,sc01,01-04 18:00:00+01:00,18.52011674
2020,sc01,01-04 19:00:00+01:00,17.81014698
2020,sc01,01-04 20:00:00+01:00,17.04108963
2020,sc01,01-04 21:00:00+01:00,16.3002082
2020,sc01,01-04 22:00:00+01:00,15.4263619
2020,sc01,01-04 23:00:00+01:00,14.54479909
2020,sc01,01-05 00:00:00+01:00,14.06092435
2020,sc01,01-05 01:00:00+01:00,13.69042804
2020,sc01,01-05 02:00:00+01:00,13.44926934
2020,sc01,01-05 03:00:00+01:00,13.49808436
2020,sc01,01-05 04:00:00+01:00,13.98846806
2020,sc01,01-05 05:00:00+01:00,15.16021408
2020,sc01,01-05 06:00:00+01:00,16.37502332
2020,sc01,01-05 07:00:00+01:00,17.40452434
2020,sc01,01-05 08:00:00+01:00,17.90062741
2020,sc01,01-05 09:00:00+01:00,18.19633905
2020,sc01,01-05 10:00:00+01:00,18.19941731
2020,sc01,01-05 11:00:00+01:00,17.95209579
2020,sc01,01-05 12:00:00+01:00,17.73743158
2020,sc01,01-05 13:00:00+01:00,17.52604517
2020,sc01,01-05 14:00:00+01:00,17.61240691
2020,sc01,01-05 15:00:00+01:00,17.97939542
2020,sc01,01-05 16:00:00+01:00,18.47820645
2020,sc01,01-05 17:00:00+01:00,18.58475063
2020,sc01,01-05 18:00:00+01:00,17.96317581
2020,sc01,01-05 19:00:00+01:00,17.25181154
2020,sc01,01-05 20:00:00+01:00,16.51381279
2020,sc01,01-05 21:00:00+01:00,15.87500772
2020,sc01,01-05 22:00:00+01:00,15.08556442
2020,sc01,01-05 23:00:00+01:00,14.25421778
2020,sc01,01-06 00:00:00+01:00,13.72470621
2020,sc01,01-06 01:00:00+01:00,13.25881888
2020,sc01,01-06 02:00:00+01:00,12.87825121
2020,sc01,01-06 03:00:00+01:00,12.64144648
2020,sc01,01-06 04:00:00+01:00,12.56731737
2020,sc01,01-06 05:00:00+01:00,12.89338671
2020,sc01,01-06 06:00:00+01:00,13.3853926
2020,sc01,01-06 07:00:00+01:00,13.98779199
2020,sc01,01-06 08:00:00+01:00,14.70544581
2020,sc01,01-06 09:00:00+01:00,15.22435125
2020,sc01,01-06 10:00:00+01:00,15.47725315
2020,sc01,01-06 11:00:00+01:00,15.46836451
2020,sc01,01-06 12:00:00+01:00,15.19610253
2020,sc01,01-06 13:00:00+01:00,15.03747643
2020,sc01,01-06 14:00:00+01:00,15.09820905
2020,sc01,01-06 15:00:00+01:00,15.59982036
2020,sc01,01-06 16:00:00+01:00,16.2930182
2020,sc01,01-06 17:00:00+01:00,16.65118426
2020,sc01,01-06 18:00:00+01:00,16.33038621
2020,sc01,01-06 19:00:00+01:00,15.83131375
2020,sc01,01-06 20:00:00+01:00,15.31410729
2020,sc01,01-06 21:00:00+01:00,14.83987039
2020,sc01,01-06 22:00:00+01:00,14.18732302
2020,sc01,01-06 23:00:00+01:00,13.4526398
2020,sc01,01-07 00:00:00+01:00,12.96831897
