,Node,Technology,MutuallyExclusive,StorageType,OutflowsType,EnergyType,MustRun,OutflowsIncompatibility,NoOperatingReserve,BinaryInvestment,BinaryRetirement,BinaryCommitment,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,MaximumPowerHeat,MinimumPowerHeat,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ShiftTime,EFOR,RampUp,RampDown,UpTime,DownTime,StableTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,OperReserveCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedInvestmentCost,FixedRetirementCost,FixedChargeRate,StorageInvestment,Inertia,MaximumReactivePower,MinimumReactivePower,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,ProductionFunctionHydro,ProductionFunctionH2,ProductionFunctionHeat,ProductionFunctionH2ToHeat
JGWCoal3,Nigeria States|Jigawa,Hard_Coal,,,,,,,,,,,2021,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2841,3365,2,,1.7976,,0.6254,,,,,,,,,,,,,,,,
KTNcoal1,Nigeria States|Katsina,Hard_Coal,,,,,,,,,,,2025,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2798,3254,2,,1.8828,,0.6032,,,,,,,,,,,,,,,,
KTNcoal2,Nigeria States|Katsina,Hard_Coal,,,,,,,,,,,2018,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2901,3265,2,,1.8816,,0.635,,,,,,,,,,,,,,,,
KTNcoal3,Nigeria States|Katsina,Hard_Coal,,,,,,,,,,,2025,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2897,3245,2,,1.926,,0.6542,,,,,,,,,,,,,,,,
ZMFcoal1,Nigeria States|Zamfara,Hard_Coal,,,,,,,,,,,2023,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2891,3564,2,,1.9188,,0.6254,,,,,,,,,,,,,,,,
ZMFcoal2,Nigeria States|Zamfara,Hard_Coal,,,,,,,,,,,2019,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2893,3523,2,,1.9068,,0.6234,,,,,,,,,,,,,,,,
ZMFcoal3,Nigeria States|Zamfara,Hard_Coal,,,,,,,,,,,2019,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2903,3456,2,,1.9044,,0.6123,,,,,,,,,,,,,,,,
SKTcoal1,Nigeria States|Sokoto,Hard_Coal,,,,,,,,,,,2025,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2904,3654,2,,1.8828,,0.6124,,,,,,,,,,,,,,,,
SKTcoal2,Nigeria States|Sokoto,Hard_Coal,,,,,,,,,,,2025,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2893,3256,2,,1.9044,,0.6134,,,,,,,,,,,,,,,,
SKTcoal3,Nigeria States|Sokoto,Hard_Coal,,,,,,,,,,,2019,2050,750,45,,,,,,,,,,0.1,,,,,,0.0012,2482,3651,2,,1.8255,,0.603,,,,,,,,,,,,,,,,
KNcoal1,Nigeria States|Kano,Hard_Coal,,,,,,,,,,,2024,2050,1800,90,,,,,,,,,,0.15,,,,,,0.0012,2440,2720,2,,1.8768,,0.654,,,,,,,,,,,,,,,,
KNcoal2,Nigeria States|Kano,Hard_Coal,,,,,,,,,,,2025,2050,1800,90,,,,,,,,,,0.06,,,,,,0.0012,2456,2790,2,,1.8744,,0.613,,,,,,,,,,,,,,,,
KNcoal3,Nigeria States|Kano,Hard_Coal,,,,,,,,,,,2023,2050,1800,90,,,,,,,,,,0.06,,,,,,0.0012,2564,2756,2,,1.7472,,0.654,,,,,,,,,,,,,,,,
KNcoal4,Nigeria States|Kano,Hard_Coal,,,,,,,,,,,2016,2050,1800,90,,,,,,,,,,0.15,,,,,,0.0012,2440,2720,2,,1.5072,,0.63254,,,,,,,,,,,,,,,,
KNJ,Nigeria States|Niger,Hydro,,Daily,,,,,,,,,2000,2050,800,340,,,,,3046.666667,5000,1093.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBA,Nigeria States|Niger,Hydro,,Daily,,,,,,,,,2000,2050,600,275,,,,,907.4074072,1481.481481,333.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHR,Nigeria States|Niger,Hydro,,Daily,,,,,,,,,2000,2050,540,265,,,,,1596.153846,2423.076923,769.2307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAB,Nigeria States|Taraba,Hydro,,Daily,,,,,,,,,2013,2050,2000,900,,,,,1851.851852,2962.962963,740.7407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNG,Nigeria States|Niger,Hydro,,Daily,,,,,,,,,2011,2050,950,410,,,,,833.3333335,1277.777778,388.8888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAD,Nigeria States|Kaduna,Hydro,,Daily,,,,,,,,,2011,2050,39,0,,,,,3220,4400,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAB_2,Nigeria States|Taraba,Hydro,,Daily,,,,,,,,,2020,2050,3600,1200,,,,,1704.225352,2676.056338,732.3943662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNJ_2,Nigeria States|Kebbi,Hydro,,Daily,,,,,,,,,2022,2050,2400,700,,,,,1780.701754,2807.017544,754.3859649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBA_2,Nigeria States|Niger,Hydro,,Daily,,,,,,,,,2024,2050,2400,700,,,,,1720.338983,2711.864407,728.8135593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHR_2,Nigeria States|Kaduna,Hydro,,Daily,,,,,,,,,2026,2050,2400,0,,,,,1750,2758.62069,741.3793103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
