Node,Latitude,Longitude
Nigeria States|Abia,5.4711,7.5146
Nigeria States|Adamawa,9.4057,12.5107
Nigeria States|Akwa Ibom,5.0444,7.836
Nigeria States|Anambra,6.3808,7.0038
Nigeria States|Bauchi,10.5553,10.0031
Nigeria States|Bayelsa,4.8091,6.0809
Nigeria States|Benue,7.3897,8.7479
Nigeria States|Borno,11.5473,12.9996
Nigeria States|Cross River,5.8073,8.5089
Nigeria States|Delta,5.564,5.9958
Nigeria States|Ebonyi,6.3126,8.0859
Nigeria States|Edo,6.5773,6.015
Nigeria States|Ekiti,7.7055,5.2487
Nigeria States|Enugu,6.5527,7.4954
Nigeria States|Federal Capital Territory,8.8932,7.1658
Nigeria States|Gombe,10.3149,11.1786
Nigeria States|Imo,5.4909,7.035
Nigeria States|Jigawa,12.0662,9.7476
Nigeria States|Kaduna,10.3933,7.7536
Nigeria States|Kano,11.5608,8.5062
Nigeria States|Katsina,12.2575,7.5016
Nigeria States|Kebbi,11.5581,3.999
Nigeria States|Kogi,7.5558,6.7099
Nigeria States|Kwara,8.562,5.0098
Nigeria States|Lagos,6.6401,3.7518
Nigeria States|Nasarawa,8.5919,8.3002
Nigeria States|Niger,10.0716,6.0068
Nigeria States|Ogun,7.0518,3.598
Nigeria States|Ondo,7.229,5.0894
Nigeria States|Osun,7.5803,4.4962
Nigeria States|Oyo,8.0592,4.0155
Nigeria States|Plateau,9.2187,9.7586
Nigeria States|Rivers,4.7954,6.839
Nigeria States|Sokoto,13.1357,5.2487
Nigeria States|Taraba,8.0619,10.5084
Nigeria States|Yobe,12.0554,11.5082
Nigeria States|Zamfara,12.2219,6.254
