Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,CL_PSH1,CL_PSH2,Coal1,Coal2,Cogeneration1,Cogeneration2,Hydro1,Hydro2,Nuclear1,Nuclear2,OL_PSH1,OL_PSH2,SolarPV1,SolarPV2,SolarPV3,SolarPV4,SolarPV5,SolarPV6,Wind1,Wind2,Wind3,Wind4,Wind5
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,801.438581088847,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,128.821109125,131.60142085,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.577263825,166.577263825,239.42022077500002,263.362242875,131.6811214
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,498.7330311890964,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,127.32170775000002,130.06965825,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.06096580075000001,0.0,0.06096580075000001,0.0,0.06096580075000001,130.136947625,130.136947625,187.04483430000002,205.74931770000003,102.8746588925
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,301.6272129934677,81.45539352600225,0.0,0.0,178.22669078302977,0.0,0.0,0.0,0.0,129.40536975,132.198291375,0.0,0.0,500.0,500.0,0.0,0.0,136.90650035200002,150.59715040049997,136.90650035200002,150.59715040049997,136.90650035200002,150.59715040049997,88.15643422249997,88.15643422249997,126.70656520000001,139.37722170000006,69.68861086499997
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,301.6272129934677,81.45539352600225,0.0,0.0,113.59527906802893,0.0,0.0,0.0,0.0,128.9966197,131.780719425,0.0,0.0,500.0,500.0,0.0,0.0,286.683836375,315.35222,286.683836375,315.35222,286.683836375,315.35222,83.04286830499997,83.04286830499997,119.35687622500005,131.29256382500006,65.64628191499997
sc2015,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,131.84783452500005,134.693471225,376.44878756908645,0.0,500.0,500.0,0.0,0.0,46.37958475350001,51.01754325950003,46.37958475350001,51.01754325950003,46.37958475350001,51.01754325950003,78.55663057000001,78.55663057000001,112.90884122500005,124.19972535000002,62.09986266499997
sc2015,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,135.92772887500004,138.86142085,0.0,0.0,500.0,500.0,394.69443358808616,800.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1637612225,97.1637612225,139.65272712500004,153.61799985000002,76.80899991499996
sc2015,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,133.58737677500005,136.47055755000002,0.0,0.0,500.0,500.0,189.8235986155856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9964771325,88.9964771325,127.913952425,140.70534764999996,70.35267382249997
sc2015,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,142.86607392500005,145.949514375,137.1882431138358,0.0,500.0,500.0,0.0,0.0,0.0,0.06297984975003014,0.0,0.06297984975003014,0.0,0.06297984975003014,89.84853780499999,89.84853780499999,129.13861267500002,142.05247394999998,71.02623697499996
sc2015,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,185.87024650000006,189.88183452500002,0.0,0.0,500.0,500.0,656.2044271278359,0.0,138.31381077850003,152.14519182825,138.31381077850003,152.14519182825,138.31381077850003,152.14519182825,73.22073568249998,73.22073568249998,105.23960053,115.76356057499997,57.881780289999966
sc2015,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,735.0296364888474,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,188.25470070000006,192.3177518,0.0,0.0,500.0,500.0,0.0,0.0,269.062616725,295.96887842499996,269.062616725,295.96887842499996,269.062616725,295.96887842499996,40.16703018749998,40.16703018749998,57.73176373500002,63.504940097499976,31.752470052499962
sc2015,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,203.55205987500008,207.94526979999998,208.77890294051068,21.74488098207039,500.0,500.0,396.7752599572555,800.0,38.645340490499976,42.509874569749925,38.645340490499976,42.509874569749925,38.645340490499976,42.509874569749925,51.71251262749998,51.71251262749998,74.32599687250003,81.75859654749996,40.879298277499956
sc2015,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,32.940212569064364,0.0,0.0,207.54517605000007,212.02456834999995,630.0,380.0,500.0,500.0,754.315377763893,104.24235112012825,0.0,0.0,0.0,0.0,0.0,0.0,53.395002002499986,53.395002002499986,76.74422592500002,84.41864850249998,42.209324257499944
sc2015,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,188.5763556250001,192.64634892499987,0.0,0.0,500.0,500.0,0.0,632.9672986280856,0.0,0.0,0.0,0.0,0.0,0.0,60.48669469499998,60.48669469499998,86.9370613125,95.63076746249999,47.81538371999995
sc2015,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,188.7218838000001,192.79501799999986,187.50368229858492,0.0,500.0,500.0,0.0,0.0,0.0,0.06325201899992254,0.0,0.06325201899992254,0.0,0.06325201899992254,83.78917251499998,83.78917251499998,120.42953352499998,132.47248685,66.23624343249996
sc2015,y2030,2030-01-03T11:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,192.41068660000016,196.56343524999986,91.65183813208522,0.0,500.0,500.0,0.0,0.0,143.07646705074998,157.38411375874995,143.07646705074998,157.38411375874995,143.07646705074998,157.38411375874995,96.29006854749997,96.29006854749997,138.3969753,152.23667285000002,76.1183364225
sc2015,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,301.6272129934677,81.45539352600225,0.0,0.0,113.59527906802893,0.0,0.0,0.0,0.0,187.5796655000001,191.62814749999987,0.0,0.0,500.0,500.0,0.0,0.0,286.70417475,315.37459222499996,286.70417475,315.37459222499996,286.70417475,315.37459222499996,93.89492474749997,93.89492474749997,134.95445352499996,148.44989885000007,74.22494942750001
sc2015,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,186.01466547500007,190.0293704999999,630.0,0.0,500.0,500.0,9.337355546585657,0.0,47.76435462399998,52.54079007899996,47.76435462399998,52.54079007899996,47.76435462399998,52.54079007899996,129.49159275,129.49159275,186.11727079999997,204.72899787500006,102.3644989325
sc2015,y2030,2030-01-03T23:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,187.69704227500011,191.7480575249999,630.0,0.0,500.0,500.0,329.4088819923471,300.2963336257374,0.0,0.0,0.0,0.0,0.0,0.0,147.89442114999994,147.89442114999994,212.56751459999995,233.82426600000002,116.91213302499999
sc2015,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,772.9197332957609,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,178.71461270000012,182.57176259999991,0.0,0.0,500.0,500.0,0.0,93.67039297808454,0.0,0.0,0.0,0.0,0.0,0.0,146.90776132499994,146.90776132499994,211.14939604999998,232.2643356500001,116.13216782500002
sc2015,y2030,2030-01-04T07:00:00+01:00,0.0,0.0,459.46593506359613,207.5798738243284,0.0,0.0,291.0879026118241,0.0,0.0,0.0,0.0,180.32267605000013,184.21453237499992,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0621361267499648,0.0,0.0621361267499648,0.0,0.0621361267499648,149.1082171,149.1082171,214.31209417500003,235.7433035750001,117.87165180000004
sc2015,y2030,2030-01-04T11:00:00+01:00,0.0,0.0,301.6272129934677,207.5798738243284,0.0,0.0,276.59956561520255,0.0,0.0,0.0,0.0,183.1479049250001,187.10073739999993,0.0,0.0,500.0,500.0,0.0,0.0,137.73339850550002,151.50673833349995,137.73339850550002,151.50673833349995,137.73339850550002,151.50673833349995,131.400016475,131.400016475,188.86023350000005,207.7462568500001,103.87312841000005
sc2015,y2030,2030-01-04T15:00:00+01:00,0.0,0.0,301.6272129934677,81.45539352600225,0.0,0.0,113.59527906802893,0.0,0.0,0.0,0.0,180.7263908500001,184.62696042499994,0.0,0.0,500.0,500.0,0.0,0.0,282.57584492500007,310.8334294249999,282.57584492500007,310.8334294249999,282.57584492500007,310.8334294249999,105.72042150000003,105.72042150000003,151.95114907500007,167.14626400000012,83.57313199250007
sc2015,y2030,2030-01-04T19:00:00+01:00,0.0,0.0,820.0,432.4580704673507,0.0,0.0,582.1758052236481,0.0,0.0,0.0,0.0,183.67913732500008,187.64343524999995,0.0,0.0,500.0,500.0,0.0,0.0,47.70754559675002,52.47830015124996,47.70754559675002,52.47830015124996,47.70754559675002,52.47830015124996,100.86523786750001,100.86523786750001,144.97283100000007,159.4701140750001,79.73505705000005
sc2015,y2030,2030-01-04T23:00:00+01:00,0.0,0.0,820.0,432.4580704673507,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,188.7496655000001,192.82339929999995,630.0,0.0,500.0,500.0,269.71938921487254,51.38144816912815,0.0,0.0,0.0,0.0,0.0,0.0,83.69783734250001,83.69783734250001,120.29825826500004,132.32808408000014,66.16404204500006
sc2015,y2030,2030-01-05T03:00:00+01:00,0.0,0.0,820.0,432.4580704673507,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,180.96794015000012,184.87372302499998,0.0,0.0,500.0,500.0,0.0,81.28537426899979,0.0,0.0,0.0,0.0,0.0,0.0,36.9931341775,36.9931341775,53.16994738250004,58.486942117500135,29.24347106000007
sc2015,y2030,2030-01-05T07:00:00+01:00,0.0,0.0,820.0,432.4580704673507,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,183.6884859250001,187.6529855999999,0.0,0.0,500.0,500.0,0.0,7.207911378000297,0.0,0.06180952449996125,0.0,0.06180952449996125,0.0,0.06180952449996125,33.75794747500001,33.75794747500001,48.520038392500034,53.37204222500014,26.686021115000074
sc2015,y2030,2030-01-05T11:00:00+01:00,0.0,0.0,820.0,432.4580704673507,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,204.54966550000006,208.96440647499992,0.0,0.0,500.0,500.0,443.3574679135,0.0,120.23777235300001,132.26154960799997,120.23777235300001,132.26154960799997,120.23777235300001,132.26154960799997,43.35294400750002,43.35294400750002,62.310853140000035,68.54193846500013,34.27096922750007
sc2015,y2030,2030-01-05T15:00:00+01:00,0.0,0.0,429.18241880995436,432.4580704673507,0.0,0.0,430.38583297769475,0.0,0.0,0.0,0.0,202.19536970000007,206.55929859999995,0.0,0.0,500.0,500.0,0.0,0.0,256.093107475,281.70241819999995,256.093107475,281.70241819999995,256.093107475,281.70241819999995,37.69617438500002,37.69617438500002,54.18042166500005,59.59846382000014,29.79923191500007
sc2015,y2030,2030-01-05T19:00:00+01:00,0.0,0.0,820.0,432.4580704673507,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,205.78816902500006,210.22964027499995,0.0,0.0,500.0,500.0,0.0,645.2291509639997,44.32075184099998,48.75282702899994,44.32075184099998,48.75282702899994,44.32075184099998,48.75282702899994,44.460983427500025,44.460983427500025,63.90342970000004,70.29377267500014,35.14688633500007
sc2015,y2030,2030-01-05T23:00:00+01:00,0.0,0.0,820.0,432.4580704673507,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,206.53139082500005,210.988902875,630.0,0.0,500.0,500.0,0.0,384.06930477899976,0.0,0.0,0.0,0.0,0.0,0.0,53.56805805250002,53.56805805250002,76.99295803750003,84.69225384500014,42.346126917500065
sc2015,y2030,2030-01-06T03:00:00+01:00,0.0,0.0,674.9574839039989,432.4580704673507,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,185.496866175,189.50039569999998,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.84637972750001,77.84637972750001,111.88800310000005,123.07680342500015,61.53840170500007
sc2015,y2030,2030-01-06T07:00:00+01:00,0.0,0.0,320.0,432.4580704673507,0.0,0.0,437.31116729764875,0.0,0.0,0.0,0.0,184.0915141,188.06471220000003,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.06014929499993889,0.0,0.06014929499993889,0.0,0.06014929499993889,94.83110992,94.83110992,136.30002525,149.93002780000015,74.96501389500007
sc2015,y2030,2030-01-06T11:00:00+01:00,0.0,0.0,320.0,432.4580704673507,0.0,0.0,468.83654850414933,0.0,0.0,0.0,0.0,196.69554577499997,200.9407734,0.0,0.0,500.0,500.0,0.0,0.0,92.97705297574998,102.27475828374995,92.97705297574998,102.27475828374995,92.97705297574998,102.27475828374995,80.4698613725,80.4698613725,115.65871309750003,127.22458438750014,63.612292190000055
sc2015,y2030,2030-01-06T15:00:00+01:00,0.0,0.0,320.0,169.6987365125047,0.0,0.0,404.5919387049953,0.0,0.0,0.0,0.0,196.46267607500002,200.7028777,0.0,0.0,500.0,500.0,0.0,0.0,204.12426517499998,224.53669169999995,204.12426517499998,224.53669169999995,204.12426517499998,224.53669169999995,51.403655635,51.403655635,73.88207911250002,81.27028702000015,40.63514351000006
sc2015,y2030,2030-01-06T19:00:00+01:00,0.0,0.0,820.0,493.4420435313511,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,197.7727641,202.04124099999993,128.0719078637494,0.0,500.0,500.0,0.0,0.0,34.57085050624999,38.02793557999998,34.57085050624999,38.02793557999998,34.57085050624999,38.02793557999998,48.2790325275,48.2790325275,69.39108232750002,76.33019054000016,38.16509528000005
sc2015,y2030,2030-01-06T23:00:00+01:00,0.0,0.0,820.0,493.4420435313511,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,200.97565142500002,205.313255375,0.0,0.0,500.0,500.0,0.0,782.0664344124992,0.0,0.0,0.0,0.0,0.0,0.0,73.41902910750001,73.41902910750001,105.52460612750002,116.07706670000015,58.038533360000045
sc2015,y2030,2030-01-07T03:00:00+01:00,0.0,0.0,713.1272559949972,493.4420435313511,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,190.65318659999997,194.76800360000004,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.24261739000001,51.24261739000001,73.65062004250001,81.01568203500017,40.50784102750004
sc2015,y2030,2030-01-07T07:00:00+01:00,0.0,0.0,820.0,493.4420435313511,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,194.43353869999996,198.62994602500007,0.0,0.0,500.0,500.0,0.0,224.64481339499864,0.0,0.0,0.0,0.0,0.0,0.0,21.759394695000008,21.759394695000008,31.2746107175,34.40207178500017,17.201035892500034
sc2015,y2030,2030-01-07T11:00:00+01:00,0.0,0.0,820.0,493.4420435313511,0.0,0.0,582.1758052236482,0.0,0.0,0.0,0.0,220.61301057499992,225.37444245000003,250.71370496668567,316.3387010058128,500.0,500.0,0.0,800.0,77.18631664424998,84.90494831824998,77.18631664424998,84.90494831824998,77.18631664424998,84.90494831824998,26.30451955000001,26.30451955000001,37.8072837375,41.58801211500016,20.794006057500035
