Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,Coal1,Coal2,Nuclear1,Nuclear2
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,0.9773641232790815,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T11:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T23:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T07:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T11:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T15:00:00+01:00,0.0,0.0,0.9425850406045866,0.262759333954846,0.0,0.0,0.3549852470875904,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T19:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T23:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T03:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T07:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T11:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T15:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T19:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T23:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T03:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T07:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T11:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T15:00:00+01:00,0.0,0.0,1.0,0.5474152790725958,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T19:00:00+01:00,0.0,0.0,1.0,0.6246101816852545,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T23:00:00+01:00,0.0,0.0,1.0,0.6246101816852545,0.0,0.0,0.7099704941751808,0.0,0.0,1.0,1.0
