Scenario,Period,LoadLevel,ES112,ES21,ES300,ES418,ES432,ES511,ES523,ES611,ES612,ES618,ES620
sc2015,y2030,2030-01-01T03:00:00+01:00,0.12866654027748536,-0.07714861546124352,-0.02340941408602193,0,-0.009253033527872212,0.17749569639095775,0.052207913681266094,-0.11934228577775996,-0.0925358218913368,-0.09808401804044409,-0.1115763668959624
sc2015,y2030,2030-01-01T07:00:00+01:00,0.12003078467313522,-0.08373375520814075,-0.02123060146635236,0,0.009430360715720898,0.08841544326340234,0.03892665385484029,-0.09734907445933305,-0.06517538750698737,-0.07049155372202831,-0.09390921332267066
sc2015,y2030,2030-01-01T11:00:00+01:00,0.06710127417558054,-0.10583663012419198,0.019163088972385722,0,0.06304153102210863,0.03429382170746664,0.10168398502036236,0.06048884394020204,0.02522617613512046,0.012211781460621296,0.05570504127886933
sc2015,y2030,2030-01-01T15:00:00+01:00,0.042004921464555256,-0.09639567013667483,0.09467099999999995,0,0.1250286209785032,0.10175041850850297,0.23807889789411774,0.2857404029509394,0.16607290033179467,0.12237157888438199,0.2759129684333159
sc2015,y2030,2030-01-01T19:00:00+01:00,0.09838186906827495,-0.09878550235852845,-0.006193072048326975,0,0.08369913244944716,0.11843815799116819,0.0462543357911418,-0.0655207738419823,-0.03242316084459995,-0.031238648767401234,-0.07018565673945054
sc2015,y2030,2030-01-01T23:00:00+01:00,0.10021586518611891,-0.15044410482454706,-0.06646914355702505,0,0.08729467330256968,0.01821901771097778,-0.06344093197275869,-0.21152497836661244,-0.12238637880247882,-0.10160372681831364,-0.2213941278180882
sc2015,y2030,2030-01-02T03:00:00+01:00,0.10468812499070079,-0.08114414520621072,-0.03562911804676294,0,-0.016892524914672302,0.12779133127509956,0.016690979018422647,-0.13829349334751262,-0.1108811959368492,-0.10987906741875575,-0.1320796238805304
sc2015,y2030,2030-01-02T07:00:00+01:00,0.1051680701881117,-0.07321922144538195,-0.01369021870681042,0,0.029305468831573478,0.15205695248786633,0.04262506925548615,-0.10477390369241446,-0.07190999699476475,-0.07035730200687396,-0.10056728196639919
sc2015,y2030,2030-01-02T11:00:00+01:00,0.09022088676488238,-0.15789834189274754,-0.060209473076350495,0,-0.040233277899857534,0.02949415993519744,-0.01247235776542266,-0.10680810067356838,-0.11923127118534094,-0.12812162069802446,-0.11301227788073298
sc2015,y2030,2030-01-02T15:00:00+01:00,0.07958525051728915,-0.13198071258271482,0.04527974158577419,0,0.08528110990378801,0.11349199682829592,0.1494807170417014,0.16269904679667202,0.08892322010841447,0.055918827714248165,0.14646208248787795
sc2015,y2030,2030-01-02T19:00:00+01:00,0.08267759870978164,-0.1656742499999999,-0.05075340016884078,0,0.1362736357599501,0.008969756757558844,-0.05914547783081758,-0.1793981145867085,-0.09287915021829685,-0.06884686424004993,-0.19579389732246
sc2015,y2030,2030-01-02T23:00:00+01:00,0.08154642630672582,-0.15597542083603622,-0.09467099999999995,0,0.024924489554820184,0.07480615672721691,-0.1065872628601332,-0.29459326221429505,-0.21093475816959284,-0.18019601044517985,-0.29971263712542684
sc2015,y2030,2030-01-03T03:00:00+01:00,0.092530016469492,-0.09913066819150163,-0.010485749563796443,0,0.11466014085798681,0.11391597318530922,0.015728257825273317,-0.11962877363012225,-0.05377747751157469,-0.03909249849688434,-0.12472584894818106
sc2015,y2030,2030-01-03T07:00:00+01:00,0.10241240476799773,-0.07561148612941748,-0.010340472214645402,0,0.03635897854218073,0.15735923648952554,0.040792536932323875,-0.10988865617215482,-0.07440010328998525,-0.07064762062205832,-0.10606371807310144
sc2015,y2030,2030-01-03T11:00:00+01:00,0.10055452906962081,-0.11140826213723587,0.014954053058059857,0,0.05478882432724941,0.14398638773338668,0.09982165640954244,0.024496480583028335,0.00356076973232633,-0.013845185111676761,0.01822777522799668
sc2015,y2030,2030-01-03T15:00:00+01:00,0.04043997197336746,-0.14297732601254753,0.0569888004257324,0,0.10570915160388727,0.03460426827467766,0.1704101375723166,0.20722884516890439,0.11744445226959188,0.0849061447029702,0.19081131286702213
sc2015,y2030,2030-01-03T19:00:00+01:00,0.11076565824575546,-0.12536165988268788,-0.012070724737492489,0,0.11143864489017852,0.11101150289254225,0.033047587468274076,-0.09396810018730317,-0.0411125851421148,-0.036210587542370165,-0.10247954888377375
sc2015,y2030,2030-01-03T23:00:00+01:00,0.11397925882883708,-0.16234820733342503,-0.06302566416727107,0,0.104012510441996,0.03541217148801712,-0.05729703620925952,-0.22107741498768085,-0.12207202377315918,-0.10110798955800404,-0.2320977307096268
sc2015,y2030,2030-01-04T03:00:00+01:00,0.1217518944125846,-0.08105773536248906,-0.018567464509886777,0,0.008562471081389189,0.1703128066782349,0.04666554251580046,-0.12174960349947872,-0.08934433930087327,-0.09111913989137443,-0.11565451464202203
sc2015,y2030,2030-01-04T07:00:00+01:00,0.125147565206992,-0.08926493387648016,-0.02066486470007911,0,0.004147604611130173,0.09160567829075328,0.038758919775320866,-0.1062651749817436,-0.07282130604904968,-0.0784419538281067,-0.10240491593113199
sc2015,y2030,2030-01-04T11:00:00+01:00,0.11033403723950541,-0.12968887426868214,0.0072807441779738635,0,0.05089431392678634,0.0253289815949036,0.08591839790244604,0.03706964091047871,0.024644051810932543,0.0011612538337546496,0.02709467930554199
sc2015,y2030,2030-01-04T15:00:00+01:00,0.04629902920402529,-0.12306411205449885,0.06471184272079245,0,0.09608622917001242,0.06897577498644991,0.1923734760910396,0.2145290298174123,0.10148531241752257,0.0614001605236163,0.20570744411359265
sc2015,y2030,2030-01-04T19:00:00+01:00,0.2000155997487636,-0.11576386993982002,-0.03363544826954645,0,-0.003127484258025781,0.11329028462635571,0.018853718012330045,-0.10140290674477681,-0.05522638602445373,-0.07695118350009644,-0.10880130022169765
sc2015,y2030,2030-01-04T23:00:00+01:00,0.19046797397055149,-0.1656742499999999,-0.07648089418186022,0,0.06586439487793672,0.008874921748490028,-0.08420953964081868,-0.22263794782698598,-0.10637606908699904,-0.10249229705738605,-0.24013390219692532
sc2015,y2030,2030-01-05T03:00:00+01:00,0.18276270605448008,-0.09612844932601039,-0.03470912846795904,0,0.011092835380872357,0.1066025353634068,-0.004471300284563995,-0.1324719578209197,-0.0672040946880681,-0.07768256500220772,-0.13804419464570272
sc2015,y2030,2030-01-05T07:00:00+01:00,0.1822769801191788,-0.09096314709616982,-0.03357944228267051,0,-0.000622380462635963,0.1137000172901581,-0.00032972165225286787,-0.1292899672823855,-0.06950194620852046,-0.08138419506635186,-0.1334024222178598
sc2015,y2030,2030-01-05T11:00:00+01:00,0.17668559181574395,-0.16457666316512465,-0.06399561824701938,0,-0.030354599973358543,0.018771834631922557,-0.03217604060387469,-0.11295422399036159,-0.08586060526814454,-0.10763097102323882,-0.12796668092201946
sc2015,y2030,2030-01-05T15:00:00+01:00,0.12529920303772113,-0.1656742499999999,0.028410870291433188,0,0.09641696995180293,-0.0064538635441724335,0.10641505777437144,0.15662304931656879,0.13202961709579242,0.08285611100440105,0.12653197288246631
sc2015,y2030,2030-01-05T19:00:00+01:00,0.1788763460615459,-0.1449967065807769,-0.03007231406349331,0,0.11281800062802083,0.05370287806342677,-0.018508681688824913,-0.11522093534219846,-0.025422089371270884,-0.029311250105642728,-0.13513934047831366
sc2015,y2030,2030-01-05T23:00:00+01:00,0.18093408620258944,-0.15736682503886512,-0.04190691327611629,0,0.160369668848789,0.028456067716438715,-0.055376379190059444,-0.17235350191768428,-0.040320322253003305,-0.03091663691278379,-0.1956225193542731
sc2015,y2030,2030-01-06T03:00:00+01:00,0.19625526352439127,-0.10476650578417157,-0.04038038141188105,0,-0.005525793497125564,0.0787283692530405,-0.005369661368223255,-0.13461618180556068,-0.06944099473353571,-0.0845522598081947,-0.1400598628679477
sc2015,y2030,2030-01-06T07:00:00+01:00,0.15634081729639027,-0.11050597351198221,-0.028493195954476747,0,0.022695543249253047,0.007071979436539255,0.005340684256884609,-0.09403120831965217,-0.02252136641372071,-0.04243535532054432,-0.10358758609085217
sc2015,y2030,2030-01-06T11:00:00+01:00,0.1582600735079296,-0.13644339257305016,-0.012637715954342488,0,0.04495381431296641,-0.01311086493764635,0.034616324338739624,-0.01078994576787462,0.02781408745442948,-0.0027108621167062363,-0.028273043815495003
sc2015,y2030,2030-01-06T15:00:00+01:00,0.12574088083869994,-0.14213004980731658,0.015136871827911902,0,0.06303609410668543,-0.007178841692738525,0.08839228937803689,0.0873067496590374,0.043610616475982855,0.020903235939796927,0.07284571022712338
sc2015,y2030,2030-01-06T19:00:00+01:00,0.18363361715131465,-0.11401718682165862,-0.028278738936208914,0,0.03030656276137922,0.09770734145421889,0.006075543255180227,-0.09993100700817026,-0.033755493065191544,-0.05297979629499494,-0.1119128054034586
sc2015,y2030,2030-01-06T23:00:00+01:00,0.18801263545424152,-0.14973337649050844,-0.04231561836413489,0,0.1240747137314091,0.046829324688857143,-0.042673380375072956,-0.1623247295268213,-0.036261111460722084,-0.03804253283283332,-0.1838687594473245
sc2015,y2030,2030-01-07T03:00:00+01:00,0.18768569389714163,-0.1016277657655873,-0.0353728442758352,0,0.00394745445734479,0.08406262271461151,-0.0043569234238489685,-0.12355304277479506,-0.051475968620043666,-0.06988447897983896,-0.13157916318099305
sc2015,y2030,2030-01-07T07:00:00+01:00,0.17670619800539722,-0.10568311704662103,-0.031997921702154875,0,0.042886671452903036,0.09115607378987711,-0.012660140594784153,-0.12870213543432052,-0.04492507979956928,-0.05624236266833971,-0.13993274461273275
