Node,Zone
Almeria,Zone1
Barcelona,Zone1
Bilbao,Zone1
Caceres,Zone1
Cadiz,Zone1
Cartagena,Zone1
Lugo,Zone1
Madrid,Zone1
Sevilla,Zone1
Valencia,Zone1
Valladolid,Zone1
