Zone,Area
Nigeria Zones|North_Central,Nigeria
Nigeria Zones|North_East,Nigeria
Nigeria Zones|North_West,Nigeria
Nigeria Zones|South_East,Nigeria
Nigeria Zones|South_South,Nigeria
Nigeria Zones|South_West,Nigeria
