,,,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1
2030,sc01,01-03 20:00:00+01:00,,,,,,,,,,,,,,125.398625,0.000001,
2030,sc01,01-03 21:00:00+01:00,,,,,,,,,,,,,,129.46855,0.000001,
2030,sc01,01-03 22:00:00+01:00,,,,,,,,,,,,,,127.5235,0.000001,
2030,sc01,01-03 23:00:00+01:00,,,,,,,,,,,,,,127.2701,0.000001,
2030,sc01,01-04 00:00:00+01:00,,,,,,,,,,,,,,129.23585,0.000001,
2030,sc01,01-04 01:00:00+01:00,,,,,,,,,,,,,,125.255575,0.000001,
2030,sc01,01-04 02:00:00+01:00,,,,,,,,,,,,,,126.725025,0.000001,
2030,sc01,01-04 03:00:00+01:00,,,,,,,,,,,,,,127.15775,0.000001,
2030,sc01,01-04 04:00:00+01:00,,,,,,,,,,,,,,130.514425,0.000001,
2030,sc01,01-04 05:00:00+01:00,,,,,,,,,,,,,,128.9524,0.000001,
2030,sc01,01-04 06:00:00+01:00,,,,,,,,,,,,,,129.98725,0.000001,
2030,sc01,01-04 07:00:00+01:00,,,,,,,,,,,,,,127.198725,0.048275,
2030,sc01,01-04 08:00:00+01:00,,,,,,,,,,,,,,124.0806,0.98945,
2030,sc01,01-04 09:00:00+01:00,,,,,,,,,,,,,,117.08765,20.0429,
2030,sc01,01-04 10:00:00+01:00,,,,,,,,,,,,,,107.85625,50.27845,
2030,sc01,01-04 11:00:00+01:00,,,,,,,,,,,,,,100.003525,67.855375,
2030,sc01,01-04 12:00:00+01:00,,,,,,,,,,,,,,95.503075,75.362375,
2030,sc01,01-04 13:00:00+01:00,,,,,,,,,,,,,,92.3446,76.355625,
2030,sc01,01-04 14:00:00+01:00,,,,,,,,,,,,,,89.079775,72.285375,
