InitialNode,,,Node_1,Node_1,Node_2,Node_2,Node_3,Node_3,Node_4,Node_4,Node_4,Node_6,Node_6,Node_7,Node_8
FinalNode,,,Node_4,Node_6,Node_3,Node_6,Node_4,Node_6,Node_5,Node_6,Node_9,Node_7,Node_8,Node_8,Node_9
Circuit,,,dc1,ac1,ac1,ac1,ac1,ac1,ac1,ac1,ac1,ac1,ac1,ac1,ac1
sc01,y2030,2030-01-01T03:00:00+01:00,-12.136805889000012,670.0,-40.949288370919376,-185.02972970408067,43.25129899117475,-102.87850895059414,225.97901807499997,-104.19094358242987,-0.13494136539538015,92.6336059207985,109.94087247959695,-1.52431828170152,94.2928655678954
sc01,y2030,2030-01-01T07:00:00+01:00,194.9608117980971,523.8266354891529,-54.077082827535094,-154.11983917246485,4.711465342257304,-75.70801803454242,208.19692200000006,-59.72567936481754,21.635617730171973,78.09103297277598,86.78309193955202,-8.65768453472404,65.11309977732805
sc01,y2030,2030-01-01T11:00:00+01:00,137.1707286031253,670.0,-43.897536325635976,-186.2235876993642,39.60157729716385,-102.20029030342471,230.12112402500017,-101.40120353829596,2.6822964885849787,93.39163948697171,110.07623763194341,-2.49216219052828,93.20150518891512
sc01,y2030,2030-01-01T15:00:00+01:00,166.4470436862502,670.0,-55.00730971704226,-191.08746315795787,24.599884460991927,-99.88798724678416,246.09477287500013,-90.29091822320811,13.757860345450123,96.2445437965166,110.45749661303329,-6.29494492848337,88.78162837954984
sc01,y2030,2030-01-01T19:00:00+01:00,194.9608117980971,670.0,5.43719510532048,-133.37504448029236,74.0508307275508,-91.6352938728554,273.8113870500002,-115.0082396093608,6.578407860008517,109.99380733999719,128.71715233999436,-4.09427058500289,107.50967006499145
sc01,y2030,2030-01-01T23:00:00+01:00,194.9608117980971,670.0,-29.1721081350792,-168.03102108489287,47.39457643751821,-97.43462665572234,252.03223485000026,-102.69758026524056,7.95285000085566,100.61225733154811,117.21376971509623,-4.401173853451845,97.0605811841444
sc01,y2030,2030-01-02T03:00:00+01:00,136.24781972500023,670.0,-38.02816880625015,-183.6539697937501,47.52707186312488,-103.42189545937497,221.6821386000002,-107.27084150898436,-3.1689979028906023,91.88443107829691,109.8748159645937,-0.4831266617031371,95.53655564289065
sc01,y2030,2030-01-02T07:00:00+01:00,194.9608117980971,670.0,-9.592623510750853,-148.60878118434638,63.24052966043814,-94.27620903418898,263.07465367500004,-110.23248781341555,6.480073171950651,105.62750732618309,123.56346342436619,-3.986931708816921,103.13436586304935
sc01,y2030,2030-01-02T11:00:00+01:00,194.9608117980971,670.0,56.45281231666932,-79.74975074989155,111.3044441875567,-81.39290665826226,314.62967647500017,-130.60995761091954,8.484925721573223,126.0824616653089,147.28836449061777,-5.013236884691019,122.61077282842669
sc01,y2030,2030-01-02T15:00:00+01:00,194.9608117980971,670.0,59.158189740528336,-76.31647940250042,112.64260759216782,-80.45674780526446,318.988661325,-130.74419059905318,9.607647364318073,127.49419406606066,148.65883435212135,-5.417748158939362,123.30429486068195
sc01,y2030,2030-01-02T19:00:00+01:00,194.9608117980971,670.0,102.55372463582368,-35.19506601082378,153.3276282536874,-74.7402396584611,332.64134137500014,-151.88494740240031,0.6919018291847712,136.05991564110508,161.23938416221017,-2.5406432588949146,137.90865707081522
sc01,y2030,2030-01-02T23:00:00+01:00,194.9608117980971,670.0,40.89935750603701,-100.46025561675897,104.61212451368674,-87.42318249752468,286.0030094500002,-130.94996469419772,0.3787685809814034,117.05553239633959,138.77672831267907,-2.1123882036604424,118.78915201901863
sc01,y2030,2030-01-03T03:00:00+01:00,194.9608117980971,670.0,-19.300592430031127,-160.78342303319081,58.28909771387203,-97.53865247377824,247.9658426750001,-109.58467542650374,2.698099238472751,100.69774969217582,118.74021848435146,-2.6213514328242704,100.62100188652722
sc01,y2030,2030-01-03T07:00:00+01:00,194.9608117980971,670.0,27.744882614263886,-111.11069694623576,91.88459398692805,-87.9462392712892,286.97493267500016,-123.38755069529694,5.184508280321909,115.85183769655949,136.04536451311887,-3.721050903440659,114.38838031967813
sc01,y2030,2030-01-03T11:00:00+01:00,194.9608117980971,670.0,69.28106316309379,-64.37249414069069,118.57871148543452,-77.5555276753408,331.98859907500014,-132.27834043490216,12.275681943433758,131.93121258635543,153.19955881271096,-6.397370363644628,126.0529010065663
sc01,y2030,2030-01-03T15:00:00+01:00,194.9608117980971,670.0,48.987087891916524,-81.49080609263837,99.65102243475876,-78.82074800771721,330.9665845000002,-121.39745002751212,18.522097585367714,129.4303319623774,148.53846908475487,-8.472411587622574,119.38064596463227
sc01,y2030,2030-01-03T19:00:00+01:00,194.9608117980971,670.0,83.05997066014336,-49.99290167086512,128.5920819317501,-74.8585864439817,342.7946242500001,-136.51399104033,12.717204770177016,136.2115069449411,158.1581391498821,-6.619586480059003,130.11388865482309
sc01,y2030,2030-01-03T23:00:00+01:00,194.9608117980971,670.0,5.136413998798717,-128.58860393952054,69.1587039855036,-88.29394295907989,291.67844465000024,-109.44464721024971,14.848615668850208,114.55760196455,131.88905570909992,-6.975083310450048,106.68406960614985
sc01,y2030,2030-01-04T03:00:00+01:00,194.9608117980971,670.0,-54.94447252259638,-189.48562346625008,23.640826394355496,-98.85151271620197,251.1740035500003,-88.91415103362365,15.985999951075858,97.58290426047478,111.44114066094957,-7.072930564525293,88.66983487392422
