Scenario,Period,LoadLevel,Coal,ESS,Gas,Nuclear,Oil,RES
sc01,y2030,2030-01-08T15:00:00+01:00,5.3861226033827195e-15,0.0,484.7073321485045,771.5999999999999,0.0,115.0526374999999
sc01,y2030,2030-01-08T19:00:00+01:00,5.3861226033827195e-15,14.7529993563019,543.9397019181974,771.5999999999999,0.0,69.3084562499999
sc01,y2030,2030-01-08T23:00:00+01:00,0.0,0.0,284.58988218825175,771.5999999999999,0.0,111.16583750000001
sc01,y2030,2030-01-09T03:00:00+01:00,2.15444904135309e-15,0.0,135.6108176457547,771.5999999999999,0.0,101.1041625
sc01,y2030,2030-01-09T07:00:00+01:00,5.3861226033827195e-15,0.0,357.269563164508,771.5999999999999,0.0,84.5949062499999
sc01,y2030,2030-01-09T11:00:00+01:00,5.3861226033827195e-15,0.0,480.54434518199946,771.5999999999999,0.0,117.27579374999989
sc01,y2030,2030-01-09T15:00:00+01:00,5.3861226033827195e-15,0.0,433.5946727740055,771.5999999999999,0.0,147.4121062499999
sc01,y2030,2030-01-09T19:00:00+01:00,5.3861226033827195e-15,0.0,530.2444673260055,771.5999999999999,0.0,93.9419249999999
sc01,y2030,2030-01-09T23:00:00+01:00,0.0,0.0,203.87022737675372,771.5999999999999,0.0,191.53924999999992
sc01,y2030,2030-01-10T03:00:00+01:00,2.15444904135309e-15,0.0,38.1572918805017,771.5999999999999,0.0,196.0719062499999
sc01,y2030,2030-01-10T07:00:00+01:00,5.3861226033827195e-15,0.0,318.8309465562537,771.5999999999999,0.0,117.178725
sc01,y2030,2030-01-10T11:00:00+01:00,5.3861226033827195e-15,0.0,448.0488672432525,771.5999999999999,0.0,139.0707625
sc01,y2030,2030-01-10T15:00:00+01:00,5.3861226033827195e-15,0.0,449.58964398350156,771.5999999999999,0.0,126.03712499999999
sc01,y2030,2030-01-10T19:00:00+01:00,5.3861226033827195e-15,0.0,541.4495650610015,771.5999999999999,0.0,90.18191875
sc01,y2030,2030-01-10T23:00:00+01:00,2.15444904135309e-15,0.0,289.15279108475244,771.5999999999999,0.0,124.75598124999999
sc01,y2030,2030-01-11T03:00:00+01:00,2.15444904135309e-15,0.0,108.8606624637502,771.5999999999999,0.0,149.66300625
sc01,y2030,2030-01-11T07:00:00+01:00,2.15444904135309e-15,0.0,268.4972984070027,771.5999999999999,0.0,192.62088125
sc01,y2030,2030-01-11T11:00:00+01:00,5.3861226033827195e-15,0.0,390.22647568400623,771.5999999999999,0.0,229.72375
sc01,y2030,2030-01-11T15:00:00+01:00,5.3861226033827195e-15,0.0,386.11664081449885,771.5999999999999,0.0,226.15486875
