,,,Area1
2030,sc01,01-05 22:00:00+01:00,15.08556442
2030,sc01,01-05 23:00:00+01:00,14.25421778
2030,sc01,01-06 00:00:00+01:00,13.72470621
2030,sc01,01-06 01:00:00+01:00,13.25881888
2030,sc01,01-06 02:00:00+01:00,12.87825121
2030,sc01,01-06 03:00:00+01:00,12.64144648
2030,sc01,01-06 04:00:00+01:00,12.56731737
2030,sc01,01-06 05:00:00+01:00,12.89338671
2030,sc01,01-06 06:00:00+01:00,13.3853926
2030,sc01,01-06 07:00:00+01:00,13.98779199
2030,sc01,01-06 08:00:00+01:00,14.70544581
2030,sc01,01-06 09:00:00+01:00,15.22435125
2030,sc01,01-06 10:00:00+01:00,15.47725315
2030,sc01,01-06 11:00:00+01:00,15.46836451
2030,sc01,01-06 12:00:00+01:00,15.19610253
2030,sc01,01-06 13:00:00+01:00,15.03747643
2030,sc01,01-06 14:00:00+01:00,15.09820905
2030,sc01,01-06 15:00:00+01:00,15.59982036
2030,sc01,01-06 16:00:00+01:00,16.2930182
2030,sc01,01-06 17:00:00+01:00,16.65118426
2030,sc01,01-06 18:00:00+01:00,16.33038621
2030,sc01,01-06 19:00:00+01:00,15.83131375
2030,sc01,01-06 20:00:00+01:00,15.31410729
2030,sc01,01-06 21:00:00+01:00,14.83987039
2030,sc01,01-06 22:00:00+01:00,14.18732302
2030,sc01,01-06 23:00:00+01:00,13.4526398
2030,sc01,01-07 00:00:00+01:00,12.96831897
2030,sc01,01-07 01:00:00+01:00,12.48163567
2030,sc01,01-07 02:00:00+01:00,12.12661969
2030,sc01,01-07 03:00:00+01:00,11.91228408
2030,sc01,01-07 04:00:00+01:00,11.79309594
2030,sc01,01-07 05:00:00+01:00,11.97738193
2030,sc01,01-07 06:00:00+01:00,12.33649939
2030,sc01,01-07 07:00:00+01:00,12.81875227
2030,sc01,01-07 08:00:00+01:00,13.47330406
2030,sc01,01-07 09:00:00+01:00,14.12811794
2030,sc01,01-07 10:00:00+01:00,14.49907722
2030,sc01,01-07 11:00:00+01:00,14.59763684
2030,sc01,01-07 12:00:00+01:00,14.42950428
2030,sc01,01-07 13:00:00+01:00,14.29458761
2030,sc01,01-07 14:00:00+01:00,14.37969681
2030,sc01,01-07 15:00:00+01:00,14.98018378
2030,sc01,01-07 16:00:00+01:00,15.88203425
2030,sc01,01-07 17:00:00+01:00,16.30318487
2030,sc01,01-07 18:00:00+01:00,16.16726351
2030,sc01,01-07 19:00:00+01:00,15.83238363
2030,sc01,01-07 20:00:00+01:00,15.39998621
2030,sc01,01-07 21:00:00+01:00,14.83919464
2030,sc01,01-07 22:00:00+01:00,14.03487131
2030,sc01,01-07 23:00:00+01:00,13.2752794
2030,sc01,01-08 00:00:00+01:00,12.95184654
2030,sc01,01-08 01:00:00+01:00,12.66375378
2030,sc01,01-08 02:00:00+01:00,12.50665854
2030,sc01,01-08 03:00:00+01:00,12.71042243
2030,sc01,01-08 04:00:00+01:00,13.6137935
2030,sc01,01-08 05:00:00+01:00,15.28770115
2030,sc01,01-08 06:00:00+01:00,16.83922393
2030,sc01,01-08 07:00:00+01:00,17.85490752
2030,sc01,01-08 08:00:00+01:00,18.21325426
2030,sc01,01-08 09:00:00+01:00,18.45610333
2030,sc01,01-08 10:00:00+01:00,18.44071831
2030,sc01,01-08 11:00:00+01:00,18.29092327
2030,sc01,01-08 12:00:00+01:00,18.23858125
2030,sc01,01-08 13:00:00+01:00,18.10599165
2030,sc01,01-08 14:00:00+01:00,18.1863567
2030,sc01,01-08 15:00:00+01:00,18.60826878
2030,sc01,01-08 16:00:00+01:00,19.09068017
2030,sc01,01-08 17:00:00+01:00,19.1771541
2030,sc01,01-08 18:00:00+01:00,18.54848525
2030,sc01,01-08 19:00:00+01:00,17.82907554
2030,sc01,01-08 20:00:00+01:00,16.93424034
2030,sc01,01-08 21:00:00+01:00,16.06125279
2030,sc01,01-08 22:00:00+01:00,15.07535506
2030,sc01,01-08 23:00:00+01:00,14.18812352
2030,sc01,01-09 00:00:00+01:00,13.76454193
2030,sc01,01-09 01:00:00+01:00,13.42524189
2030,sc01,01-09 02:00:00+01:00,13.25263522
2030,sc01,01-09 03:00:00+01:00,13.3343799
2030,sc01,01-09 04:00:00+01:00,14.08229613
2030,sc01,01-09 05:00:00+01:00,15.57358036
2030,sc01,01-09 06:00:00+01:00,17.08637568
2030,sc01,01-09 07:00:00+01:00,17.97585287
2030,sc01,01-09 08:00:00+01:00,18.24271913
2030,sc01,01-09 09:00:00+01:00,18.41133915
2030,sc01,01-09 10:00:00+01:00,18.29993204
2030,sc01,01-09 11:00:00+01:00,18.08175042
2030,sc01,01-09 12:00:00+01:00,17.98474118
2030,sc01,01-09 13:00:00+01:00,17.86188705
2030,sc01,01-09 14:00:00+01:00,17.94960062
2030,sc01,01-09 15:00:00+01:00,18.34279936
2030,sc01,01-09 16:00:00+01:00,18.93989733
2030,sc01,01-09 17:00:00+01:00,19.13013632
2030,sc01,01-09 18:00:00+01:00,18.57193259
2030,sc01,01-09 19:00:00+01:00,17.79997469
2030,sc01,01-09 20:00:00+01:00,16.93082288
2030,sc01,01-09 21:00:00+01:00,16.02534316
2030,sc01,01-09 22:00:00+01:00,15.09071725
2030,sc01,01-09 23:00:00+01:00,14.19362217
2030,sc01,01-10 00:00:00+01:00,13.7220062
2030,sc01,01-10 01:00:00+01:00,13.3780143
2030,sc01,01-10 02:00:00+01:00,13.22038827
2030,sc01,01-10 03:00:00+01:00,13.32381513
2030,sc01,01-10 04:00:00+01:00,14.06926928
2030,sc01,01-10 05:00:00+01:00,15.5254927
2030,sc01,01-10 06:00:00+01:00,16.95146729
2030,sc01,01-10 07:00:00+01:00,17.85961989
2030,sc01,01-10 08:00:00+01:00,18.11997818
2030,sc01,01-10 09:00:00+01:00,18.26927087
2030,sc01,01-10 10:00:00+01:00,18.13628251
2030,sc01,01-10 11:00:00+01:00,17.93951536
2030,sc01,01-10 12:00:00+01:00,17.83466552
2030,sc01,01-10 13:00:00+01:00,17.7296436
2030,sc01,01-10 14:00:00+01:00,17.88176305
2030,sc01,01-10 15:00:00+01:00,18.40602218
2030,sc01,01-10 16:00:00+01:00,18.95840826
2030,sc01,01-10 17:00:00+01:00,19.21659834
2030,sc01,01-10 18:00:00+01:00,18.68683063
2030,sc01,01-10 19:00:00+01:00,17.97717525
2030,sc01,01-10 20:00:00+01:00,17.1121739
2030,sc01,01-10 21:00:00+01:00,16.24748594
2030,sc01,01-10 22:00:00+01:00,15.37616857
