Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-01-16T23:00:00+01:00,151.94058299912103
sc01,y2030,2030-01-17T03:00:00+01:00,-10.15026239687927
sc01,y2030,2030-01-17T07:00:00+01:00,197.43860915662094
sc01,y2030,2030-01-17T11:00:00+01:00,354.9522575088706
sc01,y2030,2030-01-17T15:00:00+01:00,338.1458904331207
sc01,y2030,2030-01-17T19:00:00+01:00,381.8938669318709
sc01,y2030,2030-01-17T23:00:00+01:00,155.62677147162117
sc01,y2030,2030-01-18T03:00:00+01:00,-6.729324477379123
sc01,y2030,2030-01-18T07:00:00+01:00,194.984651780871
sc01,y2030,2030-01-18T11:00:00+01:00,360.7458507973711
sc01,y2030,2030-01-18T15:00:00+01:00,340.32760440837114
sc01,y2030,2030-01-18T19:00:00+01:00,353.3473328913708
sc01,y2030,2030-01-18T23:00:00+01:00,123.50229851262111
sc01,y2030,2030-01-19T03:00:00+01:00,-31.307138931879308
sc01,y2030,2030-01-19T07:00:00+01:00,170.063393289621
sc01,y2030,2030-01-19T11:00:00+01:00,320.56327309112066
sc01,y2030,2030-01-19T15:00:00+01:00,284.3494026606206
sc01,y2030,2030-01-19T19:00:00+01:00,321.61301380762075
sc01,y2030,2030-01-19T23:00:00+01:00,112.6434108028709
sc01,y2030,2030-01-20T03:00:00+01:00,-56.20408070362919
sc01,y2030,2030-01-20T07:00:00+01:00,2.864340915121147
sc01,y2030,2030-01-20T11:00:00+01:00,158.20141920012088
sc01,y2030,2030-01-20T15:00:00+01:00,122.28121127362078
sc01,y2030,2030-01-20T19:00:00+01:00,193.31662384862057
sc01,y2030,2030-01-20T23:00:00+01:00,49.93423243812117
sc01,y2030,2030-01-21T03:00:00+01:00,-92.28574470912906
sc01,y2030,2030-01-21T07:00:00+01:00,-95.12809394487908
sc01,y2030,2030-01-21T11:00:00+01:00,49.07371458262105
sc01,y2030,2030-01-21T15:00:00+01:00,49.224237719371104
sc01,y2030,2030-01-21T19:00:00+01:00,174.92447396262105
sc01,y2030,2030-01-21T23:00:00+01:00,69.68890884762095
sc01,y2030,2030-01-22T03:00:00+01:00,-43.81027139112928
sc01,y2030,2030-01-22T07:00:00+01:00,197.82554907387066
sc01,y2030,2030-01-22T11:00:00+01:00,377.0966835851209
sc01,y2030,2030-01-22T15:00:00+01:00,360.8758360593706
sc01,y2030,2030-01-22T19:00:00+01:00,402.0946339313705
