Scenario,Period,LoadLevel,Almeria,Barcelona,Bilbao,Caceres,Cadiz,Cartagena,Lugo,Madrid,Sevilla,Valencia,Valladolid
sc2015,y2030,2030-01-01T01:00:00+01:00,73.71951219512191,73.71951219512191,73.71951219512194,73.71951219512188,73.71951219512188,73.71951219512191,73.71951219512196,73.71951219512191,73.71951219512188,73.71951219512191,73.71951219512194
sc2015,y2030,2030-01-01T03:00:00+01:00,73.71951219512195,73.71951219512196,73.71951219512196,73.71951219512194,73.71951219512196,73.71951219512195,73.71951219512201,73.71951219512198,73.71951219512196,73.71951219512195,73.71951219512201
sc2015,y2030,2030-01-01T05:00:00+01:00,72.50000000000003,72.50000000000001,72.50000000000001,72.50000000000001,72.49999999999997,72.50000000000003,72.50000000000001,72.50000000000003,72.49999999999999,72.50000000000003,72.50000000000001
sc2015,y2030,2030-01-01T07:00:00+01:00,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.9085426041597,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972
sc2015,y2030,2030-01-01T09:00:00+01:00,74.44186279290527,74.44186279290527,74.44186279290528,74.44186279290527,74.44186279290527,74.44186279290527,74.44186279290528,74.44186279290527,74.44186279290527,74.44186279290527,74.44186279290528
sc2015,y2030,2030-01-01T11:00:00+01:00,53.18506524895339,53.18506524895339,53.1850652489534,53.18506524895339,53.18506524895338,53.18506524895339,53.1850652489534,53.18506524895339,53.18506524895337,53.18506524895339,53.1850652489534
sc2015,y2030,2030-01-01T13:00:00+01:00,53.185065248953784,53.18506524895369,53.1850652489534,53.18506524895372,53.185065248953784,53.185065248953784,53.1850652489534,53.185065248953904,53.185065248953784,53.185065248953784,53.1850652489534
sc2015,y2030,2030-01-01T15:00:00+01:00,53.18506524895339,53.18506524895339,53.1850652489534,53.18506524895339,53.18506524895339,53.18506524895339,53.1850652489534,53.18506524895339,53.18506524895339,53.18506524895339,53.1850652489534
sc2015,y2030,2030-01-01T17:00:00+01:00,74.9085426041602,74.90854260416017,74.90854260416016,74.90854260416017,74.90854260416019,74.9085426041602,74.90854260416017,74.90854260416019,74.90854260416019,74.9085426041602,74.90854260416016
sc2015,y2030,2030-01-01T19:00:00+01:00,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.9085426041597,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972
sc2015,y2030,2030-01-01T21:00:00+01:00,74.90854260415965,74.90854260415966,74.90854260415972,74.90854260415973,74.90854260415968,74.90854260415965,74.90854260415972,74.90854260415966,74.90854260415966,74.90854260415965,74.90854260415972
sc2015,y2030,2030-01-01T23:00:00+01:00,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.9085426041597,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972
sc2015,y2030,2030-01-02T01:00:00+01:00,74.9085426041602,74.90854260416017,74.90854260416016,74.90854260416017,74.90854260416019,74.9085426041602,74.90854260416016,74.90854260416019,74.90854260416019,74.9085426041602,74.90854260416016
sc2015,y2030,2030-01-02T03:00:00+01:00,74.90854260415973,74.90854260415972,74.9085426041597,74.90854260415973,74.90854260415975,74.90854260415973,74.9085426041597,74.90854260415973,74.90854260415975,74.90854260415973,74.9085426041597
sc2015,y2030,2030-01-02T05:00:00+01:00,72.50000000000003,72.50000000000001,72.50000000000001,72.50000000000001,72.49999999999997,72.50000000000003,72.50000000000001,72.50000000000003,72.49999999999999,72.50000000000003,72.50000000000001
sc2015,y2030,2030-01-02T07:00:00+01:00,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.9085426041597,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972
sc2015,y2030,2030-01-02T09:00:00+01:00,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.9085426041597,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972
sc2015,y2030,2030-01-02T11:00:00+01:00,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.9085426041597,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972
sc2015,y2030,2030-01-02T13:00:00+01:00,72.50000000000003,72.50000000000001,72.50000000000001,72.50000000000001,72.49999999999997,72.50000000000003,72.50000000000001,72.50000000000003,72.49999999999999,72.50000000000003,72.50000000000001
sc2015,y2030,2030-01-02T15:00:00+01:00,74.90854260415973,74.90854260415972,74.9085426041597,74.90854260415973,74.90854260415975,74.90854260415973,74.9085426041597,74.90854260415973,74.90854260415975,74.90854260415973,74.9085426041597
sc2015,y2030,2030-01-02T17:00:00+01:00,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.9085426041597,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972,74.90854260415972
sc2015,y2030,2030-01-02T19:00:00+01:00,75.69716956586116,75.37006586186428,75.28319170633607,74.90854260416017,75.93747024006916,75.61478076327556,75.24876987112678,75.35668547611965,75.97866464136196,75.43627169100675,75.24876987112678
sc2015,y2030,2030-01-02T21:00:00+01:00,75.73852443799524,75.61950689621152,76.02091581567144,74.90854260416017,75.94352217257659,75.66823950042449,75.18161662678666,75.37490442363983,75.97866464136196,75.5159554690212,75.18161662678666
