,,,Area1
sc2015,y2030,2030-01-01T00:00:00+01:00,254.4304788
sc2015,y2030,2030-01-01T01:00:00+01:00,244.9639442
sc2015,y2030,2030-01-01T02:00:00+01:00,228.1988154
sc2015,y2030,2030-01-01T03:00:00+01:00,213.2459617
sc2015,y2030,2030-01-01T04:00:00+01:00,202.3809093
sc2015,y2030,2030-01-01T05:00:00+01:00,198.4543794
sc2015,y2030,2030-01-01T06:00:00+01:00,199.272625
sc2015,y2030,2030-01-01T07:00:00+01:00,202.8034935
sc2015,y2030,2030-01-01T08:00:00+01:00,200.6310071
sc2015,y2030,2030-01-01T09:00:00+01:00,204.3474596
sc2015,y2030,2030-01-01T10:00:00+01:00,219.4964834
sc2015,y2030,2030-01-01T11:00:00+01:00,228.1941638
sc2015,y2030,2030-01-01T12:00:00+01:00,230.6936708
sc2015,y2030,2030-01-01T13:00:00+01:00,236.0708798
sc2015,y2030,2030-01-01T14:00:00+01:00,235.7056494
sc2015,y2030,2030-01-01T15:00:00+01:00,221.7815133
sc2015,y2030,2030-01-01T16:00:00+01:00,215.5099727
sc2015,y2030,2030-01-01T17:00:00+01:00,223.2847993
sc2015,y2030,2030-01-01T18:00:00+01:00,258.7168184
sc2015,y2030,2030-01-01T19:00:00+01:00,279.3125903
sc2015,y2030,2030-01-01T20:00:00+01:00,289.4212018
sc2015,y2030,2030-01-01T21:00:00+01:00,296.3622696
sc2015,y2030,2030-01-01T22:00:00+01:00,292.1786836
sc2015,y2030,2030-01-01T23:00:00+01:00,270.165403
sc2015,y2030,2030-01-02T00:00:00+01:00,244.9769973
sc2015,y2030,2030-01-02T01:00:00+01:00,219.5414715
sc2015,y2030,2030-01-02T02:00:00+01:00,204.9049265
sc2015,y2030,2030-01-02T03:00:00+01:00,196.8256636
sc2015,y2030,2030-01-02T04:00:00+01:00,193.960899
sc2015,y2030,2030-01-02T05:00:00+01:00,199.0925806
sc2015,y2030,2030-01-02T06:00:00+01:00,218.5481327
sc2015,y2030,2030-01-02T07:00:00+01:00,246.9836357
sc2015,y2030,2030-01-02T08:00:00+01:00,277.453646
sc2015,y2030,2030-01-02T09:00:00+01:00,305.9774307
sc2015,y2030,2030-01-02T10:00:00+01:00,323.7833196
sc2015,y2030,2030-01-02T11:00:00+01:00,319.518254
sc2015,y2030,2030-01-02T12:00:00+01:00,309.4881821
