,Latitude,Longitude
Almeria,36.833333,-2.45
Barcelona,41.3825,2.176944444
Bilbao,43.26222222,-2.953333333
Caceres,39.473056,-6.371111
Cadiz,36.51666667,-6.283333333
Cartagena,37.6,-0.981944
Lugo,43.011667,-7.557222
Madrid,40.41888889,-3.691944444
Sevilla,37.38333333,-5.983333333
Valencia,39.46666667,-0.375
Valladolid,41.651981,-4.728561
