InitialNode,,,Almeria,Almeria,Barcelona,Barcelona,Bilbao,Bilbao,Bilbao,Caceres,Caceres,Caceres,Caceres,Caceres,Caceres,Caceres,Cadiz,Cadiz,Cartagena,Cartagena,Lugo,Lugo,Madrid,Madrid,Madrid,Sevilla,Sevilla,Valencia,Valencia,Valencia
FinalNode,,,Cadiz,Cartagena,Madrid,Valencia,Barcelona,Valladolid,Valladolid,Madrid,Madrid,Sevilla,Sevilla,Sevilla,Valladolid,Valladolid,Sevilla,Sevilla,Valencia,Valencia,Valladolid,Valladolid,Bilbao,Valladolid,Valladolid,Madrid,Valladolid,Madrid,Madrid,Madrid
Circuit,,,ac1,ac1,ac1,ac1,ac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1,ac1,cac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1
sc2015,y2030,2030-01-01T01:00:00+01:00,-39.811764673286845,-36.62615720171319,193.0137666499634,190.65326433873474,-239.10797101130177,-219.51956023869823,0,15.073446766022903,0,192.34672407556687,192.34672407556687,0,-52.64273866715635,0,10.633652078690602,10.633652078690547,-342.37784470171323,0,270.56625362216636,270.56625362216636,0,-180.57649448847798,0,-129.10470084148585,0,111.1520431435108,111.1520431435108,0
sc2015,y2030,2030-01-01T03:00:00+01:00,-33.59929711372123,-33.96878101127876,181.18762093374852,163.02535308370847,-235.01285644220937,-170.39561240779065,0,26.82109842278041,0,166.94786059308174,166.94786059308174,0,4.147024091056051,0,19.792281083473306,19.792281083473306,-304.24109351127873,0,153.48741496733308,153.48741496733308,0,-60.46419821793159,0,-99.49626359689012,0,121.78301723621487,121.78301723621487,0
sc2015,y2030,2030-01-01T05:00:00+01:00,-38.85063320711074,-22.501706902889275,126.80353311995273,92.71539114124955,-186.78842318025514,-181.32561751974487,0,43.146935993378264,0,155.3232050491,155.32320504910012,0,23.501973658421438,0,21.4428227617785,21.442822761778444,-267.9110673528894,0,142.35934561893748,142.35934561893748,0,-52.38656622655158,0,-75.93432512824283,0,108.61089266918012,108.61089266918012,0
sc2015,y2030,2030-01-01T07:00:00+01:00,-40.874516859561396,-20.562689036438652,116.40644667498567,89.37969529139728,-172.56676847507444,-196.68680977492545,0,43.47888274384226,0,163.00894717285675,163.00894717285675,0,7.418696810444381,0,11.666325187053072,11.666325187053072,-266.61617833343877,0,137.61057600893756,137.61057600893756,0,-96.16049582239428,0,-81.34023939118067,0,95.03913558047927,95.03913558047927,0
sc2015,y2030,2030-01-01T09:00:00+01:00,-15.068684477186235,-6.304249583813815,103.67144703594467,55.68416587870762,-179.51168537680536,-192.40731472319453,0,52.35170578382065,0,135.9902469837022,135.9902469837022,0,51.69480024877482,0,34.077265207240636,34.077265207240636,-209.5753270328139,0,125.50527542393752,125.50527542393752,0,-1.751748093455463,0,-53.15690961411429,0,110.80127772344683,110.80127772344683,0
sc2015,y2030,2030-01-01T11:00:00+01:00,127.0450110640251,37.63034503097495,-22.135876984677395,-194.49076787222543,-138.803920069423,-272.34055183057706,0,72.13056208044254,0,65.42883340353866,65.42883340353866,0,159.96361381248013,0,129.44370478283295,129.44370478283307,20.05340873097472,0,46.895023718609764,46.895023718609764,0,234.22147128543335,0,17.343666230918764,0,176.06173110437462,176.06173110437462,0
sc2015,y2030,2030-01-01T13:00:00+01:00,186.8661979111753,46.954476548824786,-22.13055732649688,-241.5071918879515,-170.98605707696845,-257.6752649230314,0,64.20207137872869,0,22.410638589539012,22.410638589539012,0,214.95207137872862,0,196.03525200390825,196.03525200390825,96.97091289882465,0,48.319553673609796,48.319553673609796,0,402.0,0,42.0511337368944,0,227.49475555543663,227.49475555543663,0
sc2015,y2030,2030-01-01T15:00:00+01:00,159.93744674239073,38.142452542609284,-21.791257313894306,-215.74980631996357,-152.37975239637788,-267.7615195036219,0,66.9048870336998,0,56.69544881210709,56.69544881210709,0,179.65712469208606,0,163.86201914451604,163.86201914451604,52.96206029260908,0,47.91911488610978,47.91911488610978,0,300.67263375569695,0,19.053563313245924,0,199.88458073632276,199.88458073632276,0
sc2015,y2030,2030-01-01T17:00:00+01:00,7.697469070671426,17.81204236932865,76.61410721871297,8.793524876128167,-177.2420473966165,-225.7327433033833,0,76.18057844554743,0,124.70769471104859,124.70769471104859,0,94.70849157235477,0,52.53035129316947,52.53035129316947,-148.89864383067152,0,111.70710657143756,111.70710657143756,0,49.40776833815291,0,-22.989187206564175,0,117.27419724772825,117.27419724772825,0
sc2015,y2030,2030-01-01T19:00:00+01:00,-106.10042068012704,23.83617352712708,96.97173513085744,132.09813888810618,-166.18856614024918,-327.92007450975075,0,196.9109884409327,0,336.0161577029267,336.0161577029267,0,96.35381590321396,0,-82.61926343772986,-82.61926343772991,-305.4736745538731,0,107.1615301414376,107.1615301414376,0,-268.1524601005835,0,-69.57909914760695,0,16.12709690161651,16.12709690161651,0
sc2015,y2030,2030-01-01T21:00:00+01:00,-138.9916640410593,49.330928601059256,75.67823087692067,117.57448689529116,-163.2506882370009,-374.7137243129989,0,283.10589733472744,0,402.0,402.0,0,182.2418982569548,0,-108.0818729576959,-108.08187295769578,-309.31201309894084,0,109.15644145393755,109.15644145393766,0,-268.970664207394,0,-39.78889386539197,0,-3.255025151824853,-3.255025151824853,0
sc2015,y2030,2030-01-01T23:00:00+01:00,-121.82029933898414,35.74722489898413,94.53120731469205,127.45749594695954,-176.88305789756117,-339.55538900243863,0,242.45141045388775,0,364.694500823599,364.694500823599,0,156.0134389489144,0,-88.06176705415835,-88.06176705415825,-308.54507295101604,0,115.20937358143757,115.20937358143757,0,-230.50125734659562,0,-49.24605391111903,0,17.16067592297177,17.16067592297177,0
sc2015,y2030,2030-01-02T01:00:00+01:00,-76.44626610718124,5.346500447181213,140.87157115414416,146.4093054747988,-216.1722195302698,-210.4263742697301,0,161.23566798921274,0,263.8883660026854,263.8883660026854,0,147.8600587476605,0,-39.34713119075683,-39.34713119075683,-279.0525620528189,0,118.77702954393754,118.77702954393754,0,-35.66829131080612,0,-48.61588972614322,0,73.18336186099006,73.18336186099006,0
