Scenario,Period,LoadLevel,Anthracit,CCGT,Cogeneration,Hydro_UGH,Oil,Onshore_wind,Solar_PV,Sub_bitumous
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,35.476016388395024,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,2.186518908672308,38.6575291708417,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-02T23:00:00+01:00,8.0288,47.12669191010595,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-03T15:00:00+01:00,7.8618872945422495,41.52719781338083,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-04T07:00:00+01:00,7.46318736194028,40.19819803804093,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-04T23:00:00+01:00,8.0288,53.35660502237309,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-05T15:00:00+01:00,6.236387527663268,39.311870380155824,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-06T07:00:00+01:00,3.8457774216999283,38.94357349824,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-06T23:00:00+01:00,4.196164903676026,38.94357349824,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-07T15:00:00+01:00,7.433074589315222,40.09782212929073,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-08T07:00:00+01:00,7.689945502483531,40.954058506518436,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-08T23:00:00+01:00,8.0288,54.232174802669036,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-09T15:00:00+01:00,7.861887294542253,41.52719781338084,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-10T07:00:00+01:00,7.765079894315748,41.20450647929249,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-10T23:00:00+01:00,8.0288,54.23217480266899,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-11T15:00:00+01:00,7.433074589315243,40.097822129290805,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-12T07:00:00+01:00,7.626844109585654,40.74372053019218,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-12T23:00:00+01:00,8.0288,47.126691910105976,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-13T15:00:00+01:00,0.0,35.47780724005509,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-14T07:00:00+01:00,1.3905484437468978,38.41873803136407,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-14T23:00:00+01:00,8.0288,53.35660502237302,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-15T15:00:00+01:00,7.861887294542227,41.52719781338075,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-16T07:00:00+01:00,7.765079894315669,41.20450647929223,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-16T23:00:00+01:00,8.0288,54.232174802668936,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-17T15:00:00+01:00,7.861887294542167,41.52719781338055,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-18T07:00:00+01:00,7.463187361940257,40.19819803804086,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-18T23:00:00+01:00,8.0288,53.35660502237303,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-19T15:00:00+01:00,6.236387527663167,39.311870380155796,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-20T07:00:00+01:00,3.8457774216999203,38.94357349824,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-20T23:00:00+01:00,4.196164903675855,38.94357349824,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-21T15:00:00+01:00,7.433074589315217,40.09782212929072,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-22T07:00:00+01:00,7.6899455024835195,40.95405850651839,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-22T23:00:00+01:00,8.0288,54.23217480266895,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-23T15:00:00+01:00,7.861887294542222,41.52719781338074,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
sc01,y2030,2030-01-24T07:00:00+01:00,7.765079894315674,41.20450647929225,1.058095655952,87.08539921342401,0.0,7.343160860384,7.59659795664,0.0
