Scenario,Period,LoadLevel,AL00_HydroRun,AL00_HydroTurbineReservoir,AL00_SolarPhotovoltaic,AL00_WindOnshore,AT00_HydroRun,AT00_HydroTurbineReservoir,AT00_OthersNonRenewable,AT00_OthersRenewable,AT00_SolarPhotovoltaic,AT00_WindOnshore,BA00_HydroRun,BA00_HydroTurbineReservoir,BA00_SolarPhotovoltaic,BA00_WindOnshore,BE00_Biofuel,BE00_HydroRun,BE00_OthersNonRenewable,BE00_OthersRenewable,BE00_SolarPhotovoltaic,BE00_WindOffshore,BE00_WindOnshore,BG00_HydroRun,BG00_HydroTurbineReservoir,BG00_OthersRenewable,BG00_SolarPhotovoltaic,BG00_WindOnshore,CH00_HydroRun,CH00_HydroTurbineReservoir,CH00_OthersNonRenewable,CH00_OthersRenewable,CH00_SolarPhotovoltaic,CH00_WindOnshore,CY00_OthersRenewable,CY00_SolarPhotovoltaic,CY00_SolarThermal,CY00_WindOnshore,CZ00_HydroRun,CZ00_HydroTurbineReservoir,CZ00_OthersNonRenewable,CZ00_OthersRenewable,CZ00_SolarPhotovoltaic,CZ00_WindOnshore,DE00_HydroRun,DE00_HydroTurbineReservoir,DE00_OthersNonRenewable,DE00_OthersRenewable,DE00_SolarPhotovoltaic,DE00_WindOffshore,DE00_WindOnshore,DEKF_OthersNonRenewable,DEKF_WindOffshore,DKE1_Biofuel,DKE1_OthersNonRenewable,DKE1_OthersRenewable,DKE1_SolarPhotovoltaic,DKE1_WindOffshore,DKE1_WindOnshore,DKKF_WindOffshore,DKW1_Biofuel,DKW1_OthersNonRenewable,DKW1_OthersRenewable,DKW1_SolarPhotovoltaic,DKW1_WindOffshore,DKW1_WindOnshore,EE00_Biofuel,EE00_OthersNonRenewable,EE00_OthersRenewable,EE00_SolarPhotovoltaic,EE00_WindOnshore,ES00_HydroRun,ES00_HydroTurbineReservoir,ES00_OthersNonRenewable,ES00_OthersRenewable,ES00_SolarPhotovoltaic,ES00_SolarThermal,ES00_WindOnshore,FI00_Biofuel,FI00_HydroTurbineReservoir,FI00_OthersNonRenewable,FI00_OthersRenewable,FI00_SolarPhotovoltaic,FI00_WindOffshore,FI00_WindOnshore,FR00_HydroRun,FR00_HydroTurbineReservoir,FR00_OthersNonRenewable,FR00_OthersRenewable,FR00_SolarPhotovoltaic,FR00_WindOffshore,FR00_WindOnshore,GR00_HydroRun,GR00_HydroTurbineReservoir,GR00_OthersRenewable,GR00_SolarPhotovoltaic,GR00_WindOnshore,GR03_SolarPhotovoltaic,GR03_SolarThermal,GR03_WindOnshore,HR00_HydroRun,HR00_HydroTurbineReservoir,HR00_OthersNonRenewable,HR00_OthersRenewable,HR00_SolarPhotovoltaic,HR00_SolarThermal,HR00_WindOnshore,HU00_Biofuel,HU00_HydroRun,HU00_OthersNonRenewable,HU00_OthersRenewable,HU00_SolarPhotovoltaic,HU00_WindOnshore,IE00_Biofuel,IE00_HydroRun,IE00_OthersNonRenewable,IE00_OthersRenewable,IE00_SolarPhotovoltaic,IE00_WindOffshore,IE00_WindOnshore,ITCN_HydroRun,ITCN_HydroTurbineReservoir,ITCN_OthersNonRenewable,ITCN_OthersRenewable,ITCN_SolarPhotovoltaic,ITCN_WindOnshore,ITCS_HydroRun,ITCS_HydroTurbineReservoir,ITCS_OthersNonRenewable,ITCS_OthersRenewable,ITCS_SolarPhotovoltaic,ITCS_WindOnshore,ITN1_HydroRun,ITN1_HydroTurbineReservoir,ITN1_OthersNonRenewable,ITN1_OthersRenewable,ITN1_SolarPhotovoltaic,ITN1_WindOnshore,ITS1_HydroRun,ITS1_HydroTurbineReservoir,ITS1_OthersNonRenewable,ITS1_OthersRenewable,ITS1_SolarPhotovoltaic,ITS1_WindOnshore,ITSA_HydroRun,ITSA_HydroTurbineReservoir,ITSA_OthersNonRenewable,ITSA_OthersRenewable,ITSA_SolarPhotovoltaic,ITSA_WindOnshore,ITSI_HydroRun,ITSI_HydroTurbineReservoir,ITSI_OthersNonRenewable,ITSI_OthersRenewable,ITSI_SolarPhotovoltaic,ITSI_SolarThermal,ITSI_WindOnshore,LT00_HydroRun,LT00_OthersNonRenewable,LT00_OthersRenewable,LT00_SolarPhotovoltaic,LT00_WindOnshore,LUG1_HydroRun,LUG1_OthersNonRenewable,LUG1_OthersRenewable,LUG1_SolarPhotovoltaic,LUG1_WindOnshore,LV00_HydroRun,LV00_OthersRenewable,LV00_SolarPhotovoltaic,LV00_SolarThermal,LV00_WindOffshore,LV00_WindOnshore,ME00_HydroRun,ME00_HydroTurbineReservoir,ME00_OthersRenewable,ME00_SolarPhotovoltaic,ME00_WindOnshore,MK00_HydroRun,MK00_HydroTurbineReservoir,MK00_OthersRenewable,MK00_SolarPhotovoltaic,MK00_WindOnshore,MT00_OthersNonRenewable,MT00_SolarPhotovoltaic,NL00_Biofuel,NL00_HydroRun,NL00_OthersNonRenewable,NL00_OthersRenewable,NL00_SolarPhotovoltaic,NL00_WindOffshore,NL00_WindOnshore,NOM1_OthersNonRenewable,NOM1_WindOnshore,NON1_OthersNonRenewable,NON1_OthersRenewable,NON1_WindOnshore,NOS0_OthersNonRenewable,NOS0_OthersRenewable,NOS0_SolarPhotovoltaic,NOS0_WindOnshore,PL00_Biofuel,PL00_HydroRun,PL00_HydroTurbineReservoir,PL00_OthersNonRenewable,PL00_OthersRenewable,PL00_SolarPhotovoltaic,PL00_WindOnshore,PT00_HydroRun,PT00_HydroTurbineReservoir,PT00_OthersNonRenewable,PT00_OthersRenewable,PT00_SolarPhotovoltaic,PT00_WindOffshore,PT00_WindOnshore,RO00_HydroRun,RO00_HydroTurbineReservoir,RO00_OthersRenewable,RO00_SolarPhotovoltaic,RO00_WindOnshore,RS00_HydroRun,RS00_HydroTurbineReservoir,RS00_OthersRenewable,RS00_SolarPhotovoltaic,RS00_WindOnshore,SE01_HydroTurbineReservoir,SE01_OthersRenewable,SE01_WindOnshore,SE02_HydroTurbineReservoir,SE02_OthersRenewable,SE02_SolarPhotovoltaic,SE02_WindOnshore,SE03_HydroTurbineReservoir,SE03_OthersRenewable,SE03_SolarPhotovoltaic,SE03_WindOffshore,SE03_WindOnshore,SE04_HydroTurbineReservoir,SE04_OthersRenewable,SE04_SolarPhotovoltaic,SE04_WindOffshore,SE04_WindOnshore,SI00_HydroRun,SI00_OthersNonRenewable,SI00_OthersRenewable,SI00_SolarPhotovoltaic,SI00_WindOnshore,SK00_Biofuel,SK00_HydroRun,SK00_OthersNonRenewable,SK00_OthersRenewable,SK00_SolarPhotovoltaic,SK00_WindOnshore,TR00_HydroRun,TR00_HydroTurbineReservoir,TR00_OthersNonRenewable,TR00_OthersRenewable,TR00_SolarPhotovoltaic,TR00_WindOnshore,UA01_OthersRenewable,UA01_SolarThermal,UA01_WindOnshore,UK00_Biofuel,UK00_HydroRun,UK00_OthersNonRenewable,UK00_OthersRenewable,UK00_SolarPhotovoltaic,UK00_WindOffshore,UK00_WindOnshore,UKNI_Biofuel,UKNI_OthersNonRenewable,UKNI_OthersRenewable,UKNI_SolarPhotovoltaic,UKNI_WindOnshore
sc2025,y2025,2025-01-01T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.7859993,134.25,1244.0,275.2637939,4359.319317,2139.447583,1595.124816,0.0,0.0,0.0,0.0,0.0,4113.0,0.0,829.6166382,907.0,2159.8489500000023,18.605999540000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.0000000000005,1297.0,12874.59985,7935.000000000001,10444.10738464498,6116.905578500001,8580.3330905,3241.0,335.9999955,1052.0,129.45114049999998,265.4400024,400.00000600000004,21.293522316500006,44.36676,600.0000238,1021.5000000000001,500.8399963000001,457.9599915,1000.0,611.84760915,660.7737999999999,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,1979.0009537500052,1586.0,0.0,4801.037155,4296.110706500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,248.9742432,571.4938119449986,732.73905405,159.15866200000002,70.00000030000001,99.98840366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.4233093,944.0348511,555.2700195,1171.731079,3135.0610260000003,26.35832726,0.0,0.0,0.0,0.0,0.0,0.0,1998.3968289999993,0.0,3076.26001,2384.2600100000004,0.0,13.883232015,144.33149719999997,942.9657593000001,792.4299927000002,608.3954468,278.94613668499966,172.73583790000004,74.30398559999999,0.0,8.699651440000068,0.0,0.0,14.648610705000003,70.56206512,145.4006195,0.0,71.61521912,7.422707230000158,0.0,129.015665135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0458100000001,0.0,0.0,9.999999776000001,27.184454535,43.748158285,132.0,230.1500405499999,36.133331299999995,19.99999955,21.224464825000002,0.0,0.0,0.0,0.0,0.0,136.99431679999998,209.9999934,1330.009979,43.0,0.0,540.0,0.0,219.21319250000158,2320.9378925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.9299965000007,766.0,0.0,3706.00009,63.44504091,1324.4553704999998,0.0,0.0,0.0,0.0,0.0,97.5925740000001,429.1000061000001,301.0,49.99999888,104.44170803499999,581.0414002750006,258.0,1522.4460290000002,422.9152450000004,537.0,70.00000030000001,2511.976163,0.0,0.0,0.0,0.0,0.0,349.00000000000006,591.0,509.9999905,0.0,217.62005200000002,293.86863054499935,152.0,47.0,361.0000014,0.0,514.6679677,0.0,134.5625458,233.6401367,140.6805769499989,14.780182105000002,10212.57031,674.1814600000033,1235.20166,0.0,0.0,7198.278969000001,40.61999893000001,230.0000042,200.00000300000002,3684.0,1938.1020510000003,0.0,618.1983085000109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-01T03:00:00+01:00,0.0,65.73715940000025,50.000000750000005,0.0,0.0,2429.553955,295.55932890000116,609.3079223999999,5002.37143,349.88569724999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.0275490000017,8152.000000000001,829.6166382,907.0,4000.0,14.841140090000005,15.0,44.7539053499999,50.000000750000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.0000000000005,1297.0,12874.59985,7935.000000000001,9972.25418549999,4867.9931285,8252.744598,3241.0,335.9999955,1052.0,248.4000015,265.4400024,400.00000600000004,0.0,29.061245000000003,600.0000238,1021.5000000000001,500.8399963000001,457.9599915,1000.0,621.3047292500002,596.7260000000001,0.0,0.0,0.0,0.0,0.0,3500.0,10970.0,0.0,178.15906500000068,0.0,4801.037155,7349.595510500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.59249685000896,0.0,0.0,344.0,0.0,248.9742432,0.0,386.2086684349959,159.15866200000002,70.00000030000001,87.59975556500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.4233093,944.0348511,555.2700195,1171.731079,3135.0610260000003,25.14530489500001,0.0,0.0,0.0,351.1320717499997,3848.2799530000007,7.7018267035,0.0,0.0,0.0,0.0,1293.5886929999967,12.424376019999999,0.0,0.0,0.0,0.0,0.0,0.0,74.30398559999999,152.8844604,135.10917489999986,77.79034424000001,1144.698024,8.0966324945,70.56206512,145.4006195,218.6290329000002,71.61521912,0.0,29.99999933,146.59743895000005,0.0,0.0,0.0,0.0,0.0,43.0,70.0,46.29999924,250.0,10.689285069,1386.0782680499965,0.0,0.0,9.999999776000001,36.423833515,46.538163925,0.0,0.0,0.0,0.0,0.0,77.90000153,502.0,29.0,32.000001520000005,10.238142653000002,150.0,209.9999934,1330.009979,43.0,4350.000000000001,540.0,0.0,1565.1825021000093,2400.849324999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0000000000001,3765.5000000000005,766.0,1014.0,910.6975560000001,81.84078765,0.0,0.0,0.0,0.0,0.0,0.0,638.0823790000005,429.1000061000001,301.0,49.99999888,164.06278985,759.1614078614999,258.0,1572.6242145000006,581.5601580000002,537.0,70.00000030000001,2290.403615500001,0.0,0.0,0.0,0.0,0.0,153.45117980000094,591.0,509.9999905,0.0,153.50940245,52.258209319999914,0.0,47.0,0.0,0.0,514.6679677,318.1514717499989,134.5625458,233.6401367,0.0,8.920506262000002,10212.57031,0.0,0.0,1983.803345,153.07315500000306,6627.148516999999,40.61999893000001,230.0000042,200.00000300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-01T05:00:00+01:00,0.0,92.69983455000074,50.000000750000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13.87343559999999,80.50543120000005,395.0,0.0,0.0,0.0,0.0,30.52145586499934,4036.0000000000005,1297.0,12874.59985,7935.000000000001,4016.258967152481,5200.2357615,7627.917541500001,3241.0,335.9999955,0.0,0.0,0.0,0.0,0.0,0.0,600.0000238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,10970.0,4292.0,1586.0,2544.152486500007,4801.037155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436.500217999992,0.0,2549.0,0.0,626.8004631500002,3291.2653115000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0081177000001,544.1831665,641.1400146000001,486.943512,3848.2799530000007,6.8518750695,4761.870117,7633.532227,3076.26001,2384.2600100000004,2236.9372980099965,12.249343569999997,0.0,2.8344355000018417,0.0,0.0,0.0,102.05985160000003,74.30398559999999,152.8844604,512.1209729999997,77.79034424000001,1144.698024,0.0,70.56206512,145.4006195,467.3999938999999,71.61521912,9.90774113000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,70.0,46.29999924,250.0,7.4858611229999985,736.8598021500001,0.0,0.0,9.999999776000001,34.410171930000004,39.23283508,132.0,1139.0,36.133331299999995,19.99999955,31.825648345000012,77.90000153,502.0,29.0,32.000001520000005,6.917884603000002,133.95704139999992,209.9999934,1330.009979,43.0,4350.000000000001,540.0,2488.7050969449974,2636.9841229999997,1899.0632364999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0000000000001,3765.5000000000005,766.0,1014.0,3706.00009,95.95000333999998,2702.4285955000005,0.0,0.0,0.0,0.0,0.0,652.9815134499988,429.1000061000001,301.0,49.99999888,230.24460965000003,66.1534025275019,258.0,1508.8247515000003,374.63473100000044,537.0,70.00000030000001,2071.0042465,2911.0,0.0,1379.999995,61.055875,82.00278190000066,349.00000000000006,591.0,509.9999905,0.0,153.04897499999998,1125.0,152.0,47.0,361.0000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10212.57031,0.0,142.60962190999305,1983.803345,0.0,5560.080699499997,40.61999893000001,230.0000042,200.00000300000002,3684.0,0.0,0.0,4637.000977000001,0.0,415.870866999998,2611.9898495,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-01T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.0,335.9999955,0.0,0.0,0.0,0.0,0.0,0.0,600.0000238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.4233093,115.20043860000018,0.0,0.0,15.989087115000002,29.981821135000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.784993550004,0.0,2384.2600100000004,0.0,13.2935743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.9998811399994,0.0,0.0,0.0,18.73273271,30.881031454999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0000000000001,3765.5000000000005,766.0,750.4187409999992,0.0,95.94999828999998,3315.2264965000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.53622130999753,258.0,0.0,271.3109210000004,537.0,70.00000030000001,1782.2224575000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.6960783749998,0.0,0.0,1983.803345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-01T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.0,335.9999955,0.0,0.0,0.0,0.0,0.0,0.0,600.0000238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,1437.2061490000033,0.0,0.0,0.0,0.0,539.3500699999971,0.0,130.43994005000005,36.56194318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.64788666999993,0.0,0.0,0.0,14.049610795000005,34.396545720000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0000000000001,3765.5000000000005,766.0,1014.0,27.459559485,77.137889135,3777.202882000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0627440000009,0.0,0.0,1739.1727130000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.4526119999948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-01T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.0,335.9999955,0.0,0.0,0.0,0.0,0.0,0.0,600.0000238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,851.6570409999957,1586.0,0.0,0.0,0.0,0.0,0.0,0.0,142.68832849999447,120.36760830000003,28.658773359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.30398559999999,152.8844604,0.0,77.79034424000001,27.077676599999435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.40408646499989,0.0,0.0,0.0,16.57210677500001,33.820270995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.8254659999986,0.0,766.0,0.0,180.3692288,45.25414238,4202.755540000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.791836000001,9.491539372,1883.1072510000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.806604999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-01T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.0,335.9999955,0.0,0.0,0.0,0.0,0.0,0.0,600.0000238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,10970.0,30.79096399999859,1586.0,0.0,4801.037155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.30398559999999,152.8844604,69.8979417499993,77.79034424000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0000000000001,3765.5000000000005,766.0,31.22908849999928,214.84043669999997,45.25414238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,7.228261701000001,1657.6243330000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-01T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.0,335.9999955,0.0,0.0,0.0,0.0,0.0,0.0,600.0000238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.5047363999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.30398559999999,0.0,0.0,77.79034424000001,0.0,0.20472669999915816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0000000000001,3765.5000000000005,0.0,508.0912139999991,65.69467368999999,95.95000334,4735.7163900000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.30962399999936,0.0,1831.263431500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
