Scenario,Period,LoadLevel,FR00
sc2025,y2025,2025-01-06T07:00:00+01:00,0
sc2025,y2025,2025-01-06T09:00:00+01:00,0
sc2025,y2025,2025-01-06T11:00:00+01:00,0
sc2025,y2025,2025-01-06T13:00:00+01:00,0
sc2025,y2025,2025-01-06T15:00:00+01:00,0
sc2025,y2025,2025-01-06T17:00:00+01:00,0
sc2025,y2025,2025-01-06T19:00:00+01:00,0
sc2025,y2025,2025-01-06T21:00:00+01:00,0
sc2025,y2025,2025-01-06T23:00:00+01:00,0
sc2025,y2025,2025-01-07T01:00:00+01:00,0
sc2025,y2025,2025-01-07T03:00:00+01:00,0
sc2025,y2025,2025-01-07T05:00:00+01:00,0
sc2025,y2025,2025-01-07T07:00:00+01:00,0
sc2025,y2025,2025-01-07T09:00:00+01:00,0
sc2025,y2025,2025-01-07T11:00:00+01:00,0
sc2025,y2025,2025-01-07T13:00:00+01:00,0
sc2025,y2025,2025-01-07T15:00:00+01:00,0
sc2025,y2025,2025-01-07T17:00:00+01:00,0
sc2025,y2025,2025-01-07T19:00:00+01:00,0
sc2025,y2025,2025-01-07T21:00:00+01:00,0
sc2025,y2025,2025-01-07T23:00:00+01:00,0
sc2025,y2025,2025-01-08T01:00:00+01:00,0
sc2025,y2025,2025-01-08T03:00:00+01:00,0
sc2025,y2025,2025-01-08T05:00:00+01:00,0
sc2025,y2025,2025-01-08T07:00:00+01:00,0
sc2025,y2025,2025-01-08T09:00:00+01:00,0
sc2025,y2025,2025-01-08T11:00:00+01:00,0
sc2025,y2025,2025-01-08T13:00:00+01:00,0
sc2025,y2025,2025-01-08T15:00:00+01:00,0
sc2025,y2025,2025-01-08T17:00:00+01:00,0
sc2025,y2025,2025-01-08T19:00:00+01:00,0
sc2025,y2025,2025-01-08T21:00:00+01:00,0
sc2025,y2025,2025-01-08T23:00:00+01:00,0
sc2025,y2025,2025-01-09T01:00:00+01:00,0
sc2025,y2025,2025-01-09T03:00:00+01:00,0
sc2025,y2025,2025-01-09T05:00:00+01:00,0
sc2025,y2025,2025-01-09T07:00:00+01:00,0
sc2025,y2025,2025-01-09T09:00:00+01:00,0
sc2025,y2025,2025-01-09T11:00:00+01:00,0
sc2025,y2025,2025-01-09T13:00:00+01:00,0
sc2025,y2025,2025-01-09T15:00:00+01:00,0
sc2025,y2025,2025-01-09T17:00:00+01:00,0
sc2025,y2025,2025-01-09T19:00:00+01:00,0
sc2025,y2025,2025-01-09T21:00:00+01:00,0
sc2025,y2025,2025-01-09T23:00:00+01:00,0
sc2025,y2025,2025-01-10T01:00:00+01:00,0
sc2025,y2025,2025-01-10T03:00:00+01:00,0
sc2025,y2025,2025-01-10T05:00:00+01:00,0
sc2025,y2025,2025-01-10T07:00:00+01:00,0
sc2025,y2025,2025-01-10T09:00:00+01:00,0
sc2025,y2025,2025-01-10T11:00:00+01:00,0
sc2025,y2025,2025-01-10T13:00:00+01:00,0
sc2025,y2025,2025-01-10T15:00:00+01:00,0
sc2025,y2025,2025-01-10T17:00:00+01:00,0
sc2025,y2025,2025-01-10T19:00:00+01:00,0
sc2025,y2025,2025-01-10T21:00:00+01:00,0
sc2025,y2025,2025-01-10T23:00:00+01:00,0
sc2025,y2025,2025-01-11T01:00:00+01:00,0
sc2025,y2025,2025-01-11T03:00:00+01:00,0
sc2025,y2025,2025-01-11T05:00:00+01:00,0
sc2025,y2025,2025-01-11T07:00:00+01:00,0
sc2025,y2025,2025-01-11T09:00:00+01:00,0
sc2025,y2025,2025-01-11T11:00:00+01:00,0
sc2025,y2025,2025-01-11T13:00:00+01:00,0
sc2025,y2025,2025-01-11T15:00:00+01:00,0
sc2025,y2025,2025-01-11T17:00:00+01:00,0
sc2025,y2025,2025-01-11T19:00:00+01:00,0
