Scenario,Period,LoadLevel,FR00
sc2025,y2025,2025-01-11T21:00:00+01:00,0
sc2025,y2025,2025-01-11T23:00:00+01:00,0
sc2025,y2025,2025-01-12T01:00:00+01:00,0
sc2025,y2025,2025-01-12T03:00:00+01:00,0
sc2025,y2025,2025-01-12T05:00:00+01:00,0
sc2025,y2025,2025-01-12T07:00:00+01:00,0
sc2025,y2025,2025-01-12T09:00:00+01:00,0
sc2025,y2025,2025-01-12T11:00:00+01:00,0
sc2025,y2025,2025-01-12T13:00:00+01:00,0
sc2025,y2025,2025-01-12T15:00:00+01:00,0
sc2025,y2025,2025-01-12T17:00:00+01:00,0
sc2025,y2025,2025-01-12T19:00:00+01:00,0
sc2025,y2025,2025-01-12T21:00:00+01:00,0
sc2025,y2025,2025-01-12T23:00:00+01:00,0
sc2025,y2025,2025-01-13T01:00:00+01:00,0
sc2025,y2025,2025-01-13T03:00:00+01:00,0
sc2025,y2025,2025-01-13T05:00:00+01:00,0
sc2025,y2025,2025-01-13T07:00:00+01:00,0
sc2025,y2025,2025-01-13T09:00:00+01:00,0
sc2025,y2025,2025-01-13T11:00:00+01:00,0
sc2025,y2025,2025-01-13T13:00:00+01:00,0
sc2025,y2025,2025-01-13T15:00:00+01:00,0
sc2025,y2025,2025-01-13T17:00:00+01:00,0
sc2025,y2025,2025-01-13T19:00:00+01:00,0
sc2025,y2025,2025-01-13T21:00:00+01:00,0
sc2025,y2025,2025-01-13T23:00:00+01:00,0
sc2025,y2025,2025-01-14T01:00:00+01:00,0
sc2025,y2025,2025-01-14T03:00:00+01:00,0
sc2025,y2025,2025-01-14T05:00:00+01:00,0
sc2025,y2025,2025-01-14T07:00:00+01:00,0
sc2025,y2025,2025-01-14T09:00:00+01:00,0
sc2025,y2025,2025-01-14T11:00:00+01:00,0
sc2025,y2025,2025-01-14T13:00:00+01:00,0
sc2025,y2025,2025-01-14T15:00:00+01:00,0
sc2025,y2025,2025-01-14T17:00:00+01:00,0
sc2025,y2025,2025-01-14T19:00:00+01:00,0
sc2025,y2025,2025-01-14T21:00:00+01:00,0
sc2025,y2025,2025-01-14T23:00:00+01:00,0
sc2025,y2025,2025-01-15T01:00:00+01:00,0
sc2025,y2025,2025-01-15T03:00:00+01:00,0
sc2025,y2025,2025-01-15T05:00:00+01:00,0
sc2025,y2025,2025-01-15T07:00:00+01:00,0
sc2025,y2025,2025-01-15T09:00:00+01:00,0
sc2025,y2025,2025-01-15T11:00:00+01:00,0
sc2025,y2025,2025-01-15T13:00:00+01:00,0
