,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,BinaryInvestment,MaximumReactivePower,MinimumReactivePower
SE01_Nuclear,SE01,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
SE02_Nuclear,SE02,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
SE03_Nuclear,SE03,Nuclear,,1,6835,2734,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
SE04_Nuclear,SE04,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
SI00_Nuclear,SI00,Nuclear,,1,696,278.4,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
SK00_Nuclear,SK00,Nuclear,,1,2759.64656,1103.858624,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
TR00_Nuclear,TR00,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
UA01_Nuclear,UA01,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
UK00_Nuclear,UK00,Nuclear,,1,7149,2859.6,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
UKNI_Nuclear,UKNI,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
AL00_Lignite,AL00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
AT00_Lignite,AT00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
BA00_Lignite,BA00,Lignite,,,2298,1149,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
BE00_Lignite,BE00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
BG00_Lignite,BG00,Lignite,,,3313,1656.5,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
CH00_Lignite,CH00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
CY00_Lignite,CY00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
CZ00_Lignite,CZ00,Lignite,,,5023.100014,2511.550007,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
DE00_Lignite,DE00,Lignite,,,9412.600004,4706.300002,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
DEKF_Lignite,DEKF,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
DKE1_Lignite,DKE1,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
DKKF_Lignite,DKKF,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
DKW1_Lignite,DKW1,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
EE00_Lignite,EE00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
ES00_Lignite,ES00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
FI00_Lignite,FI00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
