Scenario,Period,LoadLevel,AT00_HydroTurbinePumpStorage,BA00_HydroTurbinePumpStorage,BE00_HydroTurbinePumpStorage,BG00_HydroTurbinePumpStorage,CH00_HydroTurbinePumpStorage,CZ00_HydroTurbinePumpStorage,DE00_HydroTurbinePumpStorage,ES00_HydroTurbinePumpStorage,FR00_HydroTurbinePumpStorage,GR00_HydroTurbinePumpStorage,HR00_HydroTurbinePumpStorage,IE00_HydroTurbinePumpStorage,ITCS_HydroTurbinePumpStorage,ITN1_HydroTurbinePumpStorage,ITSA_HydroTurbinePumpStorage,ITSI_HydroTurbinePumpStorage,LT00_HydroTurbinePumpStorage,NOM1_HydroTurbinePumpStorage,NON1_HydroTurbinePumpStorage,NOS0_HydroTurbinePumpStorage,PL00_HydroTurbinePumpStorage,PT00_HydroTurbinePumpStorage,RO00_HydroTurbinePumpStorage,RS00_HydroTurbinePumpStorage,SI00_HydroTurbinePumpStorage,SK00_HydroTurbinePumpStorage,UK00_HydroTurbinePumpStorage
sc2025,y2025,2025-01-02T05:00:00+01:00,8.376560057999999,0.88,2.79,0.03664327237599485,7.978,2.315999938,20.074,13.790000000000001,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.021627563000001904,0.0,0.0,0.0,0.0,7.664000000000001,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-02T07:00:00+01:00,7.318959384482082,0.0,2.79,0.0,7.978,0.0,20.074,13.790000000000001,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-02T09:00:00+01:00,8.376560057999999,0.0,2.79,0.0,0.0,0.0,20.074,13.790000000000001,7.0,0.0,0.0,0.0,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-02T11:00:00+01:00,8.376560057999999,0.0,2.79,0.0,7.978,0.0,20.074,13.790000000000001,6.169315845000128,0.0,0.0,0.0,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-02T13:00:00+01:00,8.376560057999999,0.0,2.79,0.0,0.0,0.0,20.074,13.790000000000001,7.0,0.0,0.0,0.0,1.40078302728999,10.01,0.30448637187999816,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-02T15:00:00+01:00,8.376560057999999,0.0,0.0,0.0,7.978,0.0,20.074,13.790000000000001,7.0,0.0,0.0,0.0,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-02T17:00:00+01:00,8.376560057999999,0.0,0.03241093940001338,0.0,7.978,0.0,14.098320829870081,13.790000000000001,4.0638499800001355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-02T19:00:00+01:00,8.376560057999999,0.0,2.79,0.0,7.978,0.0,14.577663049300032,9.909751384640007,4.581275840000153,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.16192434073000794,0.0,0.0
sc2025,y2025,2025-01-02T21:00:00+01:00,8.376560057999999,0.88,2.79,0.0,6.519464116390015,1.7760871251998838,20.074,13.790000000000001,7.0,0.0,0.13176179813297123,0.0,3.494,10.01,0.48,0.0,0.06276556700000449,0.0,0.0,0.0,0.0,7.004757910050014,0.9615794764699955,0.0,1.068,0.8116419972671558,0.0
sc2025,y2025,2025-01-02T23:00:00+01:00,8.376560057999999,0.88,2.79,1.290870435421984,7.978,2.315999938,20.074,7.280155617999997,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.33914140200000453,0.0,0.0,0.0,0.0,7.664000000000001,1.492,0.5030237717600043,1.068,1.8521199952,0.0
sc2025,y2025,2025-01-03T01:00:00+01:00,8.376560057999999,0.88,2.79,2.798,7.978,2.315999938,20.074,0.0,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.340638187000005,0.0,0.0,0.0,2.157280461199983,4.722728092999998,1.492,0.946380241660002,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-03T03:00:00+01:00,8.376560057999999,0.88,2.79,2.798,7.978,2.315999938,20.074,13.790000000000001,7.0,1.47,0.6,0.584,3.494,10.01,0.48,0.0,1.8,0.0,0.0,0.0,3.0035999460000005,5.5593389619999956,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-03T05:00:00+01:00,8.376560057999999,0.88,2.79,2.563219211159983,7.740584010980011,2.315999938,20.074,13.790000000000001,7.0,0.0,0.6,0.584,3.494,10.01,0.48,0.0,0.0,0.0,0.0,0.0,1.194338130200002,5.839459095999996,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-03T07:00:00+01:00,8.376560057999999,0.0,2.79,0.0,7.978,0.0,20.074,13.790000000000001,7.0,0.0,0.0,0.584,3.494,8.036703645670023,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.7181136110440046,0.0,0.0,5.908
sc2025,y2025,2025-01-03T09:00:00+01:00,8.07128759470001,0.0,2.79,0.0,6.559779093520332,0.0,20.074,0.0,7.0,0.0,0.0,0.584,2.035914396389982,8.527415171060007,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-03T11:00:00+01:00,7.790502485000006,0.0,2.79,0.0,6.696229256320848,0.0,20.074,13.790000000000001,0.0,0.0,0.0,0.0,1.6024638591599825,10.01,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-03T13:00:00+01:00,8.376560057999999,0.0,2.79,0.0,0.0,0.0,20.074,13.790000000000001,7.0,0.0,0.0,0.0,2.631087778779978,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-03T15:00:00+01:00,4.194230398456168,0.0,2.79,0.0,0.0,0.0,20.074,13.790000000000001,6.757999776040116,0.0,0.0,0.0,0.0,10.01,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.47666089199999195,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-03T17:00:00+01:00,0.0,0.0,2.79,0.0,7.978,0.0,7.1995698213902015,13.790000000000001,6.578198751000187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
