Scenario,Period,LoadLevel,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DEKF,DKE1,DKKF,DKW1,EE00,ES00,FI00,FR00,FR15,GR00,GR03,HR00,HU00,IE00,ITCN,ITCO,ITCS,ITN1,ITS1,ITSA,ITSC,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM0,NOM1,NON0,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TR00,UA01,UK00,UKNI
sc2025,y2025,2025-01-01T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,1470.0482770820001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0482770820001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0482770820001
sc2025,y2025,2025-01-01T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0482770820001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0482770820001
sc2025,y2025,2025-01-01T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0482770820001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0482770820001
sc2025,y2025,2025-01-01T07:00:00+01:00,14.1272728687,14.1272728687,14.1272728687,14.127272868700004,1029.0337939574,0.0,1470.0482770820001,14.1272728687,14.127272868700004,0.0,14.1272728687,0.0,14.127272868700004,0.0,0.0,0.0,0.0,0.0,1029.0337939574,1029.0337939574,14.1272728687,14.1272728687,1470.0482770820001,0.0,0.0,14.127272868700004,0.0,14.127272868700004,14.127272868700004,14.127272868700004,1470.0482770820001,1677.4100003528,10000.0,10000.0,14.127272868700004,14.127272868700004,0.0,14.1272728687,1029.0337939574,14.127272868700004,14.127272868700004,0.0,10000.0,0.0,10000.0,10000.0,2396.300000504,0.0,14.1272728687,14.1272728687,0.0,0.0,14.1272728687,14.1272728687,14.1272728687,14.1272728687,0.0,14.1272728687,14.127272868700004,1470.0482770820001
sc2025,y2025,2025-01-01T09:00:00+01:00,14.127272868700004,14.1272728687,14.127272868700004,20.18181838385714,1029.0337939574,14.1272728687,1470.0482770820001,14.1272728687,14.1272728687,0.0,14.1272728687,0.0,14.1272728687,0.0,0.0,0.0,14.1272728687,14.1272728687,1029.0337939574,1029.0337939574,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.127272868700004,14.1272728687,14.127272868700004,14.127272868700004,14.127272868700004,1470.0482770820001,1677.4100003528,10000.0,10000.0,14.1272728687,14.1272728687,0.0,14.127272868700004,1029.0337939574,14.127272868700004,14.1272728687,0.0,10000.0,0.0,10000.0,10000.0,2396.300000504,0.0,14.1272728687,14.1272728687,0.0,0.0,14.1272728687,14.1272728687,14.1272728687,14.1272728687,0.0,14.1272728687,14.1272728687,14.1272728687
sc2025,y2025,2025-01-01T11:00:00+01:00,14.127272868700004,14.127272868699997,14.127272868700004,14.127272868699997,1029.0337939574,14.1272728687,1631.593098752012,14.127272868699997,14.127272868699997,0.0,14.1272728687,0.0,14.127272868699997,0.0,0.0,0.0,14.1272728687,14.1272728687,1029.0337939574,1029.0337939574,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.127272868700004,14.1272728687,14.127272868700004,0.0,14.127272868700004,1470.0482770820001,1677.4100003528,10000.0,10000.0,14.127272868699997,14.127272868699997,0.0,14.127272868700004,1029.0337939574,14.127272868700004,14.127272868699997,0.0,10000.0,0.0,10000.0,10000.0,2396.300000504,0.0,14.1272728687,14.127272868700004,0.0,0.0,14.1272728687,14.1272728687,14.1272728687,14.1272728687,0.0,14.1272728687,14.1272728687,14.1272728687
sc2025,y2025,2025-01-01T13:00:00+01:00,14.127272868700004,14.1272728687,14.127272868700004,14.1272728687,1470.0482770820001,14.1272728687,2124.300004788,14.1272728687,14.1272728687,0.0,14.1272728687,0.0,14.1272728687,14.1272728687,0.0,14.1272728687,14.1272728687,14.1272728687,1470.0482770820001,1470.0482770820001,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.127272868700004,14.1272728687,14.127272868700004,0.0,14.127272868700004,1470.0482770820001,1677.4100003528,10000.0,10000.0,14.1272728687,14.1272728687,14.1272728687,14.127272868700004,1470.0482770820001,14.127272868700004,14.1272728687,0.0,10000.0,0.0,10000.0,10000.0,2396.300000504,0.0,14.1272728687,14.127272868700004,0.0,0.0,14.1272728687,14.1272728687,14.1272728687,14.1272728687,1470.0482770820001,14.1272728687,14.1272728687,14.1272728687
sc2025,y2025,2025-01-01T15:00:00+01:00,20.18181838385715,14.1272728687,20.18181838385715,14.1272728687,1470.0482770820001,14.1272728687,2124.300004788,14.1272728687,14.1272728687,0.0,14.1272728687,0.0,14.1272728687,1470.0482770820001,0.0,14.1272728687,14.1272728687,14.1272728687,1470.0482770820001,1470.0482770820001,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.1272728687,20.18181838385715,14.1272728687,20.18181838385715,0.0,20.18181838385715,1470.0482770820001,2396.300000504,10000.0,10000.0,14.1272728687,14.1272728687,1470.0482770820001,20.18181838385715,1470.0482770820001,20.18181838385715,14.1272728687,0.0,10000.0,0.0,10000.0,10000.0,2396.300000504,0.0,20.181818383857145,20.181818383857145,0.0,0.0,14.1272728687,14.1272728687,14.1272728687,14.1272728687,1470.0482770820001,20.181818383857145,14.1272728687,14.1272728687
sc2025,y2025,2025-01-01T17:00:00+01:00,20.181818383857145,14.1272728687,20.181818383857145,14.1272728687,1470.0482770820001,14.1272728687,1470.0482770820001,14.1272728687,20.18181838385714,0.0,14.1272728687,0.0,20.18181838385714,1470.0482770820001,0.0,14.1272728687,14.1272728687,1470.0482770820001,1470.0482770820001,1470.0482770820001,14.1272728687,14.1272728687,0.0,1470.0482770820001,1470.0482770820001,1470.0482770820001,14.1272728687,1470.0482770820001,1470.0482770820001,1470.0482770820001,1470.0482770820001,2396.300000504,10000.0,10000.0,20.18181838385714,20.18181838385714,1470.0482770820001,20.181818383857145,1470.0482770820001,1470.0482770820001,20.18181838385714,0.0,10000.0,0.0,10000.0,10000.0,2396.300000504,0.0,20.18181838385714,20.181818383857145,0.0,0.0,14.1272728687,14.1272728687,14.1272728687,14.1272728687,0.0,20.18181838385714,0.0,0.0
sc2025,y2025,2025-01-01T19:00:00+01:00,20.181818383857145,14.1272728687,14.1272728687,14.1272728687,1029.0337939574,9.889091008090004,1470.0482770820001,14.1272728687,20.18181838385714,0.0,14.1272728687,0.0,20.18181838385714,1470.0482770820001,0.0,14.1272728687,14.1272728687,14.1272728687,1470.0482770820001,1470.0482770820001,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.1272728687,14.1272728687,9.889091008090004,14.1272728687,14.1272728687,14.1272728687,1632.2237328069687,1677.4100003528,10000.0,10000.0,20.18181838385714,20.18181838385714,1470.0482770820001,14.1272728687,1470.0482770820001,1470.0482770820001,14.1272728687,0.0,10000.0,0.0,10000.0,10000.0,2396.300000504,0.0,14.127272868699999,20.181818383857145,0.0,0.0,14.1272728687,14.1272728687,14.1272728687,14.1272728687,0.0,14.1272728687,14.1272728687,14.1272728687
