,,,LineType,Voltage,LossFactor,Reactance,TTC,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment,Resistance,Susceptance,Tap
NOM0,NON0,cc1,DC,400,0.02,0.1,1300,1,,,,,,
NOM0,NOS0,cc1,DC,400,0.02,0.1,1400,1,,,,,,
NOM0,SE02,cc1,DC,400,0.02,0.1,600,1,,,,,,
NON0,SE01,cc1,DC,400,0.02,0.1,700,1,,,,,,
NON0,SE02,cc1,DC,400,0.02,0.1,250,1,,,,,,
NOS0,SE03,cc1,DC,400,0.02,0.1,2145,1,,,,,,
NOS0,UK00,cc1,DC,400,0.02,0.1,2800,1,,,,,,
PL00,SE04,cc1,DC,400,0.02,0.1,600,1,,,,,,
RO00,RS00,cc1,DC,400,0.02,0.1,1000,1,,,,,,
RO00,UA01,cc1,DC,400,0.02,0.1,150,1,,,,,,
SE01,SE02,cc1,DC,400,0.02,0.1,3300,1,,,,,,
SE02,SE03,cc1,DC,400,0.02,0.1,8100,1,,,,,,
SE03,SE04,cc1,DC,400,0.02,0.1,7200,1,,,,,,
SK00,UA01,cc1,DC,400,0.02,0.1,400,1,,,,,,
UK00,UKNI,cc1,DC,400,0.02,0.1,450,1,,,,,,
