Scenario,Period,LoadLevel,Biofuel,Gas,HardCoal,HydroRun,HydroTurbinePumpStorage,HydroTurbineReservoir,Lignite,Nuclear,Oil,OthersNonRenewable,OthersRenewable,SolarPhotovoltaic,SolarThermal,WindOffshore,WindOnshore
sc2025,y2025,2025-01-03T11:00:00+01:00,0.0,0.0,0.0,0.0,38402.597800240415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-03T13:00:00+01:00,0.0,0.0,0.0,0.0,34356.823918389986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-03T15:00:00+01:00,0.0,0.0,0.0,0.0,32240.445533248138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-03T17:00:00+01:00,0.0,0.0,0.0,0.0,25953.884286195196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-03T19:00:00+01:00,0.0,0.0,0.0,0.0,33998.55311921405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-03T21:00:00+01:00,0.0,0.0,0.0,0.0,40517.92370297499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-03T23:00:00+01:00,0.0,0.0,0.0,0.0,50554.48496023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T01:00:00+01:00,0.0,0.0,0.0,0.0,50951.602385380014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T03:00:00+01:00,0.0,0.0,0.0,0.0,52687.23997370001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T05:00:00+01:00,0.0,0.0,0.0,0.0,50498.88480720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T07:00:00+01:00,0.0,0.0,0.0,0.0,39284.62957425413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T09:00:00+01:00,0.0,0.0,0.0,0.0,23991.184567439508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T11:00:00+01:00,0.0,0.0,0.0,0.0,26115.35548636513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T13:00:00+01:00,0.0,0.0,0.0,0.0,3983.168861765027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T15:00:00+01:00,0.0,0.0,0.0,0.0,13241.511209229991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T17:00:00+01:00,0.0,0.0,0.0,0.0,10727.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T19:00:00+01:00,0.0,0.0,0.0,0.0,13025.658619200003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T21:00:00+01:00,0.0,0.0,0.0,0.0,9614.080495540324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T23:00:00+01:00,0.0,0.0,0.0,0.0,26777.8156531151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T01:00:00+01:00,0.0,0.0,0.0,0.0,44816.17547575004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T03:00:00+01:00,0.0,0.0,0.0,0.0,49907.45822580007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T05:00:00+01:00,0.0,0.0,0.0,0.0,42523.33441594506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T07:00:00+01:00,0.0,0.0,0.0,0.0,14324.568288500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T09:00:00+01:00,0.0,0.0,0.0,0.0,12271.380487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T11:00:00+01:00,0.0,0.0,0.0,0.0,26635.280029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T13:00:00+01:00,0.0,0.0,0.0,0.0,21344.285469960152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T15:00:00+01:00,0.0,0.0,0.0,0.0,14390.427160220006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T17:00:00+01:00,0.0,0.0,0.0,0.0,3169.194766235004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T19:00:00+01:00,0.0,0.0,0.0,0.0,10727.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T21:00:00+01:00,0.0,0.0,0.0,0.0,20027.980644549996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T23:00:00+01:00,0.0,0.0,0.0,0.0,30366.7928096101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T01:00:00+01:00,0.0,0.0,0.0,0.0,32583.996663250084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T03:00:00+01:00,0.0,0.0,0.0,0.0,45125.9122580181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T05:00:00+01:00,0.0,0.0,0.0,0.0,45773.7787667485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T07:00:00+01:00,0.0,0.0,0.0,0.0,27199.295817530023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T09:00:00+01:00,0.0,0.0,0.0,0.0,14757.25506211856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T11:00:00+01:00,0.0,0.0,0.0,0.0,11089.186071276019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T13:00:00+01:00,0.0,0.0,0.0,0.0,10078.22909265004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T15:00:00+01:00,0.0,0.0,0.0,0.0,17474.400477258485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T17:00:00+01:00,0.0,0.0,0.0,0.0,15631.26080636999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T19:00:00+01:00,0.0,0.0,0.0,0.0,16637.602355789983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T21:00:00+01:00,0.0,0.0,0.0,0.0,21608.493073900005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T23:00:00+01:00,0.0,0.0,0.0,0.0,19348.064398961003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T01:00:00+01:00,0.0,0.0,0.0,0.0,32517.096641325035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T03:00:00+01:00,0.0,0.0,0.0,0.0,51044.225895665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T05:00:00+01:00,0.0,0.0,0.0,0.0,51479.28965494001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T07:00:00+01:00,0.0,0.0,0.0,0.0,35091.262697432525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T09:00:00+01:00,0.0,0.0,0.0,0.0,43588.50306987701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T11:00:00+01:00,0.0,0.0,0.0,0.0,44045.27275534502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T13:00:00+01:00,0.0,0.0,0.0,0.0,41434.1592843305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T15:00:00+01:00,0.0,0.0,0.0,0.0,44009.803713507485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T17:00:00+01:00,0.0,0.0,0.0,0.0,38322.301397646515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T19:00:00+01:00,0.0,0.0,0.0,0.0,40262.183027745006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T21:00:00+01:00,0.0,0.0,0.0,0.0,46830.77858881503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-07T23:00:00+01:00,0.0,0.0,0.0,0.0,43992.363409100006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T01:00:00+01:00,0.0,0.0,0.0,0.0,51330.70682934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T03:00:00+01:00,0.0,0.0,0.0,0.0,53562.39038474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T05:00:00+01:00,0.0,0.0,0.0,0.0,49979.72371499001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T07:00:00+01:00,0.0,0.0,0.0,0.0,22572.871434421668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T09:00:00+01:00,0.0,0.0,0.0,0.0,15557.840612113521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T11:00:00+01:00,0.0,0.0,0.0,0.0,28941.280029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T13:00:00+01:00,0.0,0.0,0.0,0.0,24952.280029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T15:00:00+01:00,0.0,0.0,0.0,0.0,10727.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T17:00:00+01:00,0.0,0.0,0.0,0.0,12729.386495250023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T19:00:00+01:00,0.0,0.0,0.0,0.0,24475.658458800008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T21:00:00+01:00,0.0,0.0,0.0,0.0,31580.594103271982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-08T23:00:00+01:00,0.0,0.0,0.0,0.0,45593.54985962789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T01:00:00+01:00,0.0,0.0,0.0,0.0,43283.613660200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T03:00:00+01:00,0.0,0.0,0.0,0.0,52215.99214320002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T05:00:00+01:00,0.0,0.0,0.0,0.0,47938.53364802497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T07:00:00+01:00,0.0,0.0,0.0,0.0,9862.121968440004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T09:00:00+01:00,0.0,0.0,0.0,0.0,3832.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T11:00:00+01:00,0.0,0.0,0.0,0.0,12407.894086177454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T13:00:00+01:00,0.0,0.0,0.0,0.0,5262.93627677499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T15:00:00+01:00,0.0,0.0,0.0,0.0,10967.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T17:00:00+01:00,0.0,0.0,0.0,0.0,18879.378030909003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T19:00:00+01:00,0.0,0.0,0.0,0.0,16785.960328489993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T21:00:00+01:00,0.0,0.0,0.0,0.0,15112.944421299988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-09T23:00:00+01:00,0.0,0.0,0.0,0.0,29465.903064545037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T01:00:00+01:00,0.0,0.0,0.0,0.0,47964.94887697503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T03:00:00+01:00,0.0,0.0,0.0,0.0,52949.155419200026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T05:00:00+01:00,0.0,0.0,0.0,0.0,50901.567124545014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T07:00:00+01:00,0.0,0.0,0.0,0.0,23708.72014893598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T09:00:00+01:00,0.0,0.0,0.0,0.0,12346.765797642487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T11:00:00+01:00,0.0,0.0,0.0,0.0,12784.512088449952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T13:00:00+01:00,0.0,0.0,0.0,0.0,14414.833610162963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T15:00:00+01:00,0.0,0.0,0.0,0.0,4245.598615940001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T17:00:00+01:00,0.0,0.0,0.0,0.0,12065.85956899998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T19:00:00+01:00,0.0,0.0,0.0,0.0,32550.592761770033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T21:00:00+01:00,0.0,0.0,0.0,0.0,36687.518460527426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-10T23:00:00+01:00,0.0,0.0,0.0,0.0,45342.643880799966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T01:00:00+01:00,0.0,0.0,0.0,0.0,51736.00078570002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T03:00:00+01:00,0.0,0.0,0.0,0.0,53147.44324944002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T05:00:00+01:00,0.0,0.0,0.0,0.0,51308.41222754002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T07:00:00+01:00,0.0,0.0,0.0,0.0,4642.70024179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T09:00:00+01:00,0.0,0.0,0.0,0.0,4341.845304995006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T11:00:00+01:00,0.0,0.0,0.0,0.0,13094.51097282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T13:00:00+01:00,0.0,0.0,0.0,0.0,9911.076525149932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T15:00:00+01:00,0.0,0.0,0.0,0.0,6522.692867862449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-11T17:00:00+01:00,0.0,0.0,0.0,0.0,18332.233148555504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
