Zone,Area
ES00,Spain
ES11,Spain
ES12,Spain
ES13,Spain
ES21,Spain
ES22,Spain
ES23,Spain
ES24,Spain
ES30,Spain
ES41,Spain
ES42,Spain
ES43,Spain
ES51,Spain
ES52,Spain
ES61,Spain
ES62,Spain
