,W/m2,,ES00,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES61,ES62
sc2015,y2030,2019-01-01T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T07:00:00+01:00,,0,0.038,0.811,1.686,2.848,4.479,12.228,5.217,1.605,5.467,2.344,22.96,18.494,4.498,20.545
sc2015,y2030,2019-01-01T08:00:00+01:00,,44.021,61.198,76.517,43.668,58.123,104.281,136.725,113.857,91.059,115.522,100.654,142.745,153.45,98.749,167.175
sc2015,y2030,2019-01-01T09:00:00+01:00,,180.605,201.404,198.746,111.38,154.751,244.219,285.175,266.598,240.871,270.312,259.503,251.231,303.25,260.316,328.525
sc2015,y2030,2019-01-01T10:00:00+01:00,,304.102,320.55,284.975,167.768,237.198,355.125,398,387.98,363.018,393.834,390.21,370.923,415.675,394.539,450.783
sc2015,y2030,2019-01-01T11:00:00+01:00,,385.453,395.25,323.2,211.493,285.02,419.375,459.975,459.918,437.645,467.767,472.225,422.214,476.15,481.258,518.825
sc2015,y2030,2019-01-01T12:00:00+01:00,,414.797,417.208,330.083,248.775,294.05,430.875,464.225,474.893,456.293,484.231,496.678,424.782,478.75,507.709,525.9
sc2015,y2030,2019-01-01T13:00:00+01:00,,389.004,383.367,291.975,254.854,260.758,389,410.9,430.909,417.398,441.154,461.135,362.154,422.725,473.617,472.042
sc2015,y2030,2019-01-01T14:00:00+01:00,,311.026,296,214.208,238.487,187.822,300.438,305.05,332.814,324.563,343.122,369.395,251.474,314.25,384.376,362
sc2015,y2030,2019-01-01T15:00:00+01:00,,190.492,169.104,112.258,121.984,92.038,160.625,159.863,191.841,188.181,201.61,231.37,110.113,167.325,244.833,208.033
sc2015,y2030,2019-01-01T16:00:00+01:00,,53.565,36.535,17.978,16.278,10.65,24.219,22.13,41.831,41.719,48.163,71.949,6.336,26.291,83.626,45.483
sc2015,y2030,2019-01-01T17:00:00+01:00,,0.001,0,0,0,0,0,0,0,0,0,0.122,0,0,0.674,0
sc2015,y2030,2019-01-01T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T07:00:00+01:00,,0,0.038,0.372,0.731,2.781,2.77,12.98,5.836,1.245,5.954,2.428,25.222,19.748,5.469,21.053
sc2015,y2030,2019-01-02T08:00:00+01:00,,21.006,40.317,34.456,26.873,59.95,53.797,126.956,120.408,65.501,120.651,92.854,160.248,159.55,117.649,168.45
sc2015,y2030,2019-01-02T09:00:00+01:00,,120.568,132.575,95.04,85.999,204.235,150.062,286.55,277.674,209.523,279.341,224.383,299.035,312.675,281.2,329.942
sc2015,y2030,2019-01-02T10:00:00+01:00,,300.049,262.483,174.129,215.165,325.141,294.938,403.6,400.775,353.887,405.153,364.295,398.928,426.9,416.156,452.058
sc2015,y2030,2019-01-02T11:00:00+01:00,,393.732,344.508,226.408,292.718,389.37,427.25,464.525,472.159,437.559,479.921,468.714,447.602,488.025,501.052,520.308
sc2015,y2030,2019-01-02T12:00:00+01:00,,424.236,371.208,258.433,334.563,399.903,442.062,467.875,485.06,455.454,495.909,493.343,439.954,489.625,526.227,527.367
sc2015,y2030,2019-01-02T13:00:00+01:00,,398.338,329.275,237.292,332.035,351.68,395.562,413.475,439.062,415.689,451.674,459.918,376.634,431.875,490.464,473.467
sc2015,y2030,2019-01-02T14:00:00+01:00,,319.067,251.492,184.467,253.345,260.233,297.688,306.825,338.673,322.672,351.6,369.621,264.363,320.475,395.946,363.183
sc2015,y2030,2019-01-02T15:00:00+01:00,,196.743,142.579,109.338,123.713,134.229,159,160.962,195.839,186.1,207.41,232.37,118.875,170.363,253.716,208.979
sc2015,y2030,2019-01-02T16:00:00+01:00,,56.261,30.411,15.045,13.187,14.824,23.785,22.513,43.41,40.965,50.418,74.008,7.396,26.975,87.997,45.959
sc2015,y2030,2019-01-02T17:00:00+01:00,,0.003,0,0,0,0,0,0,0,0,0,0.147,0,0,0.747,0
sc2015,y2030,2019-01-02T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T07:00:00+01:00,,0,0.061,0.564,2.186,5.585,5.062,13.43,5.394,1.673,5.88,2.326,26.871,18.956,5.879,9.507
sc2015,y2030,2019-01-03T08:00:00+01:00,,48.535,63.888,48.536,62.593,102.418,108.188,142.475,111.939,79.082,116.91,92.577,165.232,151.238,121.693,43.719
sc2015,y2030,2019-01-03T09:00:00+01:00,,189.436,207.771,143.958,168.599,234.236,252.344,294,263.697,223.659,270.726,261.551,305.259,289.5,285.098,84.796
sc2015,y2030,2019-01-03T10:00:00+01:00,,319.35,329.25,224.225,277.659,337.931,361.688,408.725,385.385,319.036,390.227,392.243,404.823,409.25,416.307,159.458
sc2015,y2030,2019-01-03T11:00:00+01:00,,402.812,405.192,272.958,359.728,394.162,414.375,471.1,455.128,366.745,457.017,474.225,451.637,465.55,497.823,282.883
sc2015,y2030,2019-01-03T12:00:00+01:00,,432.248,426.283,290.142,387.225,401.362,410.125,469.7,451.846,383.146,463.424,497.448,440.711,470.275,518.788,412.742
sc2015,y2030,2019-01-03T13:00:00+01:00,,404.774,391.2,267.138,341.6,355.948,348.875,405.825,375.775,357.727,414.067,460.476,374.495,415.25,480.63,407.017
sc2015,y2030,2019-01-03T14:00:00+01:00,,323.519,304.175,207.188,244.256,258.147,235.219,290.575,242.916,274.254,308.398,368.62,260.197,303.875,385.871,314.217
sc2015,y2030,2019-01-03T15:00:00+01:00,,199.355,176.025,113.61,119.428,124.789,118.609,145.65,112.601,151.73,158.955,230.52,115.391,162,242.67,185.525
sc2015,y2030,2019-01-03T16:00:00+01:00,,57.597,38.862,19.068,15.827,14.989,18.773,20.019,23.254,31.752,32.21,73.423,7.149,26.73,82.608,38.46
sc2015,y2030,2019-01-03T17:00:00+01:00,,0.004,0,0,0,0,0,0,0,0,0,0.165,0,0,0.722,0
sc2015,y2030,2019-01-03T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-03T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T07:00:00+01:00,,0,0.083,1.158,3.612,6.266,5.655,14.419,6.045,2.029,5.956,2.267,26.305,19.819,5.132,20.863
sc2015,y2030,2019-01-04T08:00:00+01:00,,48.376,65.702,83.919,102.259,114.615,116.812,147.312,119.487,96.414,111.423,88.657,161.931,156.7,108.84,167.342
sc2015,y2030,2019-01-04T09:00:00+01:00,,190.607,209.983,226.621,246.256,259.067,267.062,300.15,276.419,250.623,257.304,233.361,298.591,306.8,269.973,332.267
sc2015,y2030,2019-01-04T10:00:00+01:00,,318.348,332.558,342.517,359.519,370.75,382.938,415.225,401.156,376.322,380.166,362.273,394.167,419.325,404.565,456.775
sc2015,y2030,2019-01-04T11:00:00+01:00,,402.627,410.083,411.675,424.986,433.274,448.812,477.75,475.223,452.995,472.764,458.358,444.63,479.525,489.478,527.233
sc2015,y2030,2019-01-04T12:00:00+01:00,,433.419,433.333,425.65,434.941,438.585,458.125,480.825,490.768,472.289,490.279,485.561,432.288,482.55,515.303,534.1
sc2015,y2030,2019-01-04T13:00:00+01:00,,407.213,399.933,383.908,388.62,387.921,410.438,425.4,446.406,432.488,448.122,451.753,366.957,426.95,478.722,480.033
sc2015,y2030,2019-01-04T14:00:00+01:00,,327.169,312.783,290.767,290.417,286.05,309.5,316.7,346.502,337.399,350.819,362.396,252.68,318.6,385.305,368.758
sc2015,y2030,2019-01-04T15:00:00+01:00,,203.004,183.025,158.533,153.756,146.281,167.75,167.825,202.576,198.341,209.021,227.856,104.147,171.062,245.182,213.492
sc2015,y2030,2019-01-04T16:00:00+01:00,,59.607,41.594,26.997,22.097,17.902,26.723,24.527,46.441,46.102,52.312,72.905,6.331,27.919,83.302,48.255
sc2015,y2030,2019-01-04T17:00:00+01:00,,0.007,0,0,0,0,0,0,0,0,0,0.191,0,0,0.806,0
sc2015,y2030,2019-01-04T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-04T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T07:00:00+01:00,,0,0.111,1.31,3.822,6.398,5.735,14.319,6.53,2.287,6.781,3.071,25.461,19.469,6.514,18.825
sc2015,y2030,2019-01-05T08:00:00+01:00,,52.614,68.442,86.248,102.93,113.586,115.406,144.5,121.763,98.997,123.22,106.654,167.098,158.75,126.241,146.819
sc2015,y2030,2019-01-05T09:00:00+01:00,,199.784,214.242,229.692,246.425,257.41,264.125,295.15,277.428,252.474,280.312,267.338,308.46,311.7,293.053,321.942
sc2015,y2030,2019-01-05T10:00:00+01:00,,329.292,336.942,345.925,360.518,368.397,379,409.125,400.291,376.549,404.564,398.749,410.075,427.375,428.252,455.45
sc2015,y2030,2019-01-05T11:00:00+01:00,,414.117,413.883,415.725,425.479,430.56,447.125,471.5,473.112,452.125,478.753,480.921,457.905,490.8,512.398,524.958
sc2015,y2030,2019-01-05T12:00:00+01:00,,443.642,435.567,430.992,435.393,436.83,457,475.775,487.742,470.964,494.863,505.085,445.444,494.725,535.589,532.683
sc2015,y2030,2019-01-05T13:00:00+01:00,,416.932,401.717,390.117,389.758,386.684,410.312,422.025,443.763,431.22,451.818,469.208,377.957,439.35,497.901,479.842
sc2015,y2030,2019-01-05T14:00:00+01:00,,335.595,314.55,297.3,292.126,285.711,309.938,314.875,344.794,337.173,353.449,376.859,263.179,329.775,402.388,370.058
sc2015,y2030,2019-01-05T15:00:00+01:00,,209.221,184.171,163.608,154.944,146.221,167.719,166.55,201.363,197.994,210.247,237.201,117.476,178.913,257.512,213.833
sc2015,y2030,2019-01-05T16:00:00+01:00,,63.042,42.651,28.758,22.873,18.532,27.184,24.648,46.582,46.619,53.076,77.338,7.795,30.381,91.195,48.799
sc2015,y2030,2019-01-05T17:00:00+01:00,,0.013,0,0,0,0,0,0,0,0,0,0.244,0,0,0.984,0
sc2015,y2030,2019-01-05T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-05T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T07:00:00+01:00,,0,0.147,1.306,1.915,5.52,5.634,15.129,7.24,2.593,7.463,3.308,29.447,21.523,6.814,23.614
sc2015,y2030,2019-01-06T08:00:00+01:00,,52.001,71.219,76.479,51.053,93.947,99.734,148.012,128.046,103.283,129.114,109.465,172.296,162.488,127.731,175.55
sc2015,y2030,2019-01-06T09:00:00+01:00,,199.711,218.387,203.733,164.468,255.286,262.188,300.1,287.9,259.692,290.508,273.19,315.046,315.5,294.946,338.892
sc2015,y2030,2019-01-06T10:00:00+01:00,,329.776,339.992,312.125,282.63,375.173,381.438,414.425,413.07,384.927,417.665,407.78,417.967,430.6,430.433,462.258
sc2015,y2030,2019-01-06T11:00:00+01:00,,413.401,415.142,379.733,395.646,437.611,453.375,476.6,486.452,460.456,493.36,492.962,468.032,493.225,515.096,531.033
sc2015,y2030,2019-01-06T12:00:00+01:00,,443.068,435.308,393.692,433.7,442.76,464.938,480.475,500.834,478.627,509.766,519.062,458.734,496.825,539.775,537.633
sc2015,y2030,2019-01-06T13:00:00+01:00,,416.517,399.892,356.55,388.074,391.56,415.188,426.25,455.228,437.948,465.147,483.83,392.004,440.875,502.705,483.25
sc2015,y2030,2019-01-06T14:00:00+01:00,,335.519,312.125,270.517,290.531,289.43,312.562,319.575,354.028,341.89,364.022,390.295,275.442,331.075,407.238,372.317
sc2015,y2030,2019-01-06T15:00:00+01:00,,209.207,182.6,148.462,154.363,149.165,170.125,171.363,208.618,201.606,218.055,248.074,125.874,180.575,263.42,217.121
sc2015,y2030,2019-01-06T16:00:00+01:00,,63.386,42.366,26.069,22.974,19.047,28.059,26.095,49.579,48.045,56.332,82.797,8.892,31.112,94.917,50.527
sc2015,y2030,2019-01-06T17:00:00+01:00,,0.022,0,0,0,0,0,0,0,0,0,0.316,0,0,1.134,0
sc2015,y2030,2019-01-06T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-06T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T07:00:00+01:00,,0,0.163,0.945,2.78,5.907,4.471,14.993,7.395,2.218,7.724,3.629,24.34,21.716,7.446,23.301
sc2015,y2030,2019-01-07T08:00:00+01:00,,34.116,61.24,59.557,70.185,100.186,99.484,144.475,126.266,81.324,129.014,111.82,142.075,160.863,131.652,172.387
sc2015,y2030,2019-01-07T09:00:00+01:00,,190.874,203.408,174.771,190.277,246.053,257.688,294.05,283.103,247.813,288.872,275.134,279.845,304.775,298.902,333.333
sc2015,y2030,2019-01-07T10:00:00+01:00,,316.174,320.875,288.942,326.471,356.714,374.688,407.55,405.972,375.635,413.879,408.801,392.584,411.5,434.023,455.767
sc2015,y2030,2019-01-07T11:00:00+01:00,,398.446,395.833,374.65,410.914,418.5,440.938,469.475,478.32,451.545,487.715,493.011,444.961,468.35,518.041,524.108
sc2015,y2030,2019-01-07T12:00:00+01:00,,428.288,418.092,385.958,417.542,422.007,448.5,473.35,492.285,470.536,503.05,518.346,437.604,472.85,541.921,531.867
sc2015,y2030,2019-01-07T13:00:00+01:00,,402.277,385.383,346.017,368.83,362.135,400.125,418.55,446.505,430.945,458.04,482.022,373.38,421.15,504.571,477.367
sc2015,y2030,2019-01-07T14:00:00+01:00,,323.226,301.475,244.792,248.71,257.615,298.438,311.1,345.892,336.608,357.567,387.526,260.623,316.475,409.053,366.625
sc2015,y2030,2019-01-07T15:00:00+01:00,,201.001,176.167,128.663,102.714,115.94,159.156,164.587,202.271,198.252,213.151,245.758,116.757,168.3,264.375,212.112
sc2015,y2030,2019-01-07T16:00:00+01:00,,60.259,41.272,22.551,13.674,14.071,26.066,24.897,47.735,47.508,54.838,82.239,8.016,29.347,95.849,48.986
sc2015,y2030,2019-01-07T17:00:00+01:00,,0.031,0,0,0,0,0,0,0,0,0,0.365,0,0,1.244,0
sc2015,y2030,2019-01-07T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-07T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T07:00:00+01:00,,0,0.196,0.788,1.389,3.577,4.376,13.341,7.313,2.164,7.569,3.636,28.351,18.814,7.101,9.459
sc2015,y2030,2019-01-08T08:00:00+01:00,,47.533,54.96,41.02,32.766,53.263,66.945,130.562,123.592,73.783,124.741,108.641,165.234,155.137,126.393,88.815
sc2015,y2030,2019-01-08T09:00:00+01:00,,159.462,186.404,118.285,88.291,170.357,204.938,297.175,279.039,242.022,281.058,268.063,303.404,311.625,290.405,236.521
sc2015,y2030,2019-01-08T10:00:00+01:00,,300.015,313.408,193.592,165.497,276.582,357.75,410.625,401.958,364.306,405.225,398.554,402.6,426.225,423.379,419.375
sc2015,y2030,2019-01-08T11:00:00+01:00,,387.961,385.375,258.433,244.815,342.05,422.062,471.75,474.022,442.805,479.648,480.072,449.956,488.625,506.804,522.358
sc2015,y2030,2019-01-08T12:00:00+01:00,,422.93,405.942,284.975,282.982,386.34,431.312,475.25,489.544,461.616,496.765,504.023,440.987,492.525,531.674,531.467
sc2015,y2030,2019-01-08T13:00:00+01:00,,397.768,372.983,273.8,270.025,327.991,385.5,419.525,445.197,421.797,453.728,468.207,375.451,437.25,495.147,479.3
sc2015,y2030,2019-01-08T14:00:00+01:00,,319.534,289.958,209.55,213.488,209.806,290.125,309.725,345.948,328.787,355.999,376.568,259.962,328.375,400.953,369.833
sc2015,y2030,2019-01-08T15:00:00+01:00,,198.203,169.012,114.896,71.654,82.551,149.469,161.288,203.408,193.735,213.609,238.904,110.772,179.712,258.268,216.071
sc2015,y2030,2019-01-08T16:00:00+01:00,,60.085,40.075,21.521,10.31,9.487,21.422,24.241,48.889,46.996,56.05,79.869,7.627,31.869,92.973,51.111
sc2015,y2030,2019-01-08T17:00:00+01:00,,0.049,0,0,0,0,0,0,0,0,0,0.4,0,0,1.261,0
sc2015,y2030,2019-01-08T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-08T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-09T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-09T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-09T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-09T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-09T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-09T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-09T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-09T07:00:00+01:00,,0,0.043,0.167,0.591,2.052,1.536,4.3,7.513,1.199,7.98,3.874,30.813,24.18,7.485,24.47
sc2015,y2030,2019-01-09T08:00:00+01:00,,21.769,16.025,18.494,20.694,41.532,34.254,41.847,120.964,43.15,125.531,108.999,174.052,168.5,128.313,173.971
