,,,ES00,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES61,ES62
sc2015,y2030,2030-01-02T05:00:00+01:00,,1465.595663,749.2941082,334.0161299,1299.374242,410.7803865,135.7865045,860.3879599,2262.060635,1131.358593,966.2339802,395.7467041,3737.818477,2171.507897,3170.458338,752.8803821
sc2015,y2030,2030-01-02T06:00:00+01:00,,1608.578264,822.3947751,366.6025357,1426.140384,450.8558654,149.0337514,944.3268738,2482.745862,1241.733233,1060.499166,434.3555063,4102.477722,2383.358857,3479.766281,826.3309237
sc2015,y2030,2030-01-02T07:00:00+01:00,,1860.67936,951.2828925,424.0575586,1649.649281,521.5153168,172.3907573,1092.324547,2871.849064,1436.341302,1226.703701,502.4289731,4745.430044,2756.885836,4025.125442,955.8359258
sc2015,y2030,2030-01-02T08:00:00+01:00,,2092.942073,1070.028524,476.9913208,1855.569777,586.6144224,193.9097497,1228.675961,3230.332889,1615.635238,1379.829239,565.1455909,5337.787049,3101.019165,4527.569105,1075.149898
sc2015,y2030,2030-01-02T09:00:00+01:00,,2271.893746,1161.518583,517.7752469,2014.225538,636.7713922,210.4895082,1333.730765,3506.534262,1753.776008,1497.808019,613.466923,5794.180914,3366.163898,4914.687352,1167.077847
sc2015,y2030,2030-01-02T10:00:00+01:00,,2403.864049,1228.98915,547.8518985,2131.228349,673.7603202,222.7164727,1411.204834,3710.222658,1855.649765,1584.813047,649.1021354,6130.754672,3561.698426,5200.172879,1234.871342
sc2015,y2030,2030-01-02T11:00:00+01:00,,2397.49745,1225.73419,546.4009206,2125.583821,671.9758756,222.1266113,1407.467279,3700.396186,1850.735103,1580.615692,647.3829977,6114.517456,3552.265319,5186.400295,1231.600803
sc2015,y2030,2030-01-02T12:00:00+01:00,,2352.968182,1202.968349,536.2524914,2086.104867,659.4951141,218.001003,1381.326067,3631.667882,1816.360977,1551.258556,635.3590053,6000.951126,3486.288283,5090.072097,1208.726
sc2015,y2030,2030-01-02T13:00:00+01:00,,2346.594196,1199.709613,534.7998302,2080.453791,657.7085994,217.4104573,1377.584175,3621.830011,1811.440614,1547.056332,633.6378732,5984.695073,3476.844233,5076.283536,1205.451667
sc2015,y2030,2030-01-02T14:00:00+01:00,,2293.600748,1172.616411,522.7223747,2033.470627,642.8554788,212.5006481,1346.474009,3540.037743,1770.53261,1512.118953,619.328345,5849.54191,3398.326198,4961.645151,1178.228792
