,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,MaximumStorage,MinimumStorage,InitialStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,MaximumReactivePower,MinimumReactivePower,BinaryInvestment
CCGT_ES30,ES30,CCGT,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT_ES41,ES41,CCGT,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT_ES42,ES42,CCGT,,,758.7400001,303.496,,,,,,0.064990487,,,,,1,45.94392814,,4.260565162,,,,,,,,
CCGT_ES43,ES43,CCGT,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT_ES51,ES51,CCGT,,,3371.24,1348.496,,,,,,0.125495082,,,,,1,52.1263019,,4.260565162,,,,,,,,
CCGT_ES52,ES52,CCGT,,,3259.88,1303.952,,,,,,0.040781136,,,,,1,54.34643269,,4.260565162,,,,,,,,
CCGT_ES61,ES61,CCGT,,,6009.760001,2403.904,,,,,,0.058587333,,,,,1,47.00782592,,4.260565162,,,,,,,,
CCGT_ES62,ES62,CCGT,,,3150.15,1260.06,,,,,,0.054308145,,,,,1,51.3720948,,4.260565162,,,,,,,,
Cogeneration,ES00,Cogeneration,,,6137,,,,,,,,,,,,,,,,,,,,,,,
Biomass,ES00,Cogeneration,,,661.4,,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES11,ES11,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES12,ES12,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES13,ES13,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES21,ES21,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES22,ES22,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES23,ES23,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES24,ES24,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES30,ES30,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES41,ES41,Solar_Thermal,,,0,0,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES42,ES42,Solar_Thermal,,,349.4,0.15164845,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES43,ES43,Solar_Thermal,,,849,0.368487504,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES51,ES51,Solar_Thermal,,,24.29,0.010542475,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES52,ES52,Solar_Thermal,,,49.9,0.021657864,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES61,ES61,Solar_Thermal,,,1000.023,0.434035311,,,,,,,,,,,,,,,,,,,,,,
SolarThermal_ES62,ES62,Solar_Thermal,,,31.4,0.013628395,,,,,,,,,,,,,,,,,,,,,,
PV_ES11,ES11,Solar_PV,,,18.096105,0.002088528,,,,,,,,,,,,,,,,,,,,,,
PV_ES12,ES12,Solar_PV,,,0.796485,9.19E-05,,,,,,,,,,,,,,,,,,,,,,
PV_ES13,ES13,Solar_PV,,,2.173055,0.000250799,,,,,,,,,,,,,,,,,,,,,,
PV_ES21,ES21,Solar_PV,,,50.898415,0.005874346,,,,,,,,,,,,,,,,,,,,,,
PV_ES22,ES22,Solar_PV,,,161.99222,0.01869603,,,,,,,,,,,,,,,,,,,,,,
PV_ES23,ES23,Solar_PV,,,96.60298,0.011149253,,,,,,,,,,,,,,,,,,,,,,
PV_ES24,ES24,Solar_PV,,,938.42009,0.108306007,,,,,,,,,,,,,,,,,,,,,,
PV_ES30,ES30,Solar_PV,,,63.470686,0.007325351,,,,,,,,,,,,,,,,,,,,,,
PV_ES41,ES41,Solar_PV,,,802.722105,0.092644677,,,,,,,,,,,,,,,,,,,,,,
PV_ES42,ES42,Solar_PV,,,1746.20267,0.20153473,,,,,,,,,,,,,,,,,,,,,,
PV_ES43,ES43,Solar_PV,,,1247.108764,0.143932736,,,,,,,,,,,,,,,,,,,,,,
PV_ES51,ES51,Solar_PV,,,273.8579,0.0316068,,,,,,,,,,,,,,,,,,,,,,
PV_ES52,ES52,Solar_PV,,,364.315115,0.042046751,,,,,,,,,,,,,,,,,,,,,,
PV_ES61,ES61,Solar_PV,,,1783.861539,0.205881058,,,,,,,,,,,,,,,,,,,,,,
PV_ES62,ES62,Solar_PV,,,1114.006701,0.128571009,,,,,,,,,,,,,,,,,,,,,,
Wind_ES11,ES11,Onshore_wind,,,3805.165,0.266164959,,,,,,,,,,,,,,,,,,,,,,
Wind_ES12,ES12,Onshore_wind,,,518.45,0.036264715,,,,,,,,,,,,,,,,,,,,,,
Wind_ES13,ES13,Onshore_wind,,,35.3105,0.002469911,,,,,,,,,,,,,,,,,,,,,,
Wind_ES21,ES21,Onshore_wind,,,153.3838,0.010728942,,,,,,,,,,,,,,,,,,,,,,
Wind_ES22,ES22,Onshore_wind,,,1098.437,0.07683384,,,,,,,,,,,,,,,,,,,,,,
Wind_ES23,ES23,Onshore_wind,,,448.12,0.031345248,,,,,,,,,,,,,,,,,,,,,,
Wind_ES24,ES24,Onshore_wind,,,3213.189,0.224757223,,,,,,,,,,,,,,,,,,,,,,
Wind_ES30,ES30,Onshore_wind,,,0,0,,,,,,,,,,,,,,,,,,,,,,
Wind_ES41,ES41,Onshore_wind,,,0,0,,,,,,,,,,,,,,,,,,,,,,
Wind_ES42,ES42,Onshore_wind,,,0,0,,,,,,,,,,,,,,,,,,,,,,
Wind_ES43,ES43,Onshore_wind,,,39.375,0.002754216,,,,,,,,,,,,,,,,,,,,,,
Wind_ES51,ES51,Onshore_wind,,,1271.16,0.088915526,,,,,,,,,,,,,,,,,,,,,,
Wind_ES52,ES52,Onshore_wind,,,0,0,,,,,,,,,,,,,,,,,,,,,,
Wind_ES61,ES61,Onshore_wind,,,3450.9055,0.241385097,,,,,,,,,,,,,,,,,,,,,,
Wind_ES62,ES62,Onshore_wind,,,262.77,0.018380324,,,,,,,,,,,,,,,,,,,,,,
NoUGH,ES00,Hydro_NoUGH,Weekly,,1316.2,,,,,,,,,,,,,,,,,,,,,,,
UGH_ABA1,ES42,Hydro_UGH,Weekly,,0.4,,,0.486286086,0.145885826,0.311855267,,,,,,,,,,,,,,,,,,
UGH_ABA2,ES42,Hydro_UGH,Weekly,,0.4,,,0.486286086,0.145885826,0.311855267,,,,,,,,,,,,,,,,,,
UGH_AGUG,ES13,CL_PSH,Weekly,,360.4,,367.06,7.8984125,0,7.8984125,0.7,,,,,,,,,,,,,,,,,
UGH_ARCH,ES13,Hydro_UGH,Weekly,,0.4,,,0.364714564,0.109414369,0.23389145,,,,,,,,,,,,,,,,,,
UGH_BEREBRO,ES21,Hydro_UGH,Weekly,,5.5,,,6.686433679,2.005930104,4.288009919,,,,,,,,,,,,,,,,,,
UGH_BERJUCA,ES62,Hydro_UGH,Weekly,,10.5,,,12.76500975,3.829502925,8.186200754,,,,,,,,,,,,,,,,,,
UGH_BERR1,ES43,Hydro_UGH,Weekly,,0.2,,,0.243143043,0.072942913,0.155927633,,,,,,,,,,,,,,,,,,
UGH_BERR2,ES43,Hydro_UGH,Weekly,,0.4,,,0.486286086,0.145885826,0.311855267,,,,,,,,,,,,,,,,,,
UGH_BOLI,ES42,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
UGH_CHBAO,ES24,Hydro_UGH,Weekly,,3.5,,,4.25500325,1.276500975,2.728733585,,,,,,,,,,,,,,,,,,
UGH_CHIPG,ES24,CL_PSH,Weekly,,88.7,,99,11.49983381,0,11.49983381,0.7,,,,,,,,,,,,,,,,,
UGH_CHURC,ES24,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
UGH_CHVN,ES13,Hydro_UGH,Weekly,,0.3,,,0.364714564,0.109414369,0.23389145,,,,,,,,,,,,,,,,,,
UGH_DUER,ES41,OL_PSH,Weekly,,3543.3,,1308,4307.643719,1292.293116,2762.491917,0.7,0.09660486,,,,,,,,,,,,,,,,
UGH_EBRA,ES21,Hydro_UGH,Weekly,,254,,,308.7916645,92.63749934,198.0280944,,,,,,,,,,,,,,,,,,
UGH_EBRACC1,ES51,Hydro_UGH,Weekly,,376.4,,,457.5952067,137.278562,293.4558061,,0.097768332,,,,,,,,,,,,,,,,
UGH_EBRACC2,ES51,Hydro_UGH,Weekly,,162,,,196.9458647,59.08375942,126.3013831,,,,,,,,,,,,,,,,,,
UGH_EBRERZ,ES24,Hydro_UGH,Weekly,,44.2,,,53.73461248,16.12038374,34.46000698,,,,,,,,,,,,,,,,,,
UGH_EBRFEN,ES51,Hydro_UGH,Weekly,,1870.7,,,2274.238452,682.2715355,1458.469119,,0.285989202,,,,,,,,,,,,,,,,
UGH_EBROF,ES51,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
UGH_ECHO,ES41,Hydro_UGH,Weekly,,1,,,1.215715214,0.364714564,0.779638167,,,,,,,,,,,,,,,,,,
UGH_ENDPRB,ES51,CL_PSH,Weekly,,103.129,,103.129,22.99174605,0,22.99174605,0.7,,,,,,,,,,,,,,,,,
UGH_ETO1,ES42,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
UGH_GDLQ,ES61,OL_PSH,Weekly,,423.9,,14.4,515.3416794,154.6025038,330.488619,0.7,0.321774003,,,,,,,,,,,,,,,,
UGH_GDNA,ES43,Hydro_UGH,Weekly,,218.6,,,265.7553459,79.72660376,170.4289033,,0.016468435,,,,,,,,,,,,,,,,
UGH_GRANA,ES22,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
UGH_GRDZ,ES12,Hydro_UGH,Weekly,,1.037,,,1.260696677,0.378209003,0.808484779,,,,,,,,,,,,,,,,,,
UGH_GUIG,ES43,CL_PSH,Daily,,225,,225,1.31683445,0,1.31683445,0.71,,,,,,,,,,,,,,,,,
UGH_HCHI,ES13,Hydro_UGH,Weekly,,425.1,,,516.8005376,155.0401613,331.4241848,,0.138790873,,,,,,,,,,,,,,,,
UGH_HLASJO,ES22,Hydro_UGH,Weekly,,0.1,,,0.121571521,0.036471456,0.077963817,,,,,,,,,,,,,,,,,,
UGH_JUCA,ES52,Hydro_UGH,Weekly,,739,,,898.4135435,269.524063,576.1526054,,0.456833559,,,,,,,,,,,,,,,,
UGH_JUCAR2,ES52,Hydro_UGH,Weekly,,1,,,1.215715214,0.364714564,0.779638167,,,,,,,,,,,,,,,,,,
UGH_LANCA2,ES41,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
UGH_LBAT,ES42,Hydro_UGH,Weekly,,0.7,,,0.85100065,0.255300195,0.545746717,,,,,,,,,,,,,,,,,,
UGH_LLO1,ES42,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
UGH_LMA1,ES42,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
