Scenario,Period,LoadLevel,CCGT,Coal_Subbituminous,Cogeneration,Hydro_UGH,Nuclear,Onshore_wind,PumpedStorage_Hydro,Pure_PumpedStorage_Hydro,Solar_PV
sc2015,y2030,2030-01-01T01:00:00+01:00,582.9051665147949,0.0,-146.08992023859827,-159.24368213879302,0.0,117.05591747999063,-334.26288473370937,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-01T03:00:00+01:00,287.373735064795,0.0,-149.40197028859825,-159.24368213879302,0.0,-18.722944520009605,-334.26288473370937,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-01T05:00:00+01:00,79.18045148479541,0.0,-151.03482543859826,-159.24368213879302,0.0,-113.46796872000937,-334.26288473370937,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-01T07:00:00+01:00,78.0637046647953,0.0,-150.51939303859825,-51.916101679793,0.0,-211.54987143500944,-334.26288473370937,-2.5098996590418174,-558.7536427625594
sc2015,y2030,2030-01-01T09:00:00+01:00,75.45159133479513,0.0,-147.26727853859825,-147.93745563379312,0.0,-349.6045128300095,-334.26288473370937,-2.5098996590418174,-303.55003722355934
sc2015,y2030,2030-01-01T11:00:00+01:00,-526.7441216904817,0.0,-145.86234968859827,-159.24368213879302,0.0,-463.12820719000945,-334.26288473370937,-2.5098996590418174,909.7409362614405
sc2015,y2030,2030-01-01T13:00:00+01:00,-582.8442219993012,0.0,-147.03650493859828,-159.24368213879302,0.0,-429.61979904000947,-334.26288473370937,-2.5098996590418174,1363.7491347114408
sc2015,y2030,2030-01-01T15:00:00+01:00,-558.0588611369819,0.0,-147.7457672885983,-159.24368213879302,0.0,-442.52053625000934,-334.26288473370937,-2.5098996590418174,1129.636198061441
sc2015,y2030,2030-01-01T17:00:00+01:00,-104.35434337693061,0.0,-146.00635188859832,-159.24368213879302,0.0,-479.8405257000093,-88.52133382698383,-2.5098996590418174,24.417949616440865
sc2015,y2030,2030-01-01T19:00:00+01:00,264.3358217347943,0.0,-137.24798708859828,-159.24368213879302,0.0,-444.4193459800094,826.1528671332912,-2.5098996590418174,-558.8661870155593
sc2015,y2030,2030-01-01T21:00:00+01:00,221.35716522979442,0.0,-133.57682133859834,470.756317861207,0.0,-378.7847514600095,528.5305506212906,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-01T23:00:00+01:00,242.45261164979456,0.0,-133.18182968859833,470.756317861207,0.0,-329.3040023100092,281.7639762012908,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-02T01:00:00+01:00,330.4956676697941,0.0,-138.74858513859834,-159.24368213879302,0.0,-374.8335518350093,141.12509234629084,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-02T03:00:00+01:00,387.00475847479424,0.0,-137.47249668859826,-159.24368213879302,0.0,-428.13984428000936,-334.26288473370937,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-02T05:00:00+01:00,300.6827670297946,0.0,-130.19067023859827,-159.24368213879302,0.0,-414.17800783500934,-334.26288473370937,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-02T07:00:00+01:00,329.5836980297945,0.0,-108.51510363859825,-159.24368213879302,0.0,-378.89644618500927,122.78253856029096,-2.5098996590418174,-558.7318197725592
sc2015,y2030,2030-01-02T09:00:00+01:00,223.47432053479451,0.0,-42.89580928859829,470.756317861207,0.0,-415.8534282100094,178.86413678579015,-2.5098996590418174,-283.12154034805917
sc2015,y2030,2030-01-02T11:00:00+01:00,180.08375371728198,0.0,-21.936979138598247,-159.24368213879302,0.0,-570.3969987100093,253.4461467583768,-2.5098996590418174,907.0445505114405
sc2015,y2030,2030-01-02T13:00:00+01:00,192.916152810551,0.0,-28.4420621885983,-35.70687121392096,0.0,-686.2104343250094,-334.26288473370937,-2.5098996590418174,1293.0146032614407
sc2015,y2030,2030-01-02T15:00:00+01:00,215.64701766979442,0.0,-26.749983288598344,-159.24368213879302,0.0,-684.0463495950094,-127.4988438837097,-2.5098996590418174,978.3433621614406
sc2015,y2030,2030-01-02T17:00:00+01:00,227.79990275979435,0.0,-1.5868304385983265,-159.24368213879302,0.0,-627.2495977700094,728.5859883512912,-2.5098996590418174,-73.12830220855932
sc2015,y2030,2030-01-02T19:00:00+01:00,169.83556967401273,0.0,8.244539311401695,485.205699474413,0.0,-608.8758207650094,1182.2698758890613,58.469673230278616,-558.7714129070592
sc2015,y2030,2030-01-02T21:00:00+01:00,160.28309168555097,0.0,13.532330561401636,850.756317861207,0.0,-622.9074665850094,836.3550009361643,197.49010034095818,-559.4155027385593
sc2015,y2030,2030-01-02T23:00:00+01:00,188.77650404612814,0.0,9.27020776140165,151.15858546098497,0.0,-593.6713804750094,1265.7371152662906,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-03T01:00:00+01:00,278.05935582979396,0.0,-25.71064768859833,470.756317861207,0.0,-598.8512219800094,111.51040207129108,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-03T03:00:00+01:00,346.1530357247948,0.0,-28.180893688598303,219.94644275120692,0.0,-535.3388266900095,-334.26288473370937,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-03T05:00:00+01:00,362.27858976979405,0.0,-29.292550638598357,4.052700666207528,0.0,-468.8385984600095,-334.26288473370937,-2.5098996590418174,-559.4155027385593
sc2015,y2030,2030-01-03T07:00:00+01:00,336.2425192747944,0.0,-24.01059623859834,-159.24368213879302,0.0,-394.6314363050095,-8.138159145208988,-2.5098996590418174,-558.7296374720593
