InitialNode,,,Almeria,Almeria,Barcelona,Barcelona,Bilbao,Bilbao,Bilbao,Caceres,Caceres,Caceres,Caceres,Caceres,Caceres,Caceres,Cadiz,Cadiz,Cartagena,Cartagena,Lugo,Lugo,Madrid,Madrid,Madrid,Sevilla,Sevilla,Valencia,Valencia,Valencia
FinalNode,,,Cadiz,Cartagena,Madrid,Valencia,Barcelona,Valladolid,Valladolid,Madrid,Madrid,Sevilla,Sevilla,Sevilla,Valladolid,Valladolid,Sevilla,Sevilla,Valencia,Valencia,Valladolid,Valladolid,Bilbao,Valladolid,Valladolid,Madrid,Valladolid,Madrid,Madrid,Madrid
Circuit,,,ac1,ac1,ac1,ac1,ac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1,ac1,cac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1
sc2015,y2030,2030-01-01T01:00:00+01:00,0.09903424048081304,0.09110984378535619,0.480133747885481,0.4742618515888924,0.5947959477893079,0.546068557807707,0,0.03749613623388781,0,0.4784744379989225,0.4784744379989225,0,0.13095208623670734,0,0.026451870842513936,0.026451870842513797,0.8516861808500329,0,0.6730503821446924,0.6730503821446924,0,0.449195259921587,0,0.3211559722425021,0,0.27649761975997705,0.27649761975997705,0
sc2015,y2030,2030-01-01T03:00:00+01:00,0.08358034107890852,0.08449945525193721,0.45071547495957337,0.4055357041883295,0.5846090956273865,0.4238696826064444,0,0.0667191503054239,0,0.4152931855549297,0.4152931855549297,0,0.010315980326010075,0,0.049234530058391304,0.049234530058391304,0.7568186405753202,0,0.38180948996849023,0.38180948996849023,0,0.15040845327843677,0,0.24750314327584605,0,0.30294282894580815,0.30294282894580815,0
sc2015,y2030,2030-01-01T05:00:00+01:00,0.09664336618684263,0.055974395280819086,0.3154316744277431,0.2306353013463919,0.46464781885635603,0.4510587500491165,0,0.1073306865506922,0,0.38637613196293535,0.38637613196293563,0,0.058462621040849344,0,0.05334035512880224,0.0533403551288021,0.6664454411763417,0,0.35412772542024246,0.35412772542024246,0,0.13031484135958105,0,0.18889135604040505,0,0.2701763499233336,0.2701763499233336,0
sc2015,y2030,2030-01-01T07:00:00+01:00,0.10167790263572485,0.05115096775233496,0.2895682753109096,0.22233755047611262,0.4292705683459563,0.4892706710819041,0,0.10815642473592602,0,0.40549489346481776,0.40549489346481776,0,0.018454469677722338,0,0.02902070942053003,0.02902070942053003,0.6632243242125342,0,0.3423148656938745,0.3423148656938745,0,0.23920521348854296,0,0.20233890395816087,0,0.23641576015044594,0.23641576015044594,0
sc2015,y2030,2030-01-01T09:00:00+01:00,0.03748428974424436,0.01568221289505924,0.2578891717312056,0.13851782556892442,0.44654648103682926,0.4786251610029714,0,0.13022812384034985,0,0.33828419647687114,0.33828419647687114,0,0.1285940304695891,0,0.08476931643592198,0.08476931643592198,0.5213316592856067,0,0.31220217767148634,0.31220217767148634,0,0.004357582322028515,0,0.13223111844307037,0,0.27562506896379807,0.27562506896379807,0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.3160323658309082,0.0936078234601367,0.05506437060865023,0.4838078802791677,0.3452833832572711,0.6774640592800424,0,0.1794292589065735,0,0.16275829204860365,0.16275829204860365,0,0.39791943734447793,0,0.3219992656289377,0.32199926562893794,0.04988410132083263,0,0.1166542878572382,0.1166542878572382,0,0.5826404758344113,0,0.04314344833561881,0,0.4379645052347627,0.4379645052347627,0
sc2015,y2030,2030-01-01T13:00:00+01:00,0.464841288336257,0.11680218046971338,0.05505113762810169,0.6007641589252525,0.42533845044022,0.6409832460771926,0,0.15970664522071812,0,0.055747857187907986,0.055747857187907986,0,0.534706645220718,0,0.4876498806067369,0.4876498806067369,0.24122117636523543,0,0.12019789471047211,0.12019789471047211,0,1.0,0,0.10460481029078207,0,0.5659073521279518,0.5659073521279518,0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.3978543451303252,0.09488172274280916,0.05420710774600574,0.5366910604974218,0.3790541104387509,0.6660734316010495,0,0.1664300672480094,0,0.14103345475648527,0.14103345475648527,0,0.4469082703783235,0,0.40761696304605977,0.40761696304605977,0.13174641863833103,0,0.11920177832365617,0.11920177832365617,0,0.7479418750141715,0,0.047396923664790855,0,0.4972253252147332,0.4972253252147332,0
sc2015,y2030,2030-01-01T17:00:00+01:00,0.01914793301162046,0.04430856310778271,0.19058235626545517,0.021874439990368574,0.4409006154144689,0.5615242370730927,0,0.18950392648146125,0,0.3102181460473845,0.3102181460473845,0,0.23559326261779795,0,0.1306725156546504,0.1306725156546504,0.37039463639470527,0,0.2778783745558148,0.2778783745558148,0,0.12290489636356446,0,0.05718703285214969,0,0.2917268588251946,0.2917268588251946,0
sc2015,y2030,2030-01-01T19:00:00+01:00,0.26393139472668414,0.059293963997828554,0.24122322171855082,0.32860233554255264,0.41340439338370444,0.8157215783824645,0,0.4898283294550564,0,0.8358610888132505,0.8358610888132505,0,0.239686109211975,0,0.20552055581524836,0.2055205558152485,0.7598847625718236,0,0.2665709705010885,0.2665709705010885,0,0.6670459206482175,0,0.173082336188077,0,0.04011715647168286,0.04011715647168286,0
sc2015,y2030,2030-01-01T21:00:00+01:00,0.3457504080623365,0.12271375273895337,0.18825430566398174,0.29247384799823667,0.4060962393955246,0.9321236923208928,0,0.7042435257082772,0,1.0,1.0,0,0.4533380553655592,0,0.2688603804917808,0.2688603804917805,0.7694328684053254,0,0.27153343645258093,0.2715334364525812,0,0.6690812542472487,0,0.09897734792386062,0,0.008097077492101624,0.008097077492101624,0
sc2015,y2030,2030-01-01T23:00:00+01:00,0.3030355704949854,0.08892344502234859,0.23515225700172152,0.31705844762925256,0.44000760671035116,0.8446651467722354,0,0.6031129613280789,0,0.9072002508049726,0.9072002508049726,0,0.3880931317137174,0,0.21905912202526953,0.21905912202526925,0.7675250570920796,0,0.2865904815458646,0.2865904815458646,0,0.5733862123049642,0,0.1225026216694503,0,0.04268824856460639,0.04268824856460639,0
