Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,Coal1,Coal2,Nuclear1,Nuclear2
sc2015,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T17:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T21:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-03T23:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T01:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T05:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T07:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T09:00:00+01:00,0.0,0.0,1.0,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T11:00:00+01:00,0.0,0.0,0.8881074117229742,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T13:00:00+01:00,0.0,0.0,0.8881074117229742,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T15:00:00+01:00,0.0,0.0,0.8881074117229742,0.500537434037957,0.0,0.0,0.022604199044949366,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T17:00:00+01:00,0.0,0.0,0.9998685176819843,0.5213931604562052,0.4123279007083339,0.0,0.02712503885393924,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T19:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-04T21:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
