Scenario,Period,LoadLevel,Almeria,Barcelona,Bilbao,Caceres,Cadiz,Cartagena,Lugo,Madrid,Sevilla,Valencia,Valladolid
sc2015,y2030,2030-01-01T01:00:00+01:00,-0.15810267747359963,0.07372015640716212,-0.11445278236782608,-0.028613554713345923,-0.10714066188118321,-0.1575742379322942,0.215325787363839,-0.05504628087964658,-0.11805956667386419,-0.000419487045923983,0.0
sc2015,y2030,2030-01-01T03:00:00+01:00,-0.1356345220717281,-0.036292200992608326,-0.12996380240215544,-0.008085989921820191,-0.06945133663123904,-0.14241361753860127,0.21614536044501498,-0.0563742082227745,-0.08483972276675944,-0.01919521026370119,0.0
sc2015,y2030,2030-01-01T05:00:00+01:00,-0.08650901467041217,0.03968949369764174,-0.09739321054857242,0.02011472713885576,-0.036672430242059795,-0.08914736752137076,0.12643126405269212,-0.023588610350474548,-0.05021665255716257,0.03035632747116468,0.0
sc2015,y2030,2030-01-01T07:00:00+01:00,-0.12291907448881023,0.01325365718224214,-0.10523163025399751,0.015007314671289462,-0.08190065667322077,-0.1225140700370757,0.1603994014434904,-0.037894164281596865,-0.08094724716222901,0.003912232522143455,0.0
sc2015,y2030,2030-01-01T09:00:00+01:00,-0.03283771981715011,0.0395948151783283,-0.09854319095695097,0.043917174462508424,0.0005700905034693449,-0.03925850024142563,0.10268936096536097,-0.007082502441212224,-0.016341244082048956,0.05054887610766334,0.0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.20159845420304356,0.01583074598790013,-0.11686525479444376,0.10645403642281548,0.12875848786688882,0.18779111058649556,0.004295285384339431,0.05764765299348773,0.08838991793806361,0.16684383116438317,0.0
sc2015,y2030,2030-01-01T13:00:00+01:00,0.2847547850974925,0.03431344275985948,-0.11679062446612432,0.09000602121845191,0.16351166174664833,0.27125908712530933,0.005245802996813209,0.07783114876835473,0.11110673071941224,0.21649752153799118,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.2563394454151713,0.040024651623458585,-0.11265500763570402,0.13339986833273598,0.1611757786191197,0.24231917203505726,0.005292832128619418,0.07952425327802404,0.11764754746096795,0.2043802081903725,0.0
sc2015,y2030,2030-01-01T17:00:00+01:00,0.09351285618363447,0.07871374831142997,-0.09660862869153442,0.12620716829178869,0.07376911906892802,0.09427464753598525,0.00544105262287764,0.037429864899667376,0.05755694456833016,0.12017677301675866,0.0
sc2015,y2030,2030-01-01T19:00:00+01:00,-0.08686909866950465,0.03000131605869516,-0.1373324609425013,0.1501161404856295,-0.010137827945956746,-0.09380373271304654,0.005935036866170584,-0.02389603471507118,-0.007849408943017666,-0.0016109732402607158,0.0
