,,,MG1,MG2,MG4,MG5,MG7,MG8,MG10,MG11,MG13,MG14,MG16,MG17,MG19,MG20,MG22,MG23
sc01,y2030,D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc01,y2030,D2,0.000132959,0.000199439,0.000132959,0.000199439,0.000132959,0.000199439,0.000132959,0.000199439,0.000132959,0.000199439,0.000132959,0.000199439,0.000132959,0.000199439,0.000132959,0.000199439
sc01,y2030,D3,0.000160012,0.000240019,0.000160012,0.000240019,0.000160012,0.000240019,0.000160012,0.000240019,0.000160012,0.000240019,0.000160012,0.000240019,0.000160012,0.000240019,0.000160012,0.000240019
sc01,y2030,D4,7.31E-05,1.10E-04,7.31E-05,1.10E-04,7.31E-05,1.10E-04,7.31E-05,1.10E-04,7.31E-05,1.10E-04,7.31E-05,1.10E-04,7.31E-05,1.10E-04,7.31E-05,1.10E-04
sc01,y2030,D5,0.000160063,0.000240095,0.000160063,0.000240095,0.000160063,0.000240095,0.000160063,0.000240095,0.000160063,0.000240095,0.000160063,0.000240095,0.000160063,0.000240095,0.000160063,0.000240095
sc01,y2030,D6,7.00E-05,1.05E-04,7.00E-05,1.05E-04,7.00E-05,1.05E-04,7.00E-05,1.05E-04,7.00E-05,1.05E-04,7.00E-05,1.05E-04,7.00E-05,1.05E-04,7.00E-05,1.05E-04
sc01,y2030,D7,0.000160561,0.000240841,0.000160561,0.000240841,0.000160561,0.000240841,0.000160561,0.000240841,0.000160561,0.000240841,0.000160561,0.000240841,0.000160561,0.000240841,0.000160561,0.000240841
sc01,y2030,D8,0.000173949,0.000260923,0.000173949,0.000260923,0.000173949,0.000260923,0.000173949,0.000260923,0.000173949,0.000260923,0.000173949,0.000260923,0.000173949,0.000260923,0.000173949,0.000260923
sc01,y2030,D9,0.000171315,0.000256973,0.000171315,0.000256973,0.000171315,0.000256973,0.000171315,0.000256973,0.000171315,0.000256973,0.000171315,0.000256973,0.000171315,0.000256973,0.000171315,0.000256973
sc01,y2030,D10,0.000173631,0.000260447,0.000173631,0.000260447,0.000173631,0.000260447,0.000173631,0.000260447,0.000173631,0.000260447,0.000173631,0.000260447,0.000173631,0.000260447,0.000173631,0.000260447
sc01,y2030,D11,0.000174185,0.000261277,0.000174185,0.000261277,0.000174185,0.000261277,0.000174185,0.000261277,0.000174185,0.000261277,0.000174185,0.000261277,0.000174185,0.000261277,0.000174185,0.000261277
sc01,y2030,D12,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394
sc01,y2030,D13,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394,0.000173596,0.000260394
sc01,y2030,D14,0.00017378,0.00026067,0.00017378,0.00026067,0.00017378,0.00026067,0.00017378,0.00026067,0.00017378,0.00026067,0.00017378,0.00026067,0.00017378,0.00026067,0.00017378,0.00026067
sc01,y2030,D15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
