,Latitude,Longitude
ES611,36.833333,-2.45
ES511,41.3825,2.176944444
ES21,43.26222222,-2.953333333
ES432,39.473056,-6.371111
ES612,36.51666667,-6.283333333
ES620,37.6,-0.981944
ES112,43.011667,-7.557222
ES300,40.41888889,-3.691944444
ES618,37.38333333,-5.983333333
ES523,39.46666667,-0.375
ES418,41.651981,-4.728561
