InitialNode,FinalNode,cac1
ES21,ES418,0
ES300,ES21,0
ES300,ES418,0
ES432,ES300,0
ES432,ES418,0
ES432,ES618,0
ES523,ES300,0
ES612,ES618,1
ES618,ES418,0
ES620,ES523,0
