,,,MG1,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,MG10,MG11,MG12,MG13,MG14,MG15,MG16,MG17,MG18,MG19,MG20,MG21,MG22,MG23,MG24
sc01,y2030,D1,0.0001,0.0001,,0.0001,0.0001,,0.0001,0.0001,,0.0001,0.0001,,0.0001,0.0001,,0.0001,0.0001,,0.0001,0.0001,,0.0001,0.0001,
sc01,y2030,D2,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265,0.1961265
sc01,y2030,D3,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336,0.19741336
sc01,y2030,D4,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488,0.23406488
sc01,y2030,D5,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636,0.32273636
sc01,y2030,D6,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144,0.302144
sc01,y2030,D7,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924,0.35146924
sc01,y2030,D8,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927,0.455927
sc01,y2030,D9,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167,0.509167
sc01,y2030,D10,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648,0.64442648
sc01,y2030,D11,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712,0.83067712
sc01,y2030,D12,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984,0.85553984
sc01,y2030,D13,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256,0.86183256
sc01,y2030,D14,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696,0.93518696
sc01,y2030,D15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
